opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Taliyah,24,10,220,244,102,41.67,1.32,9.17,10.17,4.25
Sylas,48,20,278,272,172,41.67,1.65,5.79,5.67,3.58
Mel,26,12,228,132,256,46.15,3.67,8.77,5.08,9.85
Azir,26,10,162,156,256,38.46,2.68,6.23,6.0,9.85
Diana,16,2,54,114,104,12.5,1.39,3.38,7.12,6.5
Irelia,12,2,110,92,44,16.67,1.67,9.17,7.67,3.67
Jayce,18,14,78,90,136,77.78,2.38,4.33,5.0,7.56
Ryze,16,10,152,74,130,62.5,3.81,9.5,4.62,8.12
Orianna,30,22,378,198,296,73.33,3.4,12.6,6.6,9.87
Naafiri,6,2,32,32,30,33.33,1.94,5.33,5.33,5.0
Brand,8,8,84,72,76,100.0,2.22,10.5,9.0,9.5
Zed,44,30,346,276,316,68.18,2.4,7.86,6.27,7.18
Syndra,20,16,106,74,234,80.0,4.59,5.3,3.7,11.7
Aurora,18,16,82,124,116,88.89,1.6,4.56,6.89,6.44
Talon,22,22,324,98,184,100.0,5.18,14.73,4.45,8.36
Ekko,20,10,122,94,96,50.0,2.32,6.1,4.7,4.8
Katarina,40,14,212,278,322,35.0,1.92,5.3,6.95,8.05
Poppy,4,0,4,36,60,0.0,1.78,1.0,9.0,15.0
Kled,4,4,24,16,24,100.0,3.0,6.0,4.0,6.0
Zac,12,2,86,82,94,16.67,2.2,7.17,6.83,7.83
Twisted Fate,18,8,170,84,132,44.44,3.6,9.44,4.67,7.33
Veigar,16,4,116,86,148,25.0,3.07,7.25,5.38,9.25
Gragas,6,2,60,52,84,33.33,2.77,10.0,8.67,14.0
Ivern,2,2,24,16,24,100.0,3.0,12.0,8.0,12.0
Galio,42,36,430,204,310,85.71,3.63,10.24,4.86,7.38
Qiyana,24,4,146,136,78,16.67,1.65,6.08,5.67,3.25
Lissandra,2,2,18,12,24,100.0,3.5,9.0,6.0,12.0
Ahri,16,4,112,86,64,25.0,2.05,7.0,5.38,4.0
Kayle,8,4,80,36,50,50.0,3.61,10.0,4.5,6.25
Aurelion Sol,2,2,8,4,4,100.0,3.0,4.0,2.0,2.0
Ambessa,4,4,28,8,44,100.0,9.0,7.0,2.0,11.0
Yasuo,62,48,522,338,518,77.42,3.08,8.42,5.45,8.35
Yone,16,12,126,106,150,75.0,2.6,7.88,6.62,9.38
Gangplank,2,2,8,26,20,100.0,1.08,4.0,13.0,10.0
Xerath,4,2,54,18,24,50.0,4.33,13.5,4.5,6.0
Corki,2,0,12,14,10,0.0,1.57,6.0,7.0,5.0
Sett,10,10,80,80,90,100.0,2.12,8.0,8.0,9.0
Nidalee,14,14,162,78,114,100.0,3.54,11.57,5.57,8.14
KogMaw,6,6,42,30,54,100.0,3.2,7.0,5.0,9.0
Akali,20,10,70,70,56,50.0,1.8,3.5,3.5,2.8
Hwei,6,2,30,42,24,33.33,1.29,5.0,7.0,4.0
Lux,6,4,40,32,38,66.67,2.44,6.67,5.33,6.33
Kassadin,6,4,36,28,12,66.67,1.71,6.0,4.67,2.0
Viktor,18,12,214,90,158,66.67,4.13,11.89,5.0,8.78
Seraphine,12,12,24,24,72,100.0,4.0,2.0,2.0,6.0
Zeri,2,0,8,14,4,0.0,0.86,4.0,7.0,2.0
LeBlanc,18,18,34,66,80,100.0,1.73,1.89,3.67,4.44
Fizz,12,8,92,66,104,66.67,2.97,7.67,5.5,8.67
Sion,2,2,26,8,16,100.0,5.25,13.0,4.0,8.0
VelKoz,2,0,4,14,6,0.0,0.71,2.0,7.0,3.0
Akshan,4,2,44,24,22,50.0,2.75,11.0,6.0,5.5
Anivia,2,0,16,14,12,0.0,2.0,8.0,7.0,6.0
Chogath,2,2,42,20,24,100.0,3.3,21.0,10.0,12.0
Zoe,10,6,96,36,60,60.0,4.33,9.6,3.6,6.0
Malphite,4,0,8,20,12,0.0,1.0,2.0,5.0,3.0
Neeko,4,4,52,20,40,100.0,4.6,13.0,5.0,10.0
Kalista,4,2,20,20,28,50.0,2.4,5.0,5.0,7.0
Tristana,4,0,12,28,4,0.0,0.57,3.0,7.0,1.0
Camille,2,0,4,12,8,0.0,1.0,2.0,6.0,4.0
Kennen,2,0,6,8,8,0.0,1.75,3.0,4.0,4.0
Smolder,2,2,38,10,4,100.0,4.2,19.0,5.0,2.0
