opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Rell,6,2,34,40,46,33.33,2.0,5.67,6.67,7.67
Sona,6,0,22,48,42,0.0,1.33,3.67,8.0,7.0
Braum,10,0,70,70,80,0.0,2.14,7.0,7.0,8.0
Morgana,4,0,20,32,20,0.0,1.25,5.0,8.0,5.0
Milio,2,0,12,20,42,0.0,2.7,6.0,10.0,21.0
Leona,6,6,44,48,76,100.0,2.5,7.33,8.0,12.67
Alistar,4,4,64,30,50,100.0,3.8,16.0,7.5,12.5
Blitzcrank,2,0,10,18,18,0.0,1.56,5.0,9.0,9.0
Gragas,2,2,6,8,42,100.0,6.0,3.0,4.0,21.0
Fiddlesticks,2,0,10,14,10,0.0,1.43,5.0,7.0,5.0
Renata,2,2,24,20,26,100.0,2.5,12.0,10.0,13.0
Rakan,2,2,14,2,12,100.0,13.0,7.0,1.0,6.0
Nami,8,8,72,32,24,100.0,3.0,9.0,4.0,3.0
Poppy,2,2,12,4,10,100.0,5.5,6.0,2.0,5.0
Hwei,4,4,32,28,36,100.0,2.43,8.0,7.0,9.0
