opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Pyke,16,14,34,44,156,87.5,4.32,2.12,2.75,9.75
Alistar,30,12,80,138,376,40.0,3.3,2.67,4.6,12.53
Nautilus,6,0,6,36,30,0.0,1.0,1.0,6.0,5.0
Milio,10,10,20,30,170,100.0,6.33,2.0,3.0,17.0
Yuumi,8,2,20,74,82,25.0,1.38,2.5,9.25,10.25
Pantheon,8,8,36,34,146,100.0,5.35,4.5,4.25,18.25
Rell,4,0,4,22,48,0.0,2.36,1.0,5.5,12.0
Leona,4,2,16,30,46,50.0,2.07,4.0,7.5,11.5
Lulu,10,10,0,60,160,100.0,2.67,0.0,6.0,16.0
Bard,2,2,6,8,36,100.0,5.25,3.0,4.0,18.0
Nami,6,6,0,0,0,100.0,0.0,0.0,0.0,0.0
Gragas,2,2,0,14,36,100.0,2.57,0.0,7.0,18.0
Poppy,4,0,4,24,28,0.0,1.33,1.0,6.0,7.0
Elise,4,0,0,36,28,0.0,0.78,0.0,9.0,7.0
