opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Yunara,38,0,310,156,242,0.0,3.54,8.16,4.11,6.37
Senna,20,4,150,126,102,20.0,2.0,7.5,6.3,5.1
Zeri,6,6,114,42,72,100.0,4.43,19.0,7.0,12.0
Hwei,4,0,8,0,0,0.0,8.0,2.0,0.0,0.0
Tristana,4,4,28,36,52,100.0,2.22,7.0,9.0,13.0
Lux,4,0,32,12,8,0.0,3.33,8.0,3.0,2.0
Sivir,6,6,52,8,28,100.0,10.0,8.67,1.33,4.67
Ezreal,8,8,30,30,38,100.0,2.27,3.75,3.75,4.75
Zyra,4,4,16,16,24,100.0,2.5,4.0,4.0,6.0
Corki,4,4,28,12,44,100.0,6.0,7.0,3.0,11.0
Smolder,4,4,52,4,8,100.0,15.0,13.0,1.0,2.0
Mel,2,2,10,4,16,100.0,6.5,5.0,2.0,8.0
Nilah,2,0,6,12,6,0.0,1.0,3.0,6.0,3.0
Aphelios,6,4,22,20,14,66.67,1.8,3.67,3.33,2.33
Fiora,2,2,22,4,14,100.0,9.0,11.0,2.0,7.0
