opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Vladimir,26,2,122,154,100,7.69,1.44,4.69,5.92,3.85
Galio,54,30,368,304,280,55.56,2.13,6.81,5.63,5.19
Sylas,98,70,608,492,744,71.43,2.75,6.2,5.02,7.59
Katarina,64,34,630,400,516,53.12,2.87,9.84,6.25,8.06
Hwei,18,18,114,44,166,100.0,6.36,6.33,2.44,9.22
Diana,8,6,60,34,96,75.0,4.59,7.5,4.25,12.0
Zed,24,14,134,128,248,58.33,2.98,5.58,5.33,10.33
Akali,28,16,104,80,176,57.14,3.5,3.71,2.86,6.29
Ekko,26,20,284,88,150,76.92,4.93,10.92,3.38,5.77
Aurelion Sol,30,22,432,142,264,73.33,4.9,14.4,4.73,8.8
Viktor,48,28,314,264,472,58.33,2.98,6.54,5.5,9.83
Azir,24,12,164,92,176,50.0,3.7,6.83,3.83,7.33
Twisted Fate,10,6,126,64,80,60.0,3.22,12.6,6.4,8.0
Nunu & Willump,2,0,8,14,12,0.0,1.43,4.0,7.0,6.0
Yone,12,2,26,44,52,16.67,1.77,2.17,3.67,4.33
Yasuo,62,46,568,470,768,74.19,2.84,9.16,7.58,12.39
Ahri,36,30,166,130,216,83.33,2.94,4.61,3.61,6.0
Kennen,12,12,64,88,144,100.0,2.36,5.33,7.33,12.0
Lissandra,10,10,60,70,90,100.0,2.14,6.0,7.0,9.0
Tryndamere,2,0,4,8,10,0.0,1.75,2.0,4.0,5.0
Kassadin,2,0,6,14,10,0.0,1.14,3.0,7.0,5.0
Kayle,2,2,14,2,10,100.0,12.0,7.0,1.0,5.0
Swain,2,2,28,12,28,100.0,4.67,14.0,6.0,14.0
Aurora,24,4,58,138,48,16.67,0.77,2.42,5.75,2.0
Mordekaiser,4,4,16,40,60,100.0,1.9,4.0,10.0,15.0
Talon,20,20,288,58,90,100.0,6.52,14.4,2.9,4.5
Xerath,6,2,26,34,46,33.33,2.12,4.33,5.67,7.67
Jayce,6,4,40,26,48,66.67,3.38,6.67,4.33,8.0
Zoe,42,22,400,242,280,52.38,2.81,9.52,5.76,6.67
Ryze,28,16,228,74,152,57.14,5.14,8.14,2.64,5.43
Ambessa,4,0,8,8,2,0.0,1.25,2.0,2.0,0.5
Lee Sin,2,2,6,16,8,100.0,0.88,3.0,8.0,4.0
Taliyah,14,4,112,102,106,28.57,2.14,8.0,7.29,7.57
Corki,16,14,78,40,84,87.5,4.05,4.88,2.5,5.25
Heimerdinger,6,6,30,18,78,100.0,6.0,5.0,3.0,13.0
Ornn,14,0,98,70,42,0.0,2.0,7.0,5.0,3.0
Akshan,16,16,130,38,94,100.0,5.89,8.12,2.38,5.88
Lulu,8,8,56,24,96,100.0,6.33,7.0,3.0,12.0
Sion,22,20,250,144,308,90.91,3.88,11.36,6.55,14.0
Orianna,10,2,12,34,38,20.0,1.47,1.2,3.4,3.8
Zilean,6,6,36,0,42,100.0,78.0,6.0,0.0,7.0
LeBlanc,2,2,30,8,28,100.0,7.25,15.0,4.0,14.0
Lux,8,4,24,28,40,50.0,2.29,3.0,3.5,5.0
Irelia,4,4,24,12,68,100.0,7.67,6.0,3.0,17.0
Vayne,2,2,14,20,10,100.0,1.2,7.0,10.0,5.0
Zac,4,0,16,24,10,0.0,1.08,4.0,6.0,2.5
Aatrox,2,2,6,8,18,100.0,3.0,3.0,4.0,9.0
Anivia,26,6,270,110,256,23.08,4.78,10.38,4.23,9.85
Mel,34,18,392,200,190,52.94,2.91,11.53,5.88,5.59
Veigar,6,6,50,26,56,100.0,4.08,8.33,4.33,9.33
Malzahar,6,6,18,6,12,100.0,5.0,3.0,1.0,2.0
Chogath,4,4,42,16,28,100.0,4.38,10.5,4.0,7.0
Nidalee,6,0,24,36,30,0.0,1.5,4.0,6.0,5.0
Syndra,8,4,40,48,48,50.0,1.83,5.0,6.0,6.0
Tahm Kench,6,6,24,24,60,100.0,3.5,4.0,4.0,10.0
Gragas,14,8,154,92,164,57.14,3.46,11.0,6.57,11.71
Cassiopeia,2,0,10,8,0,0.0,1.25,5.0,4.0,0.0
Warwick,2,2,18,4,2,100.0,5.0,9.0,2.0,1.0
Shen,6,0,12,36,18,0.0,0.83,2.0,6.0,3.0
Urgot,2,0,10,12,18,0.0,2.33,5.0,6.0,9.0
Smolder,2,2,12,2,12,100.0,12.0,6.0,1.0,6.0
Yorick,4,4,36,16,64,100.0,6.25,9.0,4.0,16.0
Annie,6,6,30,18,60,100.0,5.0,5.0,3.0,10.0
Fizz,12,12,132,96,180,100.0,3.25,11.0,8.0,15.0
Qiyana,24,24,414,62,170,100.0,9.42,17.25,2.58,7.08
Jhin,2,2,24,2,6,100.0,15.0,12.0,1.0,3.0
Brand,4,0,12,16,0,0.0,0.75,3.0,4.0,0.0
Rammus,2,0,4,16,8,0.0,0.75,2.0,8.0,4.0
Varus,10,10,0,0,0,100.0,0.0,0.0,0.0,0.0
Singed,4,4,32,28,40,100.0,2.57,8.0,7.0,10.0
Zyra,2,2,18,12,34,100.0,4.33,9.0,6.0,17.0
Kled,2,2,24,8,20,100.0,5.5,12.0,4.0,10.0
Malphite,2,2,2,10,12,100.0,1.4,1.0,5.0,6.0
