opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Twisted Fate,10,10,78,32,40,100.0,3.69,7.8,3.2,4.0
Taliyah,2,2,8,14,18,100.0,1.86,4.0,7.0,9.0
Akali,2,0,6,10,4,0.0,1.0,3.0,5.0,2.0
Tristana,2,0,2,4,2,0.0,1.0,1.0,2.0,1.0
Mel,8,0,0,48,24,0.0,0.5,0.0,6.0,3.0
Ryze,4,0,22,32,10,0.0,1.0,5.5,8.0,2.5
Gwen,2,2,22,6,6,100.0,4.67,11.0,3.0,3.0
LeBlanc,2,2,24,20,8,100.0,1.6,12.0,10.0,4.0
Galio,10,0,30,90,30,0.0,0.67,3.0,9.0,3.0
Lux,6,2,52,56,42,33.33,1.68,8.67,9.33,7.0
Aurora,6,6,156,42,24,100.0,4.29,26.0,7.0,4.0
Aurelion Sol,4,4,32,16,8,100.0,2.5,8.0,4.0,2.0
Zed,2,0,2,16,2,0.0,0.25,1.0,8.0,1.0
Anivia,4,0,32,36,4,0.0,1.0,8.0,9.0,1.0
Syndra,4,0,12,20,4,0.0,0.8,3.0,5.0,1.0
Ahri,8,6,36,22,74,75.0,5.0,4.5,2.75,9.25
Xerath,2,2,34,10,6,100.0,4.0,17.0,5.0,3.0
Zoe,2,0,12,22,6,0.0,0.82,6.0,11.0,3.0
Akshan,2,2,10,16,10,100.0,1.25,5.0,8.0,5.0
