opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Thresh,2,2,0,12,38,100.0,3.17,0.0,6.0,19.0
Rakan,6,0,6,78,48,0.0,0.69,1.0,13.0,8.0
Alistar,6,0,18,36,84,0.0,2.83,3.0,6.0,14.0
Annie,2,0,6,16,24,0.0,1.88,3.0,8.0,12.0
Lulu,4,2,10,18,50,50.0,3.33,2.5,4.5,12.5
Zilean,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0
Leona,2,0,2,12,12,0.0,1.17,1.0,6.0,6.0
Fiddlesticks,2,0,0,16,14,0.0,0.88,0.0,8.0,7.0
Trundle,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0
Rell,6,6,18,42,102,100.0,2.86,3.0,7.0,17.0
Pyke,2,2,6,14,42,100.0,3.43,3.0,7.0,21.0
Nami,4,0,10,28,52,0.0,2.21,2.5,7.0,13.0
Gragas,8,8,24,32,112,100.0,4.25,3.0,4.0,14.0
Milio,2,2,2,10,32,100.0,3.4,1.0,5.0,16.0
Pantheon,4,4,8,8,52,100.0,7.5,2.0,2.0,13.0
Karma,4,0,8,16,4,0.0,0.75,2.0,4.0,1.0
Nautilus,4,4,12,24,52,100.0,2.67,3.0,6.0,13.0
Braum,2,2,4,2,34,100.0,19.0,2.0,1.0,17.0
Sett,2,0,4,18,20,0.0,1.33,2.0,9.0,10.0
