opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Galio,22,14,174,158,116,63.64,1.84,7.91,7.18,5.27
Viktor,4,2,8,34,24,50.0,0.94,2.0,8.5,6.0
Akali,4,0,8,36,4,0.0,0.33,2.0,9.0,1.0
Ivern,4,4,52,12,36,100.0,7.33,13.0,3.0,9.0
Lucian,10,0,10,20,10,0.0,1.0,1.0,2.0,1.0
Qiyana,14,14,126,42,168,100.0,7.0,9.0,3.0,12.0
Talon,4,4,4,32,16,100.0,0.62,1.0,8.0,4.0
Sylas,28,20,196,168,200,71.43,2.36,7.0,6.0,7.14
Garen,6,6,18,30,48,100.0,2.2,3.0,5.0,8.0
Renekton,4,4,0,20,36,100.0,1.8,0.0,5.0,9.0
Irelia,24,12,122,144,110,50.0,1.61,5.08,6.0,4.58
Lissandra,6,0,16,56,32,0.0,0.86,2.67,9.33,5.33
Tryndamere,2,0,6,18,0,0.0,0.33,3.0,9.0,0.0
Naafiri,4,2,38,42,18,50.0,1.33,9.5,10.5,4.5
Fizz,12,2,20,32,10,16.67,0.94,1.67,2.67,0.83
Aurora,2,0,6,22,4,0.0,0.45,3.0,11.0,2.0
Vex,2,0,0,10,4,0.0,0.4,0.0,5.0,2.0
Pantheon,10,0,120,90,40,0.0,1.78,12.0,9.0,4.0
Vladimir,22,8,64,138,54,36.36,0.86,2.91,6.27,2.45
Corki,12,12,70,48,94,100.0,3.42,5.83,4.0,7.83
Diana,10,8,44,58,56,80.0,1.72,4.4,5.8,5.6
Smolder,4,0,8,4,4,0.0,3.0,2.0,1.0,1.0
Twitch,4,0,28,48,20,0.0,1.0,7.0,12.0,5.0
Xerath,22,4,140,108,50,18.18,1.76,6.36,4.91,2.27
Yasuo,34,24,218,196,178,70.59,2.02,6.41,5.76,5.24
Ahri,10,10,70,40,30,100.0,2.5,7.0,4.0,3.0
Fiddlesticks,12,12,72,60,180,100.0,4.2,6.0,5.0,15.0
Yone,18,10,126,80,94,55.56,2.75,7.0,4.44,5.22
Ekko,10,8,24,24,12,80.0,1.5,2.4,2.4,1.2
Veigar,4,4,20,12,16,100.0,3.0,5.0,3.0,4.0
Malzahar,2,0,12,16,6,0.0,1.12,6.0,8.0,3.0
KSante,4,0,0,32,8,0.0,0.25,0.0,8.0,2.0
Morgana,2,0,10,12,8,0.0,1.5,5.0,6.0,4.0
Mel,2,0,10,6,6,0.0,2.67,5.0,3.0,3.0
Chogath,2,0,6,18,24,0.0,1.67,3.0,9.0,12.0
Orianna,8,0,8,56,8,0.0,0.29,1.0,7.0,1.0
Jayce,4,0,12,24,24,0.0,1.5,3.0,6.0,6.0
Udyr,2,0,18,14,4,0.0,1.57,9.0,7.0,2.0
Syndra,2,0,8,14,26,0.0,2.43,4.0,7.0,13.0
Katarina,4,2,28,20,20,50.0,2.4,7.0,5.0,5.0
Vayne,4,0,8,8,0,0.0,1.0,2.0,2.0,0.0
Kassadin,2,0,4,8,8,0.0,1.5,2.0,4.0,4.0
Riven,2,2,14,2,6,100.0,10.0,7.0,1.0,3.0
Zed,6,0,32,42,62,0.0,2.24,5.33,7.0,10.33
Ryze,2,2,8,8,16,100.0,3.0,4.0,4.0,8.0
Gwen,2,2,12,6,4,100.0,2.67,6.0,3.0,2.0
Azir,2,2,14,6,16,100.0,5.0,7.0,3.0,8.0
Shen,2,0,10,14,8,0.0,1.29,5.0,7.0,4.0
Taliyah,2,0,2,12,2,0.0,0.33,1.0,6.0,1.0
Kayle,2,0,0,8,0,0.0,0.0,0.0,4.0,0.0
