opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Leona,22,0,78,94,210,0.0,3.06,3.55,4.27,9.55
Alistar,64,14,156,596,660,21.88,1.37,2.44,9.31,10.31
Neeko,6,6,18,18,90,100.0,6.0,3.0,3.0,15.0
Bard,6,2,20,46,68,33.33,1.91,3.33,7.67,11.33
Milio,26,0,72,226,308,0.0,1.68,2.77,8.69,11.85
Rell,26,4,58,216,252,15.38,1.44,2.23,8.31,9.69
Nautilus,100,60,448,706,1362,60.0,2.56,4.48,7.06,13.62
Braum,24,2,54,142,168,8.33,1.56,2.25,5.92,7.0
Rakan,16,12,84,24,152,75.0,9.83,5.25,1.5,9.5
Sona,8,6,12,62,70,75.0,1.32,1.5,7.75,8.75
Gragas,4,0,8,44,28,0.0,0.82,2.0,11.0,7.0
Lulu,26,8,68,148,188,30.77,1.73,2.62,5.69,7.23
Zilean,10,6,28,64,138,60.0,2.59,2.8,6.4,13.8
Thresh,64,42,118,378,978,65.62,2.9,1.84,5.91,15.28
Taric,6,4,14,38,92,66.67,2.79,2.33,6.33,15.33
Tahm Kench,6,6,12,28,94,100.0,3.79,2.0,4.67,15.67
Shaco,24,0,32,40,32,0.0,1.6,1.33,1.67,1.33
Nami,52,28,104,220,446,53.85,2.5,2.0,4.23,8.58
Janna,22,16,44,76,248,72.73,3.84,2.0,3.45,11.27
Soraka,10,0,4,34,68,0.0,2.12,0.4,3.4,6.8
Jarvan Iv,6,6,18,18,126,100.0,8.0,3.0,3.0,21.0
Karma,26,24,58,114,258,92.31,2.77,2.23,4.38,9.92
VelKoz,2,2,2,0,24,100.0,26.0,1.0,0.0,12.0
Maokai,2,0,4,12,12,0.0,1.33,2.0,6.0,6.0
Zyra,2,0,4,10,36,0.0,4.0,2.0,5.0,18.0
Morgana,8,0,16,64,48,0.0,1.0,2.0,8.0,6.0
Shen,4,4,56,24,64,100.0,5.0,14.0,6.0,16.0
Mel,2,0,12,24,12,0.0,1.0,6.0,12.0,6.0
Sejuani,2,2,6,8,30,100.0,4.5,3.0,4.0,15.0
Poppy,2,2,6,8,20,100.0,3.25,3.0,4.0,10.0
Pyke,2,2,8,14,26,100.0,2.43,4.0,7.0,13.0
