opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Kayle,142,72,642,560,1136,50.7,3.17,4.52,3.94,8.0
Gangplank,362,158,1330,1372,3148,43.65,3.26,3.67,3.79,8.7
Yorick,268,138,830,852,2024,51.49,3.35,3.1,3.18,7.55
Vladimir,208,92,668,784,1512,44.23,2.78,3.21,3.77,7.27
Gragas,194,98,600,822,1704,50.52,2.8,3.09,4.24,8.78
Jayce,396,252,1626,1788,4146,63.64,3.23,4.11,4.52,10.47
Riven,374,188,1416,1750,3260,50.27,2.67,3.79,4.68,8.72
Aatrox,552,340,2288,2200,5436,61.59,3.51,4.14,3.99,9.85
Lissandra,18,8,76,48,148,44.44,4.67,4.22,2.67,8.22
Ryze,66,30,260,262,510,45.45,2.94,3.94,3.97,7.73
Jax,478,264,2232,1852,4266,55.23,3.51,4.67,3.87,8.92
Smolder,56,32,270,232,702,57.14,4.19,4.82,4.14,12.54
Lee Sin,12,6,30,6,102,50.0,22.0,2.5,0.5,8.5
Sion,246,152,1264,1006,2560,61.79,3.8,5.14,4.09,10.41
Ambessa,628,322,2388,2450,5322,51.27,3.15,3.8,3.9,8.47
Gnar,326,148,1400,1376,2748,45.4,3.01,4.29,4.22,8.43
KSante,256,134,876,1190,2212,52.34,2.59,3.42,4.65,8.64
Dr. Mundo,220,118,898,904,1942,53.64,3.14,4.08,4.11,8.83
Gwen,362,196,1144,1436,2942,54.14,2.85,3.16,3.97,8.13
Sejuani,14,14,84,40,152,100.0,5.9,6.0,2.86,10.86
Chogath,106,34,302,484,750,32.08,2.17,2.85,4.57,7.08
Singed,164,84,640,628,1414,51.22,3.27,3.9,3.83,8.62
Rengar,36,18,210,170,332,50.0,3.19,5.83,4.72,9.22
Sett,268,110,1076,1210,2264,41.04,2.76,4.01,4.51,8.45
Wukong,16,10,64,54,98,62.5,3.0,4.0,3.38,6.12
Yone,140,78,524,554,1102,55.71,2.94,3.74,3.96,7.87
Urgot,162,80,474,752,1316,49.38,2.38,2.93,4.64,8.12
Fiora,194,86,884,856,1662,44.33,2.97,4.56,4.41,8.57
Teemo,140,70,584,508,1400,50.0,3.91,4.17,3.63,10.0
Irelia,140,62,502,736,1258,44.29,2.39,3.59,5.26,8.99
Azir,70,46,206,270,638,65.71,3.13,2.94,3.86,9.11
Mordekaiser,358,212,1386,1520,2902,59.22,2.82,3.87,4.25,8.11
Renekton,304,164,1022,1398,2920,53.95,2.82,3.36,4.6,9.61
Varus,6,4,30,26,38,66.67,2.62,5.0,4.33,6.33
Viego,6,6,18,14,106,100.0,8.86,3.0,2.33,17.67
Kindred,4,0,4,24,52,0.0,2.33,1.0,6.0,13.0
Camille,178,70,668,808,1162,39.33,2.26,3.75,4.54,6.53
Kennen,132,56,556,576,1010,42.42,2.72,4.21,4.36,7.65
Neeko,8,6,20,6,70,75.0,15.0,2.5,0.75,8.75
Rumble,214,68,784,1058,1938,31.78,2.57,3.66,4.94,9.06
Nasus,74,40,254,242,530,54.05,3.24,3.43,3.27,7.16
Draven,2,2,4,2,28,100.0,16.0,2.0,1.0,14.0
Yasuo,134,72,644,570,1140,53.73,3.13,4.81,4.25,8.51
Sylas,56,34,194,198,616,60.71,4.09,3.46,3.54,11.0
Akali,84,44,336,304,672,52.38,3.32,4.0,3.62,8.0
Udyr,76,50,336,324,688,65.79,3.16,4.42,4.26,9.05
Illaoi,98,42,356,486,872,42.86,2.53,3.63,4.96,8.9
Zed,24,2,72,112,76,8.33,1.32,3.0,4.67,3.17
Heimerdinger,48,20,118,164,322,41.67,2.68,2.46,3.42,6.71
Tryndamere,126,90,586,450,1278,71.43,4.14,4.65,3.57,10.14
Trundle,54,22,242,206,500,40.74,3.6,4.48,3.81,9.26
Warwick,136,64,562,582,1168,47.06,2.97,4.13,4.28,8.59
Kassadin,4,0,4,32,28,0.0,1.0,1.0,8.0,7.0
Darius,222,140,694,826,2080,63.06,3.36,3.13,3.72,9.37
Quinn,40,34,152,90,446,85.0,6.64,3.8,2.25,11.15
Ornn,246,142,948,1100,2522,57.72,3.15,3.85,4.47,10.25
Aurora,132,80,282,392,848,60.61,2.88,2.14,2.97,6.42
Anivia,28,8,100,136,188,28.57,2.12,3.57,4.86,6.71
Soraka,6,6,24,36,66,100.0,2.5,4.0,6.0,11.0
Olaf,82,38,368,376,752,46.34,2.98,4.49,4.59,9.17
Reksai,10,8,10,12,8,80.0,1.5,1.0,1.2,0.8
Shaco,8,2,46,24,48,25.0,3.92,5.75,3.0,6.0
Ekko,2,2,6,0,6,100.0,12.0,3.0,0.0,3.0
Kled,124,66,564,532,1194,53.23,3.3,4.55,4.29,9.63
Karma,12,2,38,60,94,16.67,2.2,3.17,5.0,7.83
Jarvan Iv,2,2,8,12,8,100.0,1.33,4.0,6.0,4.0
Nidalee,22,16,114,88,246,72.73,4.09,5.18,4.0,11.18
Zac,60,38,164,324,704,63.33,2.68,2.73,5.4,11.73
Garen,154,92,762,814,1564,59.74,2.86,4.95,5.29,10.16
Viktor,4,2,4,18,30,50.0,1.89,1.0,4.5,7.5
Poppy,54,32,212,268,558,59.26,2.87,3.93,4.96,10.33
Twisted Fate,18,4,68,102,136,22.22,2.0,3.78,5.67,7.56
Cassiopeia,32,14,184,166,362,43.75,3.29,5.75,5.19,11.31
Swain,24,10,132,116,286,41.67,3.6,5.5,4.83,11.92
Volibear,46,32,230,192,422,69.57,3.4,5.0,4.17,9.17
Malphite,42,24,162,192,402,57.14,2.94,3.86,4.57,9.57
Xin Zhao,2,0,2,0,0,0.0,2.0,1.0,0.0,0.0
Naafiri,4,2,16,18,18,50.0,1.89,4.0,4.5,4.5
Malzahar,4,2,10,10,24,50.0,3.4,2.5,2.5,6.0
Ivern,30,22,74,174,266,73.33,1.95,2.47,5.8,8.87
Vayne,44,18,324,200,362,40.91,3.43,7.36,4.55,8.23
Talon,2,2,2,2,10,100.0,6.0,1.0,1.0,5.0
Corki,24,10,100,106,240,41.67,3.21,4.17,4.42,10.0
Qiyana,14,6,74,64,82,42.86,2.44,5.29,4.57,5.86
Katarina,12,4,50,48,88,33.33,2.88,4.17,4.0,7.33
Lux,6,6,18,18,78,100.0,5.33,3.0,3.0,13.0
Pantheon,126,50,548,536,1080,39.68,3.04,4.35,4.25,8.57
KogMaw,4,4,40,20,28,100.0,3.4,10.0,5.0,7.0
Annie,6,0,12,20,8,0.0,1.0,2.0,3.33,1.33
Akshan,10,0,18,32,16,0.0,1.06,1.8,3.2,1.6
Thresh,2,0,10,12,22,0.0,2.67,5.0,6.0,11.0
Maokai,18,0,72,90,72,0.0,1.6,4.0,5.0,4.0
Hecarim,16,16,176,48,224,100.0,8.33,11.0,3.0,14.0
Graves,10,6,60,40,112,60.0,4.3,6.0,4.0,11.2
Kaisa,14,12,70,46,130,85.71,4.35,5.0,3.29,9.29
Aurelion Sol,8,0,28,38,52,0.0,2.11,3.5,4.75,6.5
Ahri,4,4,40,4,24,100.0,16.0,10.0,1.0,6.0
Galio,30,28,100,96,402,93.33,5.23,3.33,3.2,13.4
Tahm Kench,14,12,40,50,152,85.71,3.84,2.86,3.57,10.86
Aphelios,2,0,36,10,26,0.0,6.2,18.0,5.0,13.0
Fiddlesticks,8,2,8,46,30,25.0,0.83,1.0,5.75,3.75
Skarner,6,0,12,24,12,0.0,1.0,2.0,4.0,2.0
Nunu & Willump,2,2,12,0,22,100.0,34.0,6.0,0.0,11.0
Elise,6,2,26,32,62,33.33,2.75,4.33,5.33,10.33
Zeri,8,0,10,54,96,0.0,1.96,1.25,6.75,12.0
Zilean,12,6,28,40,96,50.0,3.1,2.33,3.33,8.0
Alistar,6,0,0,24,18,0.0,0.75,0.0,4.0,3.0
Kalista,6,0,42,48,48,0.0,1.88,7.0,8.0,8.0
Rammus,2,2,6,2,16,100.0,11.0,3.0,1.0,8.0
Mel,2,2,12,12,24,100.0,3.0,6.0,6.0,12.0
Syndra,2,0,2,8,8,0.0,1.25,1.0,4.0,4.0
Orianna,2,0,8,12,12,0.0,1.67,4.0,6.0,6.0
Zoe,4,4,26,12,54,100.0,6.67,6.5,3.0,13.5
