opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Sylas,70,50,406,276,672,71.43,3.91,5.8,3.94,9.6
Yasuo,14,10,82,46,120,71.43,4.39,5.86,3.29,8.57
Xerath,2,2,6,4,24,100.0,7.5,3.0,2.0,12.0
Smolder,10,0,22,62,76,0.0,1.58,2.2,6.2,7.6
Swain,4,4,20,24,44,100.0,2.67,5.0,6.0,11.0
Orianna,22,0,90,112,96,0.0,1.66,4.09,5.09,4.36
Corki,8,6,90,40,104,75.0,4.85,11.25,5.0,13.0
Hwei,18,12,24,46,58,66.67,1.78,1.33,2.56,3.22
Twisted Fate,22,6,48,62,90,27.27,2.23,2.18,2.82,4.09
Kaisa,2,0,8,12,12,0.0,1.67,4.0,6.0,6.0
Galio,8,8,64,28,118,100.0,6.5,8.0,3.5,14.75
Aurora,18,6,62,86,148,33.33,2.44,3.44,4.78,8.22
Ryze,24,18,132,82,232,75.0,4.44,5.5,3.42,9.67
Brand,2,0,2,14,8,0.0,0.71,1.0,7.0,4.0
Talon,8,4,24,82,102,50.0,1.54,3.0,10.25,12.75
Ahri,58,26,216,250,400,44.83,2.46,3.72,4.31,6.9
Zed,18,4,104,116,138,22.22,2.09,5.78,6.44,7.67
Irelia,28,18,122,102,184,64.29,3.0,4.36,3.64,6.57
Morgana,8,0,12,68,64,0.0,1.12,1.5,8.5,8.0
Kayle,14,6,64,54,174,42.86,4.41,4.57,3.86,12.43
Azir,38,6,144,204,300,15.79,2.18,3.79,5.37,7.89
Yone,22,10,98,82,292,45.45,4.76,4.45,3.73,13.27
Taliyah,36,16,110,196,320,44.44,2.19,3.06,5.44,8.89
Teemo,14,14,64,44,152,100.0,4.91,4.57,3.14,10.86
Lux,46,22,120,354,660,47.83,2.2,2.61,7.7,14.35
LeBlanc,10,0,22,56,82,0.0,1.86,2.2,5.6,8.2
Zilean,6,4,16,44,88,66.67,2.36,2.67,7.33,14.67
Katarina,26,18,114,192,286,69.23,2.08,4.38,7.38,11.0
Jayce,10,2,18,66,70,20.0,1.33,1.8,6.6,7.0
Mel,18,18,152,88,302,100.0,5.16,8.44,4.89,16.78
Syndra,16,4,40,86,98,25.0,1.6,2.5,5.38,6.12
Riven,14,0,70,84,104,0.0,2.07,5.0,6.0,7.43
Gangplank,22,12,104,70,174,54.55,3.97,4.73,3.18,7.91
Nunu & Willump,2,2,6,6,14,100.0,3.33,3.0,3.0,7.0
Viktor,4,0,24,20,14,0.0,1.9,6.0,5.0,3.5
Sion,2,2,12,2,18,100.0,15.0,6.0,1.0,9.0
Akshan,6,2,20,18,38,33.33,3.22,3.33,3.0,6.33
Qiyana,14,10,92,66,128,71.43,3.33,6.57,4.71,9.14
Kassadin,4,4,26,16,58,100.0,5.25,6.5,4.0,14.5
Cassiopeia,6,2,10,20,52,33.33,3.1,1.67,3.33,8.67
Veigar,18,6,92,158,180,33.33,1.72,5.11,8.78,10.0
Elise,4,4,32,32,104,100.0,4.25,8.0,8.0,26.0
Annie,16,16,100,60,214,100.0,5.23,6.25,3.75,13.38
Vladimir,28,8,108,168,248,28.57,2.12,3.86,6.0,8.86
Neeko,4,2,24,26,32,50.0,2.15,6.0,6.5,8.0
Nidalee,2,2,10,8,28,100.0,4.75,5.0,4.0,14.0
Seraphine,2,0,20,10,42,0.0,6.2,10.0,5.0,21.0
Zoe,4,4,16,36,52,100.0,1.89,4.0,9.0,13.0
Zac,2,2,8,8,40,100.0,6.0,4.0,4.0,20.0
Lissandra,2,0,10,18,16,0.0,1.44,5.0,9.0,8.0
Akali,10,0,60,90,110,0.0,1.89,6.0,9.0,11.0
Ekko,2,2,6,4,26,100.0,8.0,3.0,2.0,13.0
Vex,2,0,8,16,8,0.0,1.0,4.0,8.0,4.0
KogMaw,2,0,2,6,8,0.0,1.67,1.0,3.0,4.0
Nasus,6,2,44,28,58,33.33,3.64,7.33,4.67,9.67
Malzahar,2,2,22,12,16,100.0,3.17,11.0,6.0,8.0
Fizz,2,0,4,10,16,0.0,2.0,2.0,5.0,8.0
Chogath,4,4,8,8,20,100.0,3.5,2.0,2.0,5.0
Rumble,4,0,36,24,24,0.0,2.5,9.0,6.0,6.0
Twitch,6,6,6,30,54,100.0,2.0,1.0,5.0,9.0
Gwen,8,0,24,96,88,0.0,1.17,3.0,12.0,11.0
Jax,2,0,4,6,12,0.0,2.67,2.0,3.0,6.0
Gragas,2,0,14,24,12,0.0,1.08,7.0,12.0,6.0
