opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Orianna,50,12,126,246,310,24.0,1.77,2.52,4.92,6.2
VelKoz,14,10,54,38,204,71.43,6.79,3.86,2.71,14.57
Zoe,24,8,32,90,122,33.33,1.71,1.33,3.75,5.08
Viktor,44,18,150,252,328,40.91,1.9,3.41,5.73,7.45
Syndra,44,12,126,166,298,27.27,2.55,2.86,3.77,6.77
Ahri,42,22,130,234,412,52.38,2.32,3.1,5.57,9.81
Aatrox,14,14,56,56,154,100.0,3.75,4.0,4.0,11.0
Zed,44,26,146,218,388,59.09,2.45,3.32,4.95,8.82
Aurelion Sol,16,12,86,142,166,75.0,1.77,5.38,8.88,10.38
Aurora,76,46,274,360,414,60.53,1.91,3.61,4.74,5.45
Hwei,40,2,110,200,232,5.0,1.71,2.75,5.0,5.8
Sylas,42,8,168,344,774,19.05,2.74,4.0,8.19,18.43
Twisted Fate,42,36,116,154,400,85.71,3.35,2.76,3.67,9.52
Taliyah,38,26,116,254,436,68.42,2.17,3.05,6.68,11.47
Corki,16,10,58,34,110,62.5,4.94,3.62,2.12,6.88
Malzahar,6,0,18,30,30,0.0,1.6,3.0,5.0,5.0
Swain,10,10,46,38,134,100.0,4.74,4.6,3.8,13.4
Cassiopeia,34,18,40,138,228,52.94,1.94,1.18,4.06,6.71
Lissandra,22,4,26,108,144,18.18,1.57,1.18,4.91,6.55
Xerath,6,2,30,26,78,33.33,4.15,5.0,4.33,13.0
Ekko,30,30,104,116,216,100.0,2.76,3.47,3.87,7.2
Kennen,10,10,30,26,116,100.0,5.62,3.0,2.6,11.6
Yasuo,42,32,180,150,318,76.19,3.32,4.29,3.57,7.57
Gragas,30,12,92,90,60,40.0,1.69,3.07,3.0,2.0
LeBlanc,38,22,102,124,278,57.89,3.06,2.68,3.26,7.32
Katarina,8,6,48,30,70,75.0,3.93,6.0,3.75,8.75
Azir,18,16,62,50,140,88.89,4.04,3.44,2.78,7.78
Caitlyn,6,6,24,30,36,100.0,2.0,4.0,5.0,6.0
Nunu & Willump,2,0,10,8,10,0.0,2.5,5.0,4.0,5.0
Ambessa,6,6,20,28,72,100.0,3.29,3.33,4.67,12.0
Galio,14,4,66,68,98,28.57,2.41,4.71,4.86,7.0
Ziggs,4,0,12,24,32,0.0,1.83,3.0,6.0,8.0
Qiyana,6,2,20,38,36,33.33,1.47,3.33,6.33,6.0
Renekton,4,2,14,24,32,50.0,1.92,3.5,6.0,8.0
Kassadin,2,2,14,4,20,100.0,8.5,7.0,2.0,10.0
Veigar,10,10,30,48,172,100.0,4.21,3.0,4.8,17.2
Kayle,6,2,20,22,16,33.33,1.64,3.33,3.67,2.67
Zilean,10,2,38,50,50,20.0,1.76,3.8,5.0,5.0
Lux,8,4,28,38,76,50.0,2.74,3.5,4.75,9.5
Yone,24,14,96,140,318,58.33,2.96,4.0,5.83,13.25
Jhin,4,0,16,32,36,0.0,1.62,4.0,8.0,9.0
Annie,68,8,132,352,136,11.76,0.76,1.94,5.18,2.0
Rumble,22,2,84,190,210,9.09,1.55,3.82,8.64,9.55
Akali,16,6,68,70,128,37.5,2.8,4.25,4.38,8.0
Singed,2,0,2,10,6,0.0,0.8,1.0,5.0,3.0
Akshan,8,6,14,32,80,75.0,2.94,1.75,4.0,10.0
Garen,8,4,36,72,56,50.0,1.28,4.5,9.0,7.0
Ryze,8,6,30,42,94,75.0,2.95,3.75,5.25,11.75
Gwen,18,10,62,46,108,55.56,3.7,3.44,2.56,6.0
Zac,6,2,10,38,16,33.33,0.68,1.67,6.33,2.67
Vladimir,12,6,26,50,76,50.0,2.04,2.17,4.17,6.33
KSante,16,0,40,144,160,0.0,1.39,2.5,9.0,10.0
Diana,12,10,22,34,180,83.33,5.94,1.83,2.83,15.0
Morgana,2,0,10,12,22,0.0,2.67,5.0,6.0,11.0
Irelia,10,4,18,48,78,40.0,2.0,1.8,4.8,7.8
Mordekaiser,2,0,8,10,12,0.0,2.0,4.0,5.0,6.0
Urgot,2,0,4,4,4,0.0,2.0,2.0,2.0,2.0
Pantheon,2,0,2,12,10,0.0,1.0,1.0,6.0,5.0
Dr. Mundo,4,0,8,16,28,0.0,2.25,2.0,4.0,7.0
Mel,4,4,8,20,12,100.0,1.0,2.0,5.0,3.0
Lucian,4,2,8,12,24,50.0,2.67,2.0,3.0,6.0
Fizz,2,2,8,8,26,100.0,4.25,4.0,4.0,13.0
Udyr,4,2,20,26,20,50.0,1.54,5.0,6.5,5.0
Yunara,4,4,16,32,60,100.0,2.38,4.0,8.0,15.0
Gangplank,2,0,2,6,4,0.0,1.0,1.0,3.0,2.0
Tryndamere,2,0,4,6,2,0.0,1.0,2.0,3.0,1.0
Fiora,16,14,36,76,114,87.5,1.97,2.25,4.75,7.12
Tristana,8,0,38,48,14,0.0,1.08,4.75,6.0,1.75
Jayce,18,10,42,98,112,55.56,1.57,2.33,5.44,6.22
Karma,2,2,2,10,18,100.0,2.0,1.0,5.0,9.0
Smolder,2,2,10,26,12,100.0,0.85,5.0,13.0,6.0
Kayn,2,2,8,10,34,100.0,4.2,4.0,5.0,17.0
