opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Corki,572,302,3300,2682,4246,52.8,2.81,5.77,4.69,7.42
Heimerdinger,22,18,186,80,394,81.82,7.25,8.45,3.64,17.91
Caitlyn,490,260,2480,2162,3868,53.06,2.94,5.06,4.41,7.89
Yunara,816,374,3804,3872,5860,45.83,2.5,4.66,4.75,7.18
Senna,652,326,3758,3444,5072,50.0,2.56,5.76,5.28,7.78
Jhin,920,584,4946,4362,7216,63.48,2.79,5.38,4.74,7.84
Aphelios,720,342,3728,3642,5848,47.5,2.63,5.18,5.06,8.12
Miss Fortune,372,174,2060,1946,3122,46.77,2.66,5.54,5.23,8.39
Zeri,456,204,2218,2286,3324,44.74,2.42,4.86,5.01,7.29
Lucian,1002,430,5090,5654,7578,42.91,2.24,5.08,5.64,7.56
Ezreal,1308,660,7106,6456,10562,50.46,2.74,5.43,4.94,8.07
Vayne,400,202,2518,2138,3280,50.5,2.71,6.29,5.34,8.2
Tristana,650,362,3676,3166,4834,55.69,2.69,5.66,4.87,7.44
Twitch,346,132,1522,2066,2540,38.15,1.97,4.4,5.97,7.34
Draven,294,194,1722,1318,2724,65.99,3.37,5.86,4.48,9.27
Kaisa,1140,632,6822,6248,9694,55.44,2.64,5.98,5.48,8.5
Swain,112,46,490,656,700,41.07,1.81,4.38,5.86,6.25
Jinx,690,408,3792,2992,5314,59.13,3.04,5.5,4.34,7.7
Karthus,234,106,1464,1302,1664,45.3,2.4,6.26,5.56,7.11
Smolder,434,226,2186,1910,3482,52.07,2.97,5.04,4.4,8.02
Xayah,352,204,2022,1524,2476,57.95,2.95,5.74,4.33,7.03
Varus,1044,552,5502,4532,7808,52.87,2.94,5.27,4.34,7.48
Nilah,138,66,702,604,902,47.83,2.66,5.09,4.38,6.54
Mel,304,166,1484,1360,2120,54.61,2.65,4.88,4.47,6.97
Ashe,390,200,1818,1912,3060,51.28,2.55,4.66,4.9,7.85
Viktor,30,14,156,144,216,46.67,2.58,5.2,4.8,7.2
Lux,160,56,764,804,902,35.0,2.07,4.78,5.03,5.64
Ziggs,270,116,1154,1274,1766,42.96,2.29,4.27,4.72,6.54
KogMaw,168,70,710,900,1292,41.67,2.22,4.23,5.36,7.69
Samira,172,88,982,1050,1468,51.16,2.33,5.71,6.1,8.53
Seraphine,202,80,980,972,1346,39.6,2.39,4.85,4.81,6.66
Yasuo,126,50,648,730,994,39.68,2.25,5.14,5.79,7.89
Aurelion Sol,66,26,310,360,562,39.39,2.42,4.7,5.45,8.52
Kalista,70,48,386,336,566,68.57,2.83,5.51,4.8,8.09
Hwei,176,72,828,920,1166,40.91,2.17,4.7,5.23,6.62
Graves,8,8,8,0,48,100.0,56.0,1.0,0.0,6.0
Cassiopeia,64,26,334,364,450,40.62,2.15,5.22,5.69,7.03
Zyra,96,28,338,412,626,29.17,2.34,3.52,4.29,6.52
Chogath,14,6,44,66,114,42.86,2.39,3.14,4.71,8.14
Irelia,10,2,10,44,72,20.0,1.86,1.0,4.4,7.2
Azir,12,6,42,72,90,50.0,1.83,3.5,6.0,7.5
Ahri,2,2,28,10,30,100.0,5.8,14.0,5.0,15.0
Riven,6,0,12,28,28,0.0,1.43,2.0,4.67,4.67
Pyke,2,2,18,8,8,100.0,3.25,9.0,4.0,4.0
Shen,4,0,20,28,24,0.0,1.57,5.0,7.0,6.0
Karma,14,14,64,20,132,100.0,9.8,4.57,1.43,9.43
Tahm Kench,4,2,10,28,36,50.0,1.64,2.5,7.0,9.0
Syndra,28,18,170,136,246,64.29,3.06,6.07,4.86,8.79
Kled,8,8,60,60,104,100.0,2.73,7.5,7.5,13.0
Urgot,10,0,46,100,142,0.0,1.88,4.6,10.0,14.2
Sona,6,0,24,30,42,0.0,2.2,4.0,5.0,7.0
Yone,10,10,114,92,170,100.0,3.09,11.4,9.2,17.0
Brand,26,10,208,130,210,38.46,3.22,8.0,5.0,8.08
Bard,4,4,24,4,40,100.0,16.0,6.0,1.0,10.0
Zilean,6,6,36,34,52,100.0,2.59,6.0,5.67,8.67
VelKoz,22,4,78,160,120,18.18,1.24,3.55,7.27,5.45
Taliyah,6,6,54,30,102,100.0,5.2,9.0,5.0,17.0
Xerath,10,6,70,50,58,60.0,2.56,7.0,5.0,5.8
Veigar,64,32,454,318,530,50.0,3.09,7.09,4.97,8.28
Aurora,10,10,44,34,98,100.0,4.18,4.4,3.4,9.8
Zoe,4,4,36,28,74,100.0,3.93,9.0,7.0,18.5
Kayle,8,4,72,68,124,50.0,2.88,9.0,8.5,15.5
Kindred,2,0,8,14,24,0.0,2.29,4.0,7.0,12.0
Morgana,4,2,16,14,18,50.0,2.43,4.0,3.5,4.5
Jax,14,0,14,70,70,0.0,1.2,1.0,5.0,5.0
Qiyana,6,6,54,56,76,100.0,2.32,9.0,9.33,12.67
Anivia,6,0,0,48,30,0.0,0.62,0.0,8.0,5.0
Vladimir,10,8,16,26,110,80.0,4.85,1.6,2.6,11.0
