opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,18,10,66,110,196,55.56,2.38,3.67,6.11,10.89
Rell,4,4,8,20,88,100.0,4.8,2.0,5.0,22.0
Leona,8,4,30,50,110,50.0,2.8,3.75,6.25,13.75
Sona,6,0,12,36,12,0.0,0.67,2.0,6.0,2.0
Twisted Fate,2,2,10,16,48,100.0,3.62,5.0,8.0,24.0
Tahm Kench,2,0,0,14,16,0.0,1.14,0.0,7.0,8.0
Karma,8,0,8,96,16,0.0,0.25,1.0,12.0,2.0
Pyke,8,0,0,48,8,0.0,0.17,0.0,6.0,1.0
Galio,6,0,24,42,42,0.0,1.57,4.0,7.0,7.0
Thresh,6,0,12,64,50,0.0,0.97,2.0,10.67,8.33
Rakan,4,4,20,20,40,100.0,3.0,5.0,5.0,10.0
Bard,2,2,4,10,44,100.0,4.8,2.0,5.0,22.0
