opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Yone,122,72,946,452,626,59.02,3.48,7.75,3.7,5.13
Annie,42,38,302,192,266,90.48,2.96,7.19,4.57,6.33
Viktor,66,20,436,326,324,30.3,2.33,6.61,4.94,4.91
Ekko,90,38,420,464,466,42.22,1.91,4.67,5.16,5.18
Zac,34,20,192,160,220,58.82,2.58,5.65,4.71,6.47
Azir,16,10,104,82,90,62.5,2.37,6.5,5.12,5.62
Zyra,6,6,20,12,52,100.0,6.0,3.33,2.0,8.67
Irelia,30,12,232,186,270,40.0,2.7,7.73,6.2,9.0
Galio,190,128,1226,942,1032,67.37,2.4,6.45,4.96,5.43
Orianna,46,16,204,264,208,34.78,1.56,4.43,5.74,4.52
Lux,28,16,90,170,158,57.14,1.46,3.21,6.07,5.64
Jayce,26,2,76,120,64,7.69,1.17,2.92,4.62,2.46
Illaoi,14,14,164,66,224,100.0,5.88,11.71,4.71,16.0
Talon,18,0,72,130,40,0.0,0.86,4.0,7.22,2.22
Heimerdinger,10,10,80,52,64,100.0,2.77,8.0,5.2,6.4
Neeko,14,10,100,76,100,71.43,2.63,7.14,5.43,7.14
Sylas,82,46,418,556,540,56.1,1.72,5.1,6.78,6.59
Ryze,54,18,320,260,280,33.33,2.31,5.93,4.81,5.19
Vladimir,74,26,514,370,362,35.14,2.37,6.95,5.0,4.89
Twisted Fate,58,40,424,316,460,68.97,2.8,7.31,5.45,7.93
Ziggs,2,2,8,2,18,100.0,13.0,4.0,1.0,9.0
Morgana,14,6,110,80,124,42.86,2.92,7.86,5.71,8.86
Corki,66,14,266,314,186,21.21,1.44,4.03,4.76,2.82
Zoe,40,10,160,254,160,25.0,1.26,4.0,6.35,4.0
Aurora,42,14,156,228,194,33.33,1.54,3.71,5.43,4.62
Akali,48,14,236,320,220,29.17,1.43,4.92,6.67,4.58
Ahri,42,16,208,220,162,38.1,1.68,4.95,5.24,3.86
Zed,20,12,126,110,142,60.0,2.44,6.3,5.5,7.1
Xerath,42,20,330,248,254,47.62,2.35,7.86,5.9,6.05
Kassadin,72,36,488,272,296,50.0,2.88,6.78,3.78,4.11
Nidalee,16,0,108,96,102,0.0,2.19,6.75,6.0,6.38
Katarina,44,28,304,238,252,63.64,2.34,6.91,5.41,5.73
KSante,14,12,70,118,58,85.71,1.08,5.0,8.43,4.14
Kaisa,2,2,10,2,12,100.0,11.0,5.0,1.0,6.0
Anivia,10,0,28,78,32,0.0,0.77,2.8,7.8,3.2
Nasus,28,20,172,138,246,71.43,3.03,6.14,4.93,8.79
Lulu,12,0,14,68,14,0.0,0.41,1.17,5.67,1.17
Veigar,40,24,182,214,270,60.0,2.11,4.55,5.35,6.75
Lucian,8,8,32,18,50,100.0,4.56,4.0,2.25,6.25
Shen,12,8,134,100,62,66.67,1.96,11.17,8.33,5.17
Singed,10,10,120,38,56,100.0,4.63,12.0,3.8,5.6
VelKoz,4,0,10,38,14,0.0,0.63,2.5,9.5,3.5
Ivern,2,0,2,14,0,0.0,0.14,1.0,7.0,0.0
Taliyah,42,24,260,202,242,57.14,2.49,6.19,4.81,5.76
Fizz,16,6,88,118,118,37.5,1.75,5.5,7.38,7.38
Malzahar,78,50,346,304,388,64.1,2.41,4.44,3.9,4.97
Brand,6,0,30,42,24,0.0,1.29,5.0,7.0,4.0
Syndra,24,12,42,106,104,50.0,1.38,1.75,4.42,4.33
Yasuo,60,18,296,358,330,30.0,1.75,4.93,5.97,5.5
Vayne,2,2,8,2,10,100.0,9.0,4.0,1.0,5.0
Qiyana,28,2,152,182,132,7.14,1.56,5.43,6.5,4.71
Ambessa,6,2,14,26,32,33.33,1.77,2.33,4.33,5.33
Gangplank,2,0,6,6,4,0.0,1.67,3.0,3.0,2.0
LeBlanc,24,8,88,96,96,33.33,1.92,3.67,4.0,4.0
Riven,2,2,16,8,14,100.0,3.75,8.0,4.0,7.0
Mel,46,22,148,280,260,47.83,1.46,3.22,6.09,5.65
Naafiri,8,0,26,56,16,0.0,0.75,3.25,7.0,2.0
Chogath,4,4,28,24,48,100.0,3.17,7.0,6.0,12.0
Tristana,14,4,80,90,56,28.57,1.51,5.71,6.43,4.0
Diana,4,2,10,18,12,50.0,1.22,2.5,4.5,3.0
Vex,8,8,96,88,104,100.0,2.27,12.0,11.0,13.0
Urgot,4,4,16,10,14,100.0,3.0,4.0,2.5,3.5
KogMaw,18,0,68,50,80,0.0,2.96,3.78,2.78,4.44
Hwei,32,18,168,126,116,56.25,2.25,5.25,3.94,3.62
Elise,10,0,60,70,60,0.0,1.71,6.0,7.0,6.0
Kayle,18,4,78,86,68,22.22,1.7,4.33,4.78,3.78
Yunara,12,0,48,54,72,0.0,2.22,4.0,4.5,6.0
Ezreal,10,4,60,42,70,40.0,3.1,6.0,4.2,7.0
Sett,4,4,4,12,0,100.0,0.33,1.0,3.0,0.0
Cassiopeia,10,10,46,40,46,100.0,2.3,4.6,4.0,4.6
Nunu & Willump,2,0,18,16,6,0.0,1.5,9.0,8.0,3.0
Gnar,2,0,20,16,8,0.0,1.75,10.0,8.0,4.0
Zeri,2,2,14,10,16,100.0,3.0,7.0,5.0,8.0
Pyke,4,4,16,40,20,100.0,0.9,4.0,10.0,5.0
Lissandra,6,6,60,24,54,100.0,4.75,10.0,4.0,9.0
Dr. Mundo,2,0,20,10,8,0.0,2.8,10.0,5.0,4.0
Briar,2,0,18,20,12,0.0,1.5,9.0,10.0,6.0
Seraphine,8,8,72,56,152,100.0,4.0,9.0,7.0,19.0
Akshan,6,0,48,44,44,0.0,2.09,8.0,7.33,7.33
Aurelion Sol,12,10,64,72,128,83.33,2.67,5.33,6.0,10.67
Rumble,2,0,4,14,6,0.0,0.71,2.0,7.0,3.0
Tryndamere,4,4,32,14,24,100.0,4.0,8.0,3.5,6.0
Yorick,6,2,52,20,38,33.33,4.5,8.67,3.33,6.33
Karma,4,0,20,44,40,0.0,1.36,5.0,11.0,10.0
Draven,14,0,14,56,42,0.0,1.0,1.0,4.0,3.0
Ornn,2,2,22,14,14,100.0,2.57,11.0,7.0,7.0
Alistar,2,2,2,2,8,100.0,5.0,1.0,1.0,4.0
Warwick,2,0,12,18,18,0.0,1.67,6.0,9.0,9.0
Olaf,2,2,8,6,6,100.0,2.33,4.0,3.0,3.0
Sion,2,0,44,22,14,0.0,2.64,22.0,11.0,7.0
Shaco,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0
Pantheon,2,0,10,24,6,0.0,0.67,5.0,12.0,3.0
Malphite,2,2,8,8,12,100.0,2.5,4.0,4.0,6.0
