opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ezreal,14,0,66,138,168,0.0,1.7,4.71,9.86,12.0
Jinx,2,0,6,14,12,0.0,1.29,3.0,7.0,6.0
Xayah,4,4,24,20,68,100.0,4.6,6.0,5.0,17.0
Sivir,6,6,54,24,78,100.0,5.5,9.0,4.0,13.0
Lucian,4,0,12,20,32,0.0,2.2,3.0,5.0,8.0
Karthus,6,0,18,48,36,0.0,1.12,3.0,8.0,6.0
Aurelion Sol,4,0,20,28,64,0.0,3.0,5.0,7.0,16.0
Caitlyn,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Tristana,2,2,12,16,58,100.0,4.38,6.0,8.0,29.0
Kaisa,8,0,8,64,60,0.0,1.06,1.0,8.0,7.5
Aphelios,2,0,4,10,10,0.0,1.4,2.0,5.0,5.0
Smolder,2,0,10,18,22,0.0,1.78,5.0,9.0,11.0
Jhin,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nilah,2,0,4,6,4,0.0,1.33,2.0,3.0,2.0
