opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,646,334,658,3254,9948,51.7,3.26,1.02,5.04,15.4
Lulu,818,518,758,3410,11316,63.33,3.54,0.93,4.17,13.83
Karma,728,378,568,3254,8950,51.92,2.93,0.78,4.47,12.29
Bard,620,312,610,3046,8426,50.32,2.97,0.98,4.91,13.59
Senna,426,240,428,1678,5576,56.34,3.58,1.0,3.94,13.09
Nautilus,922,470,942,4898,13810,50.98,3.01,1.02,5.31,14.98
Rell,762,372,794,3538,11142,48.82,3.37,1.04,4.64,14.62
Taric,142,76,140,520,1962,53.52,4.04,0.99,3.66,13.82
Tahm Kench,122,82,168,602,2144,67.21,3.84,1.38,4.93,17.57
Ashe,24,16,60,150,380,66.67,2.93,2.5,6.25,15.83
Pyke,320,148,336,2084,4616,46.25,2.38,1.05,6.51,14.43
Blitzcrank,312,140,312,1660,4464,44.87,2.88,1.0,5.32,14.31
Elise,124,72,198,788,2192,58.06,3.03,1.6,6.35,17.68
Rakan,444,264,490,2070,6194,59.46,3.23,1.1,4.66,13.95
Fiddlesticks,66,24,56,320,936,36.36,3.1,0.85,4.85,14.18
Sona,712,382,642,2814,9624,53.65,3.65,0.9,3.95,13.52
Thresh,462,276,496,2122,6742,59.74,3.41,1.07,4.59,14.59
Nami,1228,580,1306,6244,16776,47.23,2.9,1.06,5.08,13.66
Braum,338,192,306,1776,5708,56.8,3.39,0.91,5.25,16.89
Janna,362,188,342,1502,4596,51.93,3.29,0.94,4.15,12.7
Poppy,142,76,172,596,2100,53.52,3.81,1.21,4.2,14.79
Neeko,376,222,348,1720,5916,59.04,3.64,0.93,4.57,15.73
Zilean,256,120,230,1334,3350,46.88,2.68,0.9,5.21,13.09
Leona,198,94,234,966,2886,47.47,3.23,1.18,4.88,14.58
Teemo,26,2,34,128,140,7.69,1.36,1.31,4.92,5.38
Milio,330,192,198,1248,4140,58.18,3.48,0.6,3.78,12.55
Camille,48,12,86,364,644,25.0,2.01,1.79,7.58,13.42
LeBlanc,22,6,30,94,210,27.27,2.55,1.36,4.27,9.55
Galio,18,12,18,74,348,66.67,4.95,1.0,4.11,19.33
Shaco,30,20,50,150,550,66.67,4.0,1.67,5.0,18.33
Trundle,16,4,14,70,274,25.0,4.11,0.88,4.38,17.12
Yuumi,256,126,248,980,2914,49.22,3.23,0.97,3.83,11.38
VelKoz,60,20,42,250,610,33.33,2.61,0.7,4.17,10.17
Maokai,72,16,54,366,766,22.22,2.24,0.75,5.08,10.64
Karthus,6,6,6,6,120,100.0,21.0,1.0,1.0,20.0
Zyra,84,20,72,348,1074,23.81,3.29,0.86,4.14,12.79
Pantheon,170,62,142,906,2502,36.47,2.92,0.84,5.33,14.72
Seraphine,190,64,156,936,2358,33.68,2.69,0.82,4.93,12.41
Sylas,26,14,18,152,330,53.85,2.29,0.69,5.85,12.69
Nidalee,42,16,2,220,544,38.1,2.48,0.05,5.24,12.95
Morgana,100,44,154,476,1398,44.0,3.26,1.54,4.76,13.98
Hwei,14,14,16,40,140,100.0,3.9,1.14,2.86,10.0
Renata,100,58,140,414,1208,58.0,3.26,1.4,4.14,12.08
Zoe,40,24,54,258,648,60.0,2.72,1.35,6.45,16.2
Amumu,4,2,2,12,54,50.0,4.67,0.5,3.0,13.5
Annie,2,0,0,6,18,0.0,3.0,0.0,3.0,9.0
Mel,84,70,58,334,1400,83.33,4.37,0.69,3.98,16.67
Nunu & Willump,6,4,10,18,86,66.67,5.33,1.67,3.0,14.33
Wukong,4,2,2,22,42,50.0,2.0,0.5,5.5,10.5
Kled,2,2,2,18,68,100.0,3.89,1.0,9.0,34.0
