opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,80,50,350,566,1182,62.5,2.71,4.38,7.08,14.78
Leona,16,10,68,120,224,62.5,2.43,4.25,7.5,14.0
Rakan,66,28,270,380,652,42.42,2.43,4.09,5.76,9.88
Thresh,42,22,130,250,530,52.38,2.64,3.1,5.95,12.62
Sona,30,8,104,158,348,26.67,2.86,3.47,5.27,11.6
Nami,94,50,470,744,1424,53.19,2.55,5.0,7.91,15.15
Pantheon,18,8,94,130,230,44.44,2.49,5.22,7.22,12.78
Fiddlesticks,2,2,2,6,28,100.0,5.0,1.0,3.0,14.0
Janna,46,18,168,298,650,39.13,2.74,3.65,6.48,14.13
Renata,12,4,34,112,96,33.33,1.16,2.83,9.33,8.0
Karma,50,14,170,432,618,28.0,1.82,3.4,8.64,12.36
Braum,18,4,28,114,194,22.22,1.95,1.56,6.33,10.78
Lulu,58,26,212,450,738,44.83,2.11,3.66,7.76,12.72
Nautilus,54,24,224,378,800,44.44,2.71,4.15,7.0,14.81
Zilean,14,0,54,100,136,0.0,1.9,3.86,7.14,9.71
Neeko,32,14,88,194,364,43.75,2.33,2.75,6.06,11.38
Bard,44,14,94,324,408,31.82,1.55,2.14,7.36,9.27
Senna,32,14,92,198,286,43.75,1.91,2.88,6.19,8.94
Taric,12,4,40,80,144,33.33,2.3,3.33,6.67,12.0
Zyra,8,0,14,50,42,0.0,1.12,1.75,6.25,5.25
Seraphine,16,0,30,108,100,0.0,1.2,1.88,6.75,6.25
Rell,56,42,148,338,542,75.0,2.04,2.64,6.04,9.68
Mel,8,8,30,34,84,100.0,3.35,3.75,4.25,10.5
Milio,70,40,84,262,440,57.14,2.0,1.2,3.74,6.29
Morgana,4,4,22,32,58,100.0,2.5,5.5,8.0,14.5
Gragas,2,0,4,16,28,0.0,2.0,2.0,8.0,14.0
Poppy,16,10,32,72,192,62.5,3.11,2.0,4.5,12.0
Soraka,16,16,62,70,210,100.0,3.89,3.88,4.38,13.12
Katarina,6,6,78,36,108,100.0,5.17,13.0,6.0,18.0
Pyke,44,22,170,262,392,50.0,2.15,3.86,5.95,8.91
Lux,32,20,96,150,328,62.5,2.83,3.0,4.69,10.25
Sylas,8,8,44,52,156,100.0,3.85,5.5,6.5,19.5
VelKoz,12,12,108,96,168,100.0,2.88,9.0,8.0,14.0
Blitzcrank,8,0,26,82,130,0.0,1.9,3.25,10.25,16.25
Yuumi,16,10,38,112,158,62.5,1.75,2.38,7.0,9.88
Ornn,4,4,24,12,92,100.0,9.67,6.0,3.0,23.0
Maokai,8,8,34,74,150,100.0,2.49,4.25,9.25,18.75
Xerath,2,2,6,6,12,100.0,3.0,3.0,3.0,6.0
Trundle,2,0,2,14,2,0.0,0.29,1.0,7.0,1.0
Elise,8,0,8,42,30,0.0,0.9,1.0,5.25,3.75
Hwei,2,0,8,10,18,0.0,2.6,4.0,5.0,9.0
Tahm Kench,12,12,36,36,144,100.0,5.0,3.0,3.0,12.0
Galio,4,4,20,20,120,100.0,7.0,5.0,5.0,30.0
Quinn,4,0,4,32,28,0.0,1.0,1.0,8.0,7.0
