opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,180,88,892,1568,1916,48.89,1.79,4.96,8.71,10.64
Lulu,108,46,498,902,932,42.59,1.59,4.61,8.35,8.63
Braum,52,32,270,398,592,61.54,2.17,5.19,7.65,11.38
Lux,8,4,56,66,92,50.0,2.24,7.0,8.25,11.5
Karma,62,36,234,450,508,58.06,1.65,3.77,7.26,8.19
Bard,58,34,268,426,594,58.62,2.02,4.62,7.34,10.24
Rell,108,62,472,764,1002,57.41,1.93,4.37,7.07,9.28
Thresh,40,28,172,340,462,70.0,1.86,4.3,8.5,11.55
Galio,10,10,30,68,196,100.0,3.32,3.0,6.8,19.6
Senna,46,10,206,402,360,21.74,1.41,4.48,8.74,7.83
Brand,8,8,30,38,54,100.0,2.21,3.75,4.75,6.75
Rakan,42,16,288,420,468,38.1,1.8,6.86,10.0,11.14
Milio,34,16,192,254,286,47.06,1.88,5.65,7.47,8.41
Pyke,46,8,150,320,242,17.39,1.23,3.26,6.96,5.26
Tahm Kench,10,10,76,68,134,100.0,3.09,7.6,6.8,13.4
Nami,152,78,714,1052,1458,51.32,2.06,4.7,6.92,9.59
Ashe,2,0,10,16,8,0.0,1.12,5.0,8.0,4.0
Shaco,2,0,16,22,28,0.0,2.0,8.0,11.0,14.0
Soraka,26,12,122,174,254,46.15,2.16,4.69,6.69,9.77
Sona,78,30,452,624,868,38.46,2.12,5.79,8.0,11.13
Janna,56,24,184,400,534,42.86,1.79,3.29,7.14,9.54
Pantheon,4,0,20,38,44,0.0,1.68,5.0,9.5,11.0
Nautilus,58,10,172,512,432,17.24,1.18,2.97,8.83,7.45
VelKoz,6,4,20,32,64,66.67,2.62,3.33,5.33,10.67
Maokai,22,4,196,282,338,18.18,1.89,8.91,12.82,15.36
Morgana,8,8,60,24,60,100.0,5.0,7.5,3.0,7.5
Nunu & Willump,4,4,48,40,36,100.0,2.1,12.0,10.0,9.0
Zilean,96,38,496,738,1090,39.58,2.15,5.17,7.69,11.35
Leona,12,10,48,156,162,83.33,1.35,4.0,13.0,13.5
Blitzcrank,10,8,46,82,98,80.0,1.76,4.6,8.2,9.8
Neeko,58,34,380,508,664,58.62,2.06,6.55,8.76,11.45
Poppy,22,12,144,200,228,54.55,1.86,6.55,9.09,10.36
Renata,6,6,34,38,98,100.0,3.47,5.67,6.33,16.33
Xerath,4,0,28,50,30,0.0,1.16,7.0,12.5,7.5
Ornn,6,6,30,54,132,100.0,3.0,5.0,9.0,22.0
Swain,8,0,12,64,84,0.0,1.5,1.5,8.0,10.5
Hwei,2,2,12,10,42,100.0,5.4,6.0,5.0,21.0
Yuumi,4,0,26,38,44,0.0,1.84,6.5,9.5,11.0
Taric,8,0,50,62,54,0.0,1.68,6.25,7.75,6.75
Singed,2,0,6,18,22,0.0,1.56,3.0,9.0,11.0
Twitch,6,6,60,126,150,100.0,1.67,10.0,21.0,25.0
Seraphine,14,0,68,124,116,0.0,1.48,4.86,8.86,8.29
Camille,2,2,28,8,18,100.0,5.75,14.0,4.0,9.0
Rumble,2,0,20,22,10,0.0,1.36,10.0,11.0,5.0
Shen,4,4,24,24,52,100.0,3.17,6.0,6.0,13.0
