opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Caitlyn,4,4,8,24,48,100.0,2.33,2.0,6.0,12.0
Bard,22,0,0,280,140,0.0,0.5,0.0,12.73,6.36
Zoe,8,0,40,64,72,0.0,1.75,5.0,8.0,9.0
Alistar,4,4,20,28,44,100.0,2.29,5.0,7.0,11.0
Leona,2,0,0,30,22,0.0,0.73,0.0,15.0,11.0
Zyra,8,8,32,24,72,100.0,4.33,4.0,3.0,9.0
Janna,6,6,18,60,72,100.0,1.5,3.0,10.0,12.0
Nautilus,4,0,0,32,32,0.0,1.0,0.0,8.0,8.0
Galio,4,0,48,32,88,0.0,4.25,12.0,8.0,22.0
Rell,4,4,28,0,32,100.0,60.0,7.0,0.0,8.0
Karma,2,0,4,4,0,0.0,1.0,2.0,2.0,0.0
Blitzcrank,2,2,10,12,26,100.0,3.0,5.0,6.0,13.0
Maokai,2,2,14,8,26,100.0,5.0,7.0,4.0,13.0
Lulu,2,2,2,6,20,100.0,3.67,1.0,3.0,10.0
