opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,326,146,674,1574,3244,44.79,2.49,2.07,4.83,9.95
Bard,138,58,282,746,1364,42.03,2.21,2.04,5.41,9.88
Rell,172,92,528,1034,2220,53.49,2.66,3.07,6.01,12.91
Soraka,122,40,338,746,1238,32.79,2.11,2.77,6.11,10.15
Lulu,136,52,298,846,1500,38.24,2.13,2.19,6.22,11.03
Blitzcrank,96,32,158,636,932,33.33,1.71,1.65,6.62,9.71
Karma,64,36,94,298,622,56.25,2.4,1.47,4.66,9.72
Sona,82,40,180,382,794,48.78,2.55,2.2,4.66,9.68
Poppy,44,14,104,298,568,31.82,2.26,2.36,6.77,12.91
Twitch,2,0,8,30,38,0.0,1.53,4.0,15.0,19.0
Zilean,44,10,120,222,432,22.73,2.49,2.73,5.05,9.82
Nami,190,114,552,1038,2506,60.0,2.95,2.91,5.46,13.19
Gragas,4,4,0,20,48,100.0,2.4,0.0,5.0,12.0
Braum,130,74,370,832,1784,56.92,2.59,2.85,6.4,13.72
Zoe,6,6,10,24,64,100.0,3.08,1.67,4.0,10.67
Janna,60,30,118,404,720,50.0,2.07,1.97,6.73,12.0
Rakan,140,64,454,920,1788,45.71,2.44,3.24,6.57,12.77
Nautilus,174,68,362,1106,1770,39.08,1.93,2.08,6.36,10.17
Thresh,156,82,268,1008,1886,52.56,2.14,1.72,6.46,12.09
Neeko,60,28,88,470,808,46.67,1.91,1.47,7.83,13.47
Sylas,10,0,44,80,106,0.0,1.88,4.4,8.0,10.6
Zyra,10,6,12,48,94,60.0,2.21,1.2,4.8,9.4
Fiddlesticks,22,10,28,132,472,45.45,3.79,1.27,6.0,21.45
Nidalee,10,10,12,54,136,100.0,2.74,1.2,5.4,13.6
Morgana,24,14,88,156,414,58.33,3.22,3.67,6.5,17.25
Leona,44,32,116,248,572,72.73,2.77,2.64,5.64,13.0
Yuumi,22,22,94,102,292,100.0,3.78,4.27,4.64,13.27
Anivia,4,0,4,28,68,0.0,2.57,1.0,7.0,17.0
Nunu & Willump,22,6,50,220,140,27.27,0.86,2.27,10.0,6.36
Pantheon,46,18,150,390,574,39.13,1.86,3.26,8.48,12.48
Elise,20,18,40,128,266,90.0,2.39,2.0,6.4,13.3
Taric,22,20,56,150,316,90.91,2.48,2.55,6.82,14.36
Lux,20,6,36,100,140,30.0,1.76,1.8,5.0,7.0
Pyke,14,12,44,56,160,85.71,3.64,3.14,4.0,11.43
Maokai,42,26,196,224,650,61.9,3.78,4.67,5.33,15.48
Seraphine,22,6,76,158,296,27.27,2.35,3.45,7.18,13.45
Shaco,6,6,48,60,66,100.0,1.9,8.0,10.0,11.0
Sett,6,0,14,56,34,0.0,0.86,2.33,9.33,5.67
Ezreal,4,0,8,40,64,0.0,1.8,2.0,10.0,16.0
Renata,6,4,18,32,108,66.67,3.94,3.0,5.33,18.0
Skarner,2,2,2,14,34,100.0,2.57,1.0,7.0,17.0
Brand,4,4,4,24,68,100.0,3.0,1.0,6.0,17.0
Xerath,6,6,42,60,84,100.0,2.1,7.0,10.0,14.0
Milio,32,28,18,184,302,87.5,1.74,0.56,5.75,9.44
Kennen,4,4,6,14,40,100.0,3.29,1.5,3.5,10.0
LeBlanc,2,0,4,16,20,0.0,1.5,2.0,8.0,10.0
Senna,24,10,46,142,130,41.67,1.24,1.92,5.92,5.42
Annie,12,0,16,56,80,0.0,1.71,1.33,4.67,6.67
Swain,12,0,36,84,48,0.0,1.0,3.0,7.0,4.0
Evelynn,2,2,0,14,38,100.0,2.71,0.0,7.0,19.0
Trundle,6,0,12,54,54,0.0,1.22,2.0,9.0,9.0
Mel,4,4,16,36,40,100.0,1.56,4.0,9.0,10.0
Hwei,6,6,42,0,60,100.0,102.0,7.0,0.0,10.0
VelKoz,4,0,20,28,60,0.0,2.86,5.0,7.0,15.0
Sion,2,2,6,18,18,100.0,1.33,3.0,9.0,9.0
Camille,6,0,6,0,6,0.0,12.0,1.0,0.0,1.0
