opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ambessa,52,46,206,192,386,88.46,3.08,3.96,3.69,7.42
Yone,6,6,36,12,12,100.0,4.0,6.0,2.0,2.0
Sivir,8,0,16,16,0,0.0,1.0,2.0,2.0,0.0
Gragas,30,18,176,116,214,60.0,3.36,5.87,3.87,7.13
Tryndamere,22,6,40,104,86,27.27,1.21,1.82,4.73,3.91
KSante,12,6,28,48,62,50.0,1.88,2.33,4.0,5.17
Poppy,6,4,38,28,54,66.67,3.29,6.33,4.67,9.0
Ornn,12,10,62,70,78,83.33,2.0,5.17,5.83,6.5
Mordekaiser,6,4,32,26,44,66.67,2.92,5.33,4.33,7.33
Aatrox,14,6,20,62,132,42.86,2.45,1.43,4.43,9.43
Garen,28,22,136,134,164,78.57,2.24,4.86,4.79,5.86
Urgot,28,16,98,172,192,57.14,1.69,3.5,6.14,6.86
Gnar,14,0,30,70,50,0.0,1.14,2.14,5.0,3.57
Maokai,2,0,4,10,4,0.0,0.8,2.0,5.0,2.0
Vayne,12,12,52,82,98,100.0,1.83,4.33,6.83,8.17
Wukong,2,0,6,14,8,0.0,1.0,3.0,7.0,4.0
Yorick,12,2,20,78,48,16.67,0.87,1.67,6.5,4.0
Kled,4,0,14,30,22,0.0,1.2,3.5,7.5,5.5
Nocturne,6,2,24,18,32,33.33,3.11,4.0,3.0,5.33
Fiora,46,32,214,186,342,69.57,2.99,4.65,4.04,7.43
Volibear,22,8,40,48,114,36.36,3.21,1.82,2.18,5.18
Darius,4,0,18,20,20,0.0,1.9,4.5,5.0,5.0
Trundle,10,8,68,52,70,80.0,2.65,6.8,5.2,7.0
Renekton,30,12,112,214,124,40.0,1.1,3.73,7.13,4.13
Smolder,2,2,12,12,38,100.0,4.17,6.0,6.0,19.0
Jayce,18,8,44,68,86,44.44,1.91,2.44,3.78,4.78
Zac,4,2,18,8,34,50.0,6.5,4.5,2.0,8.5
Rumble,6,4,50,28,54,66.67,3.71,8.33,4.67,9.0
Kayle,2,0,10,10,14,0.0,2.4,5.0,5.0,7.0
Irelia,14,12,86,10,86,85.71,17.2,6.14,0.71,6.14
Riven,6,2,20,42,54,33.33,1.76,3.33,7.0,9.0
Yasuo,20,18,82,74,108,90.0,2.57,4.1,3.7,5.4
Sett,16,10,74,108,178,62.5,2.33,4.62,6.75,11.12
Vi,2,2,18,14,14,100.0,2.29,9.0,7.0,7.0
Warwick,12,0,36,84,72,0.0,1.29,3.0,7.0,6.0
Malphite,4,4,12,12,28,100.0,3.33,3.0,3.0,7.0
Jax,42,22,180,154,256,52.38,2.83,4.29,3.67,6.1
Dr. Mundo,12,10,64,46,104,83.33,3.65,5.33,3.83,8.67
Aurora,6,6,54,0,42,100.0,96.0,9.0,0.0,7.0
Gwen,12,2,46,60,128,16.67,2.9,3.83,5.0,10.67
Shen,14,2,34,74,30,14.29,0.86,2.43,5.29,2.14
Sion,6,6,30,10,60,100.0,9.0,5.0,1.67,10.0
Teemo,8,4,26,38,76,50.0,2.68,3.25,4.75,9.5
Sylas,2,0,10,18,10,0.0,1.11,5.0,9.0,5.0
Heimerdinger,2,2,10,10,14,100.0,2.4,5.0,5.0,7.0
Vladimir,6,2,18,38,72,33.33,2.37,3.0,6.33,12.0
Chogath,18,2,108,114,182,11.11,2.54,6.0,6.33,10.11
Xin Zhao,10,0,80,70,60,0.0,2.0,8.0,7.0,6.0
Olaf,2,0,6,6,0,0.0,1.0,3.0,3.0,0.0
Quinn,4,4,20,20,60,100.0,4.0,5.0,5.0,15.0
