opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,244,106,248,1500,3118,43.44,2.24,1.02,6.15,12.78
Leona,100,40,154,622,1578,40.0,2.78,1.54,6.22,15.78
Sona,174,118,296,958,2774,67.82,3.2,1.7,5.51,15.94
Thresh,202,92,230,1314,2868,45.54,2.36,1.14,6.5,14.2
Renata,42,30,78,302,738,71.43,2.7,1.86,7.19,17.57
Soraka,142,66,166,844,1528,46.48,2.01,1.17,5.94,10.76
Nami,268,124,306,1704,3436,46.27,2.2,1.14,6.36,12.82
Nautilus,268,146,442,1700,4446,54.48,2.88,1.65,6.34,16.59
Milio,112,42,122,602,1502,37.5,2.7,1.09,5.38,13.41
Bard,192,110,172,962,2878,57.29,3.17,0.9,5.01,14.99
Rakan,192,84,272,972,2068,43.75,2.41,1.42,5.06,10.77
Maokai,46,30,62,204,532,65.22,2.91,1.35,4.43,11.57
Janna,110,40,68,548,1156,36.36,2.23,0.62,4.98,10.51
Senna,58,36,70,312,964,62.07,3.31,1.21,5.38,16.62
Pyke,134,72,188,932,2432,53.73,2.81,1.4,6.96,18.15
Lulu,144,62,186,818,1876,43.06,2.52,1.29,5.68,13.03
Galio,2,0,0,12,24,0.0,2.0,0.0,6.0,12.0
Pantheon,36,12,72,248,820,33.33,3.6,2.0,6.89,22.78
Braum,146,52,206,746,1804,35.62,2.69,1.41,5.11,12.36
Rell,210,96,262,1338,2324,45.71,1.93,1.25,6.37,11.07
Neeko,88,52,106,382,1146,59.09,3.28,1.2,4.34,13.02
Karma,218,120,378,1112,3276,55.05,3.29,1.73,5.1,15.03
Yuumi,34,28,66,132,372,82.35,3.32,1.94,3.88,10.94
Elise,40,22,54,260,672,55.0,2.79,1.35,6.5,16.8
Poppy,44,24,50,204,658,54.55,3.47,1.14,4.64,14.95
Blitzcrank,42,14,66,248,522,33.33,2.37,1.57,5.9,12.43
Zyra,36,20,58,316,654,55.56,2.25,1.61,8.78,18.17
Camille,8,8,28,34,160,100.0,5.53,3.5,4.25,20.0
Swain,12,8,46,82,168,66.67,2.61,3.83,6.83,14.0
Mel,26,2,24,166,338,7.69,2.18,0.92,6.38,13.0
Amumu,2,2,8,16,74,100.0,5.12,4.0,8.0,37.0
Tahm Kench,22,2,48,212,422,9.09,2.22,2.18,9.64,19.18
Hwei,2,2,2,6,34,100.0,6.0,1.0,3.0,17.0
Zilean,78,64,150,448,1300,82.05,3.24,1.92,5.74,16.67
VelKoz,10,2,8,60,126,20.0,2.23,0.8,6.0,12.6
Morgana,24,16,62,142,452,66.67,3.62,2.58,5.92,18.83
Fiora,8,8,8,56,216,100.0,4.0,1.0,7.0,27.0
Gragas,8,0,8,88,112,0.0,1.36,1.0,11.0,14.0
Shen,20,12,10,84,252,60.0,3.12,0.5,4.2,12.6
Sett,6,2,2,44,64,33.33,1.5,0.33,7.33,10.67
Katarina,4,0,8,36,20,0.0,0.78,2.0,9.0,5.0
Seraphine,22,18,26,68,308,81.82,4.91,1.18,3.09,14.0
Veigar,2,0,4,12,8,0.0,1.0,2.0,6.0,4.0
Nidalee,8,2,4,62,102,25.0,1.71,0.5,7.75,12.75
Brand,10,10,36,78,160,100.0,2.51,3.6,7.8,16.0
Malphite,2,0,4,20,32,0.0,1.8,2.0,10.0,16.0
Twitch,12,12,0,84,264,100.0,3.14,0.0,7.0,22.0
Lux,10,4,24,42,136,40.0,3.81,2.4,4.2,13.6
Fiddlesticks,14,4,8,50,70,28.57,1.56,0.57,3.57,5.0
Sylas,8,8,16,48,194,100.0,4.38,2.0,6.0,24.25
Zoe,6,4,14,26,122,66.67,5.23,2.33,4.33,20.33
Twisted Fate,2,2,2,28,48,100.0,1.79,1.0,14.0,24.0
Ornn,6,0,6,24,36,0.0,1.75,1.0,4.0,6.0
Kennen,4,4,16,4,76,100.0,23.0,4.0,1.0,19.0
Riven,2,0,0,4,16,0.0,4.0,0.0,2.0,8.0
Nasus,2,2,2,6,36,100.0,6.33,1.0,3.0,18.0
Heimerdinger,2,2,4,2,38,100.0,21.0,2.0,1.0,19.0
