opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Alistar,54,28,226,302,556,51.85,2.59,4.19,5.59,10.3
Zyra,8,8,48,64,96,100.0,2.25,6.0,8.0,12.0
Neeko,42,26,172,410,644,61.9,1.99,4.1,9.76,15.33
Sona,48,34,170,228,404,70.83,2.52,3.54,4.75,8.42
Soraka,26,24,54,90,216,92.31,3.0,2.08,3.46,8.31
Blitzcrank,2,2,4,8,22,100.0,3.25,2.0,4.0,11.0
Fiddlesticks,6,0,12,24,24,0.0,1.5,2.0,4.0,4.0
Braum,12,12,8,46,90,100.0,2.13,0.67,3.83,7.5
Nautilus,32,6,140,356,376,18.75,1.45,4.38,11.12,11.75
Maokai,12,0,84,108,132,0.0,2.0,7.0,9.0,11.0
Seraphine,14,12,56,94,130,85.71,1.98,4.0,6.71,9.29
Anivia,2,0,4,12,26,0.0,2.5,2.0,6.0,13.0
Milio,6,0,10,48,30,0.0,0.83,1.67,8.0,5.0
Rakan,28,16,80,162,334,57.14,2.56,2.86,5.79,11.93
Nami,12,12,62,68,106,100.0,2.47,5.17,5.67,8.83
Janna,14,8,34,86,160,57.14,2.26,2.43,6.14,11.43
Thresh,6,2,6,32,18,33.33,0.75,1.0,5.33,3.0
Pantheon,2,0,10,24,48,0.0,2.42,5.0,12.0,24.0
Ornn,4,0,36,24,40,0.0,3.17,9.0,6.0,10.0
Leona,10,4,54,86,136,40.0,2.21,5.4,8.6,13.6
Senna,8,8,22,54,172,100.0,3.59,2.75,6.75,21.5
Bard,20,0,34,102,158,0.0,1.88,1.7,5.1,7.9
Nidalee,6,6,12,48,96,100.0,2.25,2.0,8.0,16.0
Lulu,20,12,46,96,158,60.0,2.12,2.3,4.8,7.9
Elise,4,4,16,16,64,100.0,5.0,4.0,4.0,16.0
Rell,20,4,74,176,106,20.0,1.02,3.7,8.8,5.3
Pyke,6,6,32,32,102,100.0,4.19,5.33,5.33,17.0
Trundle,2,0,2,18,8,0.0,0.56,1.0,9.0,4.0
Karma,2,2,12,14,22,100.0,2.43,6.0,7.0,11.0
Zilean,2,2,4,12,30,100.0,2.83,2.0,6.0,15.0
Taliyah,6,6,6,12,24,100.0,2.5,1.0,2.0,4.0
