opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Neeko,374,170,662,2150,5116,45.45,2.69,1.77,5.75,13.68
Bard,824,398,1462,4498,12000,48.3,2.99,1.77,5.46,14.56
Braum,1014,530,1882,5562,14742,52.27,2.99,1.86,5.49,14.54
Alistar,756,440,1330,4132,12006,58.2,3.23,1.76,5.47,15.88
Renata,116,26,182,818,1414,22.41,1.95,1.57,7.05,12.19
Blitzcrank,546,248,952,3468,7982,45.42,2.58,1.74,6.35,14.62
Nautilus,1048,586,1862,6230,16834,55.92,3.0,1.78,5.94,16.06
Lulu,1038,558,1434,5022,14220,53.76,3.12,1.38,4.84,13.7
Pyke,542,264,1070,3374,7804,48.71,2.63,1.97,6.23,14.4
Zilean,270,126,414,1620,3784,46.67,2.59,1.53,6.0,14.01
Shaco,64,30,92,310,1018,46.88,3.58,1.44,4.84,15.91
Taric,202,110,362,1104,2948,54.46,3.0,1.79,5.47,14.59
Karma,768,424,1266,4256,10432,55.21,2.75,1.65,5.54,13.58
Rell,736,380,1162,4244,11084,51.63,2.89,1.58,5.77,15.06
Nidalee,82,44,204,404,1198,53.66,3.47,2.49,4.93,14.61
Taliyah,16,0,32,96,232,0.0,2.75,2.0,6.0,14.5
Soraka,462,186,704,2170,5682,40.26,2.94,1.52,4.7,12.3
Rakan,642,356,1116,3044,9024,55.45,3.33,1.74,4.74,14.06
Seraphine,240,114,380,1306,3158,47.5,2.71,1.58,5.44,13.16
Trundle,30,12,46,216,480,40.0,2.44,1.53,7.2,16.0
Sona,468,246,764,2452,6504,52.56,2.96,1.63,5.24,13.9
Karthus,18,0,54,252,486,0.0,2.14,3.0,14.0,27.0
Milio,572,280,888,2854,7696,48.95,3.01,1.55,4.99,13.45
Hwei,34,32,24,168,662,94.12,4.08,0.71,4.94,19.47
Fiddlesticks,44,36,72,250,680,81.82,3.01,1.64,5.68,15.45
Leona,326,218,532,1678,4878,66.87,3.22,1.63,5.15,14.96
Janna,504,262,822,2628,6088,51.98,2.63,1.63,5.21,12.08
Ashe,20,6,32,116,210,30.0,2.09,1.6,5.8,10.5
Zoe,60,24,92,490,862,40.0,1.95,1.53,8.17,14.37
Sylas,40,12,100,266,580,30.0,2.56,2.5,6.65,14.5
Shen,28,16,76,158,420,57.14,3.14,2.71,5.64,15.0
Yuumi,192,118,358,1026,2876,61.46,3.15,1.86,5.34,14.98
Xin Zhao,4,0,4,16,8,0.0,0.75,1.0,4.0,2.0
Swain,42,20,52,218,582,47.62,2.91,1.24,5.19,13.86
Zyra,100,38,196,694,1814,38.0,2.9,1.96,6.94,18.14
Nami,1152,652,1860,6426,17030,56.6,2.94,1.61,5.58,14.78
Pantheon,154,70,338,1166,2596,45.45,2.52,2.19,7.57,16.86
Senna,240,132,464,1260,3810,55.0,3.39,1.93,5.25,15.88
Poppy,118,66,190,664,1906,55.93,3.16,1.61,5.63,16.15
Elise,200,70,282,1260,2376,35.0,2.11,1.41,6.3,11.88
Twitch,18,6,36,132,380,33.33,3.15,2.0,7.33,21.11
Morgana,212,126,356,1350,3070,59.43,2.54,1.68,6.37,14.48
Tahm Kench,156,74,302,864,2400,47.44,3.13,1.94,5.54,15.38
Nunu & Willump,8,4,20,68,136,50.0,2.29,2.5,8.5,17.0
