opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Varus,592,264,4546,3454,3406,44.59,2.3,7.68,5.83,5.75
Mel,288,176,1970,1728,1766,61.11,2.16,6.84,6.0,6.13
Lucian,1208,568,7722,5728,5816,47.02,2.36,6.39,4.74,4.81
Yunara,1142,548,8136,5880,6470,47.99,2.48,7.12,5.15,5.67
Smolder,476,232,3678,2490,2882,48.74,2.63,7.73,5.23,6.05
Lux,168,62,1096,1050,852,36.9,1.86,6.52,6.25,5.07
Zeri,648,374,4892,3032,3702,57.72,2.83,7.55,4.68,5.71
Jhin,1014,562,7636,5502,5710,55.42,2.43,7.53,5.43,5.63
Jinx,564,262,3870,2678,2840,46.45,2.51,6.86,4.75,5.04
Sivir,650,288,4518,3036,3246,44.31,2.56,6.95,4.67,4.99
Kaisa,1130,596,8454,5938,6568,52.74,2.53,7.48,5.25,5.81
Caitlyn,328,170,2160,1572,1660,51.83,2.43,6.59,4.79,5.06
Ezreal,892,426,6946,4276,4696,47.76,2.72,7.79,4.79,5.26
Vayne,200,94,1600,958,1062,47.0,2.78,8.0,4.79,5.31
Senna,806,386,5330,3858,3974,47.89,2.41,6.61,4.79,4.93
Miss Fortune,396,202,2872,2152,2092,51.01,2.31,7.25,5.43,5.28
Hwei,128,66,920,548,644,51.56,2.85,7.19,4.28,5.03
Xayah,468,268,3690,2050,2594,57.26,3.07,7.88,4.38,5.54
Karthus,120,24,724,896,488,20.0,1.35,6.03,7.47,4.07
Nilah,160,90,1040,854,1016,56.25,2.41,6.5,5.34,6.35
Draven,198,112,1522,996,946,56.57,2.48,7.69,5.03,4.78
Aphelios,598,322,4596,2972,3378,53.85,2.68,7.69,4.97,5.65
Corki,604,288,4118,3504,3446,47.68,2.16,6.82,5.8,5.71
Twitch,370,186,2540,2012,2016,50.27,2.26,6.86,5.44,5.45
Kalista,114,38,858,598,536,33.33,2.33,7.53,5.25,4.7
Zyra,60,24,456,304,184,40.0,2.11,7.6,5.07,3.07
Ziggs,194,88,1352,1058,948,45.36,2.17,6.97,5.45,4.89
Seraphine,146,100,996,740,774,68.49,2.39,6.82,5.07,5.3
Viktor,54,20,218,230,156,37.04,1.63,4.04,4.26,2.89
Ashe,296,186,2420,1448,1794,62.84,2.91,8.18,4.89,6.06
Gwen,16,0,64,64,16,0.0,1.25,4.0,4.0,1.0
Urgot,2,0,8,16,12,0.0,1.25,4.0,8.0,6.0
Yasuo,104,52,660,564,510,50.0,2.07,6.35,5.42,4.9
KogMaw,156,62,1268,864,776,39.74,2.37,8.13,5.54,4.97
Samira,144,104,1160,724,1010,72.22,3.0,8.06,5.03,7.01
Morgana,10,10,168,62,56,100.0,3.61,16.8,6.2,5.6
Irelia,26,20,310,140,168,76.92,3.41,11.92,5.38,6.46
Riven,4,0,40,40,36,0.0,1.9,10.0,10.0,9.0
Taliyah,22,12,110,86,102,54.55,2.47,5.0,3.91,4.64
Naafiri,6,6,30,30,30,100.0,2.0,5.0,5.0,5.0
Swain,92,46,706,470,452,50.0,2.46,7.67,5.11,4.91
Azir,12,2,32,60,42,16.67,1.23,2.67,5.0,3.5
Syndra,32,28,304,190,232,87.5,2.82,9.5,5.94,7.25
Karma,4,0,8,40,12,0.0,0.5,2.0,10.0,3.0
Tahm Kench,2,0,10,6,16,0.0,4.33,5.0,3.0,8.0
Aurelion Sol,54,38,524,280,328,70.37,3.04,9.7,5.19,6.07
Singed,2,0,22,12,10,0.0,2.67,11.0,6.0,5.0
Jayce,8,8,120,16,56,100.0,11.0,15.0,2.0,7.0
VelKoz,14,10,112,74,118,71.43,3.11,8.0,5.29,8.43
Yone,2,2,36,14,16,100.0,3.71,18.0,7.0,8.0
Aurora,4,0,12,32,20,0.0,1.0,3.0,8.0,5.0
Cassiopeia,14,4,70,58,50,28.57,2.07,5.0,4.14,3.57
Veigar,22,2,92,152,88,9.09,1.18,4.18,6.91,4.0
Sona,2,0,12,20,4,0.0,0.8,6.0,10.0,2.0
Malzahar,10,2,54,60,26,20.0,1.33,5.4,6.0,2.6
Quinn,10,10,88,42,70,100.0,3.76,8.8,4.2,7.0
Neeko,6,6,92,22,62,100.0,7.0,15.33,3.67,10.33
Nautilus,4,2,32,26,26,50.0,2.23,8.0,6.5,6.5
Nunu & Willump,2,0,2,16,2,0.0,0.25,1.0,8.0,1.0
Zilean,12,12,84,84,156,100.0,2.86,7.0,7.0,13.0
Brand,80,50,598,342,420,62.5,2.98,7.47,4.28,5.25
Heimerdinger,8,8,136,50,124,100.0,5.2,17.0,6.25,15.5
Jax,8,6,34,14,36,75.0,5.0,4.25,1.75,4.5
Chogath,6,2,68,40,40,33.33,2.7,11.33,6.67,6.67
Vladimir,14,0,24,52,44,0.0,1.31,1.71,3.71,3.14
Xerath,20,4,90,116,84,20.0,1.5,4.5,5.8,4.2
Teemo,8,8,56,24,40,100.0,4.0,7.0,3.0,5.0
Viego,2,2,18,8,12,100.0,3.75,9.0,4.0,6.0
Akshan,2,0,20,16,16,0.0,2.25,10.0,8.0,8.0
Soraka,4,4,56,12,36,100.0,7.67,14.0,3.0,9.0
Ryze,2,0,0,4,0,0.0,0.0,0.0,2.0,0.0
Elise,4,4,12,12,12,100.0,2.0,3.0,3.0,3.0
Fiora,6,4,46,12,22,66.67,5.67,7.67,2.0,3.67
Rengar,4,2,20,22,52,50.0,3.27,5.0,5.5,13.0
Kayle,4,2,24,18,28,50.0,2.89,6.0,4.5,7.0
Qiyana,2,0,14,22,16,0.0,1.36,7.0,11.0,8.0
Ekko,2,0,6,14,8,0.0,1.0,3.0,7.0,4.0
Ahri,2,2,16,16,14,100.0,1.88,8.0,8.0,7.0
