opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Lucian,4,0,0,12,8,0.0,0.67,0.0,3.0,2.0
Smolder,6,0,6,48,12,0.0,0.38,1.0,8.0,2.0
Kaisa,2,2,14,6,14,100.0,4.67,7.0,3.0,7.0
Yunara,10,10,20,20,80,100.0,5.0,2.0,2.0,8.0
Karthus,6,0,48,48,48,0.0,2.0,8.0,8.0,8.0
Ashe,4,4,28,12,16,100.0,3.67,7.0,3.0,4.0
Draven,8,8,32,72,88,100.0,1.67,4.0,9.0,11.0
Varus,2,2,18,4,12,100.0,7.5,9.0,2.0,6.0
Zeri,8,0,0,16,0,0.0,0.0,0.0,2.0,0.0
Corki,2,0,4,14,4,0.0,0.57,2.0,7.0,2.0
Senna,4,0,12,12,8,0.0,1.67,3.0,3.0,2.0
Caitlyn,2,2,12,6,8,100.0,3.33,6.0,3.0,4.0
