opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ambessa,260,134,1138,1526,1152,51.54,1.5,4.38,5.87,4.43
Vayne,10,8,52,52,90,80.0,2.73,5.2,5.2,9.0
Sion,88,52,430,414,416,59.09,2.04,4.89,4.7,4.73
Jayce,148,70,702,702,682,47.3,1.97,4.74,4.74,4.61
Aurora,44,20,126,244,172,45.45,1.22,2.86,5.55,3.91
Gwen,134,68,720,672,532,50.75,1.86,5.37,5.01,3.97
Renekton,138,78,618,724,760,56.52,1.9,4.48,5.25,5.51
Galio,24,20,148,38,156,83.33,8.0,6.17,1.58,6.5
Kennen,54,50,200,118,206,92.59,3.44,3.7,2.19,3.81
Jax,242,110,920,1268,1058,45.45,1.56,3.8,5.24,4.37
Yorick,62,38,258,174,172,61.29,2.47,4.16,2.81,2.77
Cassiopeia,18,10,94,132,82,55.56,1.33,5.22,7.33,4.56
Mordekaiser,46,16,204,292,252,34.78,1.56,4.43,6.35,5.48
Fiora,80,54,490,352,396,67.5,2.52,6.12,4.4,4.95
Quinn,46,18,238,288,198,39.13,1.51,5.17,6.26,4.3
Nocturne,12,0,46,44,26,0.0,1.64,3.83,3.67,2.17
KSante,68,50,338,298,340,73.53,2.28,4.97,4.38,5.0
Singed,76,36,460,354,480,47.37,2.66,6.05,4.66,6.32
Lissandra,12,12,96,36,96,100.0,5.33,8.0,3.0,8.0
Kled,72,34,396,436,288,47.22,1.57,5.5,6.06,4.0
Yone,38,14,186,222,126,36.84,1.41,4.89,5.84,3.32
Nasus,50,22,232,246,226,44.0,1.86,4.64,4.92,4.52
Darius,98,36,472,536,346,36.73,1.53,4.82,5.47,3.53
Dr. Mundo,82,36,376,410,296,43.9,1.64,4.59,5.0,3.61
Riven,88,36,276,458,348,40.91,1.36,3.14,5.2,3.95
Aatrox,110,42,428,500,246,38.18,1.35,3.89,4.55,2.24
Camille,84,56,496,560,348,66.67,1.51,5.9,6.67,4.14
Gnar,66,44,352,304,248,66.67,1.97,5.33,4.61,3.76
Warwick,88,16,288,572,252,18.18,0.94,3.27,6.5,2.86
Shen,126,36,530,726,412,28.57,1.3,4.21,5.76,3.27
Poppy,34,32,174,104,120,94.12,2.83,5.12,3.06,3.53
Gragas,98,48,374,576,394,48.98,1.33,3.82,5.88,4.02
Mel,2,0,2,4,4,0.0,1.5,1.0,2.0,2.0
Illaoi,12,6,72,42,22,50.0,2.24,6.0,3.5,1.83
Sett,74,56,374,334,434,75.68,2.42,5.05,4.51,5.86
Heimerdinger,24,4,72,152,76,16.67,0.97,3.0,6.33,3.17
Shaco,4,4,30,8,16,100.0,5.75,7.5,2.0,4.0
Neeko,42,2,116,244,172,4.76,1.18,2.76,5.81,4.1
Vladimir,54,34,348,270,206,62.96,2.05,6.44,5.0,3.81
Lulu,2,0,10,12,6,0.0,1.33,5.0,6.0,3.0
Malphite,84,42,362,322,354,50.0,2.22,4.31,3.83,4.21
Ornn,72,26,222,356,276,36.11,1.4,3.08,4.94,3.83
Tahm Kench,22,16,172,78,90,72.73,3.36,7.82,3.55,4.09
Garen,28,16,146,164,218,57.14,2.22,5.21,5.86,7.79
Kaisa,4,0,20,20,44,0.0,3.2,5.0,5.0,11.0
Teemo,26,22,132,90,136,84.62,2.98,5.08,3.46,5.23
Chogath,34,10,162,136,142,29.41,2.24,4.76,4.0,4.18
Azir,12,6,28,82,28,50.0,0.68,2.33,6.83,2.33
Rammus,4,0,36,28,20,0.0,2.0,9.0,7.0,5.0
Reksai,2,2,14,4,6,100.0,5.0,7.0,2.0,3.0
Irelia,68,48,350,394,382,70.59,1.86,5.15,5.79,5.62
Rumble,20,18,80,60,114,90.0,3.23,4.0,3.0,5.7
Akali,62,26,230,420,344,41.94,1.37,3.71,6.77,5.55
Zac,32,6,98,202,238,18.75,1.66,3.06,6.31,7.44
Gangplank,88,38,336,550,332,43.18,1.21,3.82,6.25,3.77
Fiddlesticks,4,4,4,0,4,100.0,8.0,1.0,0.0,1.0
Zed,10,0,34,80,18,0.0,0.65,3.4,8.0,1.8
Shyvana,4,0,32,16,8,0.0,2.5,8.0,4.0,2.0
Kayle,84,42,436,264,358,50.0,3.01,5.19,3.14,4.26
Maokai,2,2,2,0,0,100.0,2.0,1.0,0.0,0.0
Sejuani,2,2,22,2,6,100.0,14.0,11.0,1.0,3.0
Urgot,82,40,434,442,452,48.78,2.0,5.29,5.39,5.51
Rengar,4,2,8,16,22,50.0,1.88,2.0,4.0,5.5
Kassadin,2,0,6,14,12,0.0,1.29,3.0,7.0,6.0
KogMaw,2,2,20,14,4,100.0,1.71,10.0,7.0,2.0
Volibear,64,40,238,302,344,62.5,1.93,3.72,4.72,5.38
Olaf,16,8,94,90,88,50.0,2.02,5.88,5.62,5.5
Anivia,4,2,12,32,20,50.0,1.0,3.0,8.0,5.0
Trundle,36,20,218,174,228,55.56,2.56,6.06,4.83,6.33
Pantheon,34,18,120,122,122,52.94,1.98,3.53,3.59,3.59
Kindred,12,12,48,60,48,100.0,1.6,4.0,5.0,4.0
Ryze,24,12,80,106,108,50.0,1.77,3.33,4.42,4.5
Wukong,14,14,108,76,94,100.0,2.66,7.71,5.43,6.71
Lee Sin,14,14,56,70,84,100.0,2.0,4.0,5.0,6.0
Yasuo,40,26,214,260,114,65.0,1.26,5.35,6.5,2.85
Twisted Fate,4,4,20,10,22,100.0,4.2,5.0,2.5,5.5
Sylas,24,12,124,110,86,50.0,1.91,5.17,4.58,3.58
Yunara,4,4,48,8,28,100.0,9.5,12.0,2.0,7.0
VelKoz,6,6,36,42,60,100.0,2.29,6.0,7.0,10.0
Udyr,24,22,100,40,48,91.67,3.7,4.17,1.67,2.0
Naafiri,6,0,24,48,12,0.0,0.75,4.0,8.0,2.0
Elise,14,14,68,22,48,100.0,5.27,4.86,1.57,3.43
Swain,12,12,48,120,108,100.0,1.3,4.0,10.0,9.0
Aurelion Sol,4,0,44,24,16,0.0,2.5,11.0,6.0,4.0
Ekko,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Zeri,2,0,10,10,6,0.0,1.6,5.0,5.0,3.0
