opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Sett,6,2,16,32,12,33.33,0.88,2.67,5.33,2.0
Azir,10,0,30,40,0,0.0,0.75,3.0,4.0,0.0
Corki,8,8,48,24,72,100.0,5.0,6.0,3.0,9.0
Renekton,36,20,166,190,178,55.56,1.81,4.61,5.28,4.94
Nidalee,6,0,36,54,42,0.0,1.44,6.0,9.0,7.0
KSante,32,18,194,152,242,56.25,2.87,6.06,4.75,7.56
Chogath,6,4,36,30,26,66.67,2.07,6.0,5.0,4.33
Gnar,12,0,6,42,62,0.0,1.62,0.5,3.5,5.17
Shen,18,14,68,92,238,77.78,3.33,3.78,5.11,13.22
Rumble,28,20,90,108,226,71.43,2.93,3.21,3.86,8.07
Urgot,14,12,96,82,148,85.71,2.98,6.86,5.86,10.57
Jax,30,26,138,142,228,86.67,2.58,4.6,4.73,7.6
Fiora,22,12,122,134,164,54.55,2.13,5.55,6.09,7.45
Yone,24,14,124,64,172,58.33,4.62,5.17,2.67,7.17
Yorick,18,6,24,36,42,33.33,1.83,1.33,2.0,2.33
Kaisa,18,18,126,18,90,100.0,12.0,7.0,1.0,5.0
Yasuo,12,4,66,92,72,33.33,1.5,5.5,7.67,6.0
Irelia,8,0,32,64,24,0.0,0.88,4.0,8.0,3.0
Illaoi,10,10,40,10,130,100.0,17.0,4.0,1.0,13.0
Warwick,2,0,10,18,16,0.0,1.44,5.0,9.0,8.0
Akshan,10,10,0,10,0,100.0,0.0,0.0,1.0,0.0
Singed,8,6,72,44,92,75.0,3.73,9.0,5.5,11.5
Gragas,16,8,50,96,102,50.0,1.58,3.12,6.0,6.38
Riven,18,18,166,60,196,100.0,6.03,9.22,3.33,10.89
Nasus,16,4,54,70,84,25.0,1.97,3.38,4.38,5.25
Jayce,8,6,54,30,70,75.0,4.13,6.75,3.75,8.75
Gangplank,6,6,78,0,78,100.0,156.0,13.0,0.0,13.0
Ryze,4,0,16,20,28,0.0,2.2,4.0,5.0,7.0
Aurora,10,10,76,88,120,100.0,2.23,7.6,8.8,12.0
Aatrox,4,4,8,8,24,100.0,4.0,2.0,2.0,6.0
Ornn,12,6,64,64,88,50.0,2.38,5.33,5.33,7.33
Camille,8,0,42,86,44,0.0,1.0,5.25,10.75,5.5
Ambessa,8,0,64,88,40,0.0,1.18,8.0,11.0,5.0
Wukong,6,6,12,12,36,100.0,4.0,2.0,2.0,6.0
Gwen,6,6,42,34,52,100.0,2.76,7.0,5.67,8.67
Tryndamere,4,0,10,26,26,0.0,1.38,2.5,6.5,6.5
Hwei,2,2,16,8,34,100.0,6.25,8.0,4.0,17.0
Kennen,22,0,154,212,276,0.0,2.03,7.0,9.64,12.55
Akali,10,10,100,50,40,100.0,2.8,10.0,5.0,4.0
Viktor,8,8,32,56,88,100.0,2.14,4.0,7.0,11.0
Volibear,4,4,20,24,28,100.0,2.0,5.0,6.0,7.0
Dr. Mundo,4,2,10,12,20,50.0,2.5,2.5,3.0,5.0
Darius,2,0,16,10,12,0.0,2.8,8.0,5.0,6.0
Lulu,6,0,12,48,0,0.0,0.25,2.0,8.0,0.0
Qiyana,4,0,4,36,12,0.0,0.44,1.0,9.0,3.0
Orianna,2,0,16,18,4,0.0,1.11,8.0,9.0,2.0
Mordekaiser,2,2,2,0,0,100.0,2.0,1.0,0.0,0.0
