opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
LeBlanc,16,10,110,108,104,62.5,1.98,6.88,6.75,6.5
Jayce,10,0,10,90,60,0.0,0.78,1.0,9.0,6.0
Gragas,18,14,134,160,98,77.78,1.45,7.44,8.89,5.44
Azir,26,26,320,200,204,100.0,2.62,12.31,7.69,7.85
Neeko,8,4,52,32,36,50.0,2.75,6.5,4.0,4.5
Galio,18,0,150,146,120,0.0,1.85,8.33,8.11,6.67
Lucian,8,8,92,56,60,100.0,2.71,11.5,7.0,7.5
Corki,8,0,76,56,100,0.0,3.14,9.5,7.0,12.5
Kennen,4,0,52,32,16,0.0,2.12,13.0,8.0,4.0
Orianna,22,8,124,142,146,36.36,1.9,5.64,6.45,6.64
Nidalee,12,8,60,48,36,66.67,2.0,5.0,4.0,3.0
Sylas,26,14,284,180,174,53.85,2.54,10.92,6.92,6.69
Zilean,6,0,22,32,8,0.0,0.94,3.67,5.33,1.33
Zed,14,10,200,112,94,71.43,2.62,14.29,8.0,6.71
Xin Zhao,10,0,190,120,100,0.0,2.42,19.0,12.0,10.0
Viktor,22,14,192,168,144,63.64,2.0,8.73,7.64,6.55
Taliyah,30,10,212,136,148,33.33,2.65,7.07,4.53,4.93
Qiyana,2,0,10,14,2,0.0,0.86,5.0,7.0,1.0
Syndra,6,6,80,18,52,100.0,7.33,13.33,3.0,8.67
Ivern,6,0,66,72,42,0.0,1.5,11.0,12.0,7.0
Twisted Fate,24,14,290,128,126,58.33,3.25,12.08,5.33,5.25
Ahri,20,8,148,112,86,40.0,2.09,7.4,5.6,4.3
Talon,10,0,92,86,102,0.0,2.26,9.2,8.6,10.2
Veigar,4,4,42,20,26,100.0,3.4,10.5,5.0,6.5
Caitlyn,2,0,30,24,16,0.0,1.92,15.0,12.0,8.0
Zac,6,4,20,54,38,66.67,1.07,3.33,9.0,6.33
Viego,2,2,10,4,4,100.0,3.5,5.0,2.0,2.0
Yone,12,8,124,80,102,66.67,2.83,10.33,6.67,8.5
Mel,16,8,140,108,102,50.0,2.24,8.75,6.75,6.38
Vladimir,10,0,68,70,48,0.0,1.66,6.8,7.0,4.8
Hwei,18,16,290,78,124,88.89,5.31,16.11,4.33,6.89
Fizz,6,2,50,28,34,33.33,3.0,8.33,4.67,5.67
Lissandra,8,8,96,46,80,100.0,3.83,12.0,5.75,10.0
Akali,24,18,252,244,170,75.0,1.73,10.5,10.17,7.08
Anivia,20,10,214,66,80,50.0,4.45,10.7,3.3,4.0
Sett,4,4,80,36,68,100.0,4.11,20.0,9.0,17.0
Lux,8,4,62,42,32,50.0,2.24,7.75,5.25,4.0
Aurora,6,4,42,20,10,66.67,2.6,7.0,3.33,1.67
VelKoz,4,0,4,20,2,0.0,0.3,1.0,5.0,0.5
Kassadin,8,4,70,32,20,50.0,2.81,8.75,4.0,2.5
Lulu,2,2,20,8,32,100.0,6.5,10.0,4.0,16.0
Xerath,4,4,46,10,14,100.0,6.0,11.5,2.5,3.5
Chogath,6,2,68,48,52,33.33,2.5,11.33,8.0,8.67
Zoe,26,22,270,122,198,84.62,3.84,10.38,4.69,7.62
Vex,4,4,44,8,24,100.0,8.5,11.0,2.0,6.0
Akshan,10,2,44,54,58,20.0,1.89,4.4,5.4,5.8
Karthus,16,0,208,192,80,0.0,1.5,13.0,12.0,5.0
Katarina,10,0,40,88,20,0.0,0.68,4.0,8.8,2.0
Ryze,18,8,214,126,86,44.44,2.38,11.89,7.0,4.78
Irelia,6,0,24,48,12,0.0,0.75,4.0,8.0,2.0
Aurelion Sol,2,0,12,12,10,0.0,1.83,6.0,6.0,5.0
Annie,12,2,78,72,56,16.67,1.86,6.5,6.0,4.67
Diana,2,2,28,4,16,100.0,11.0,14.0,2.0,8.0
Yorick,8,0,48,88,72,0.0,1.36,6.0,11.0,9.0
Singed,6,0,42,54,18,0.0,1.11,7.0,9.0,3.0
Morgana,2,2,24,14,8,100.0,2.29,12.0,7.0,4.0
