opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Taliyah,40,12,330,238,98,30.0,1.8,8.25,5.95,2.45
Swain,18,0,30,84,32,0.0,0.74,1.67,4.67,1.78
Ryze,26,6,266,218,164,23.08,1.97,10.23,8.38,6.31
Riven,10,10,180,70,60,100.0,3.43,18.0,7.0,6.0
Aurora,22,16,184,170,100,72.73,1.67,8.36,7.73,4.55
Lucian,8,8,56,48,112,100.0,3.5,7.0,6.0,14.0
Sylas,42,20,192,272,184,47.62,1.38,4.57,6.48,4.38
Ahri,32,18,180,202,190,56.25,1.83,5.62,6.31,5.94
Lissandra,20,10,138,160,96,50.0,1.46,6.9,8.0,4.8
Viktor,18,16,178,86,100,88.89,3.23,9.89,4.78,5.56
Zoe,26,2,100,150,112,7.69,1.41,3.85,5.77,4.31
Ekko,8,8,80,40,16,100.0,2.4,10.0,5.0,2.0
Twisted Fate,28,0,176,168,54,0.0,1.37,6.29,6.0,1.93
Kassadin,8,6,48,20,34,75.0,4.1,6.0,2.5,4.25
Wukong,2,0,18,22,14,0.0,1.45,9.0,11.0,7.0
Orianna,26,24,164,114,108,92.31,2.39,6.31,4.38,4.15
Galio,38,18,350,260,228,47.37,2.22,9.21,6.84,6.0
Yone,20,18,190,76,74,90.0,3.47,9.5,3.8,3.7
Corki,18,4,66,86,44,22.22,1.28,3.67,4.78,2.44
Akali,2,0,0,22,4,0.0,0.18,0.0,11.0,2.0
Nocturne,10,0,30,50,30,0.0,1.2,3.0,5.0,3.0
Zed,6,6,48,40,46,100.0,2.35,8.0,6.67,7.67
Zac,2,2,20,2,12,100.0,16.0,10.0,1.0,6.0
Veigar,16,16,48,28,56,100.0,3.71,3.0,1.75,3.5
Nunu & Willump,18,12,180,72,84,66.67,3.67,10.0,4.0,4.67
Jayce,10,2,102,52,62,20.0,3.15,10.2,5.2,6.2
Cassiopeia,14,0,84,140,42,0.0,0.9,6.0,10.0,3.0
Katarina,16,2,46,108,32,12.5,0.72,2.88,6.75,2.0
KSante,6,0,6,48,24,0.0,0.62,1.0,8.0,4.0
Yasuo,8,0,42,62,34,0.0,1.23,5.25,7.75,4.25
Qiyana,2,2,2,18,30,100.0,1.78,1.0,9.0,15.0
Vladimir,4,4,16,24,20,100.0,1.5,4.0,6.0,5.0
Mel,8,0,34,54,20,0.0,1.0,4.25,6.75,2.5
Aurelion Sol,6,4,40,26,42,66.67,3.15,6.67,4.33,7.0
Annie,8,6,50,60,32,75.0,1.37,6.25,7.5,4.0
Azir,6,4,20,40,28,66.67,1.2,3.33,6.67,4.67
Smolder,2,0,8,12,2,0.0,0.83,4.0,6.0,1.0
Hwei,16,10,140,84,72,62.5,2.52,8.75,5.25,4.5
Syndra,14,4,94,84,100,28.57,2.31,6.71,6.0,7.14
Jhin,2,0,14,18,10,0.0,1.33,7.0,9.0,5.0
Karthus,2,0,12,8,8,0.0,2.5,6.0,4.0,4.0
Anivia,2,0,2,26,4,0.0,0.23,1.0,13.0,2.0
LeBlanc,4,0,24,32,22,0.0,1.44,6.0,8.0,5.5
Rumble,2,0,40,14,10,0.0,3.57,20.0,7.0,5.0
Yunara,6,0,6,18,0,0.0,0.33,1.0,3.0,0.0
Volibear,4,0,8,36,8,0.0,0.44,2.0,9.0,2.0
Talon,6,4,38,36,36,66.67,2.06,6.33,6.0,6.0
Irelia,4,4,12,24,32,100.0,1.83,3.0,6.0,8.0
Neeko,8,0,24,32,8,0.0,1.0,3.0,4.0,1.0
Kaisa,8,0,32,88,16,0.0,0.55,4.0,11.0,2.0
Sett,4,4,16,8,8,100.0,3.0,4.0,2.0,2.0
Yorick,2,0,6,8,6,0.0,1.5,3.0,4.0,3.0
Chogath,2,0,8,32,20,0.0,0.88,4.0,16.0,10.0
Kalista,2,0,20,10,6,0.0,2.6,10.0,5.0,3.0
Varus,6,6,24,0,12,100.0,36.0,4.0,0.0,2.0
