opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Draven,36,26,116,104,124,72.22,2.31,3.22,2.89,3.44
Corki,46,24,182,248,214,52.17,1.6,3.96,5.39,4.65
Smolder,58,22,388,314,458,37.93,2.69,6.69,5.41,7.9
Senna,58,32,340,254,360,55.17,2.76,5.86,4.38,6.21
Ezreal,88,40,470,516,568,45.45,2.01,5.34,5.86,6.45
Kaisa,80,42,492,390,484,52.5,2.5,6.15,4.88,6.05
Yunara,92,20,308,620,532,21.74,1.35,3.35,6.74,5.78
Jhin,128,68,582,776,880,53.12,1.88,4.55,6.06,6.88
Lucian,100,60,502,442,610,60.0,2.52,5.02,4.42,6.1
Hwei,20,12,82,94,162,60.0,2.6,4.1,4.7,8.1
Mel,42,6,152,260,234,14.29,1.48,3.62,6.19,5.57
Gragas,4,4,24,8,8,100.0,4.0,6.0,2.0,2.0
Aphelios,58,30,418,366,472,51.72,2.43,7.21,6.31,8.14
Lux,2,0,14,6,24,0.0,6.33,7.0,3.0,12.0
Twitch,20,0,94,130,74,0.0,1.29,4.7,6.5,3.7
Caitlyn,32,14,170,160,208,43.75,2.36,5.31,5.0,6.5
Yasuo,14,8,110,40,98,57.14,5.2,7.86,2.86,7.0
Braum,2,2,10,4,26,100.0,9.0,5.0,2.0,13.0
Miss Fortune,22,20,140,66,160,90.91,4.55,6.36,3.0,7.27
Ashe,18,6,136,102,98,33.33,2.29,7.56,5.67,5.44
Taliyah,2,0,0,12,14,0.0,1.17,0.0,6.0,7.0
Zeri,38,16,168,236,112,42.11,1.19,4.42,6.21,2.95
Sivir,64,32,332,386,450,50.0,2.03,5.19,6.03,7.03
Zyra,8,0,26,52,22,0.0,0.92,3.25,6.5,2.75
Samira,20,18,148,102,160,90.0,3.02,7.4,5.1,8.0
Jinx,66,46,460,232,566,69.7,4.42,6.97,3.52,8.58
Tristana,22,20,234,136,268,90.91,3.69,10.64,6.18,12.18
Ziggs,24,14,116,88,132,58.33,2.82,4.83,3.67,5.5
Kassadin,2,0,6,6,6,0.0,2.0,3.0,3.0,3.0
Swain,2,2,20,14,16,100.0,2.57,10.0,7.0,8.0
Varus,44,22,174,334,278,50.0,1.35,3.95,7.59,6.32
Jayce,2,2,8,6,8,100.0,2.67,4.0,3.0,4.0
Qiyana,10,10,40,40,150,100.0,4.75,4.0,4.0,15.0
Vayne,18,0,48,118,156,0.0,1.73,2.67,6.56,8.67
Karthus,12,8,34,56,64,66.67,1.75,2.83,4.67,5.33
KogMaw,10,0,68,96,62,0.0,1.35,6.8,9.6,6.2
Morgana,4,0,12,48,8,0.0,0.42,3.0,12.0,2.0
Poppy,10,10,80,30,70,100.0,5.0,8.0,3.0,7.0
Vladimir,14,0,6,58,0,0.0,0.1,0.43,4.14,0.0
Xayah,22,22,200,24,184,100.0,16.0,9.09,1.09,8.36
Darius,2,0,6,16,12,0.0,1.12,3.0,8.0,6.0
Nilah,4,0,18,18,18,0.0,2.0,4.5,4.5,4.5
Aurelion Sol,4,2,4,16,26,50.0,1.88,1.0,4.0,6.5
Seraphine,24,0,82,118,132,0.0,1.81,3.42,4.92,5.5
Brand,18,18,0,0,0,100.0,0.0,0.0,0.0,0.0
Kalista,8,8,40,72,96,100.0,1.89,5.0,9.0,12.0
VelKoz,2,2,14,4,24,100.0,9.5,7.0,2.0,12.0
Yone,6,0,24,30,36,0.0,2.0,4.0,5.0,6.0
