opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Aurora,102,62,692,616,824,60.78,2.46,6.78,6.04,8.08
Sylas,204,94,818,832,1150,46.08,2.37,4.01,4.08,5.64
Yone,96,38,436,392,472,39.58,2.32,4.54,4.08,4.92
Galio,102,34,402,468,526,33.33,1.98,3.94,4.59,5.16
Ekko,92,26,462,458,494,28.26,2.09,5.02,4.98,5.37
Hwei,68,26,322,452,456,38.24,1.72,4.74,6.65,6.71
Ryze,138,62,994,520,772,44.93,3.4,7.2,3.77,5.59
Talon,24,12,178,144,180,50.0,2.49,7.42,6.0,7.5
Riven,8,2,60,46,40,25.0,2.17,7.5,5.75,5.0
Orianna,116,42,576,630,620,36.21,1.9,4.97,5.43,5.34
Taliyah,124,58,656,702,650,46.77,1.86,5.29,5.66,5.24
Twisted Fate,186,80,988,834,1166,43.01,2.58,5.31,4.48,6.27
Mel,100,42,390,534,504,42.0,1.67,3.9,5.34,5.04
Pyke,8,4,24,38,44,50.0,1.79,3.0,4.75,5.5
Kassadin,96,36,536,492,604,37.5,2.32,5.58,5.12,6.29
Viktor,102,58,678,364,612,56.86,3.54,6.65,3.57,6.0
Xerath,72,18,430,458,378,25.0,1.76,5.97,6.36,5.25
Azir,118,32,662,606,682,27.12,2.22,5.61,5.14,5.78
Katarina,116,76,770,550,722,65.52,2.71,6.64,4.74,6.22
Kennen,12,10,104,66,96,83.33,3.03,8.67,5.5,8.0
Chogath,12,12,58,6,12,100.0,11.67,4.83,0.5,1.0
Aurelion Sol,62,22,282,274,318,35.48,2.19,4.55,4.42,5.13
Lissandra,44,24,348,262,338,54.55,2.62,7.91,5.95,7.68
Caitlyn,14,0,28,70,140,0.0,2.4,2.0,5.0,10.0
Annie,78,52,602,350,532,66.67,3.24,7.72,4.49,6.82
Renekton,10,4,30,64,58,40.0,1.38,3.0,6.4,5.8
Qiyana,44,16,182,316,196,36.36,1.2,4.14,7.18,4.45
Lucian,10,0,40,40,40,0.0,2.0,4.0,4.0,4.0
Vladimir,78,32,376,344,510,41.03,2.58,4.82,4.41,6.54
Syndra,124,64,670,638,760,51.61,2.24,5.4,5.15,6.13
Irelia,50,40,290,234,322,80.0,2.62,5.8,4.68,6.44
Briar,6,4,14,10,6,66.67,2.0,2.33,1.67,1.0
Ziggs,18,10,116,22,96,55.56,9.64,6.44,1.22,5.33
Corki,32,14,184,84,114,43.75,3.55,5.75,2.62,3.56
Ahri,144,44,776,762,656,30.56,1.88,5.39,5.29,4.56
Zed,88,42,418,542,436,47.73,1.58,4.75,6.16,4.95
Morgana,18,8,42,44,44,44.44,1.95,2.33,2.44,2.44
Karma,12,6,36,6,6,50.0,7.0,3.0,0.5,0.5
LeBlanc,44,20,162,268,274,45.45,1.63,3.68,6.09,6.23
Vex,10,4,54,42,62,40.0,2.76,5.4,4.2,6.2
Kayle,56,42,454,246,480,75.0,3.8,8.11,4.39,8.57
Ambessa,14,8,78,96,94,57.14,1.79,5.57,6.86,6.71
Akali,84,42,342,414,422,50.0,1.85,4.07,4.93,5.02
Zoe,28,14,176,108,146,50.0,2.98,6.29,3.86,5.21
Vayne,16,0,24,36,40,0.0,1.78,1.5,2.25,2.5
Nidalee,6,4,22,16,16,66.67,2.38,3.67,2.67,2.67
Gragas,20,12,74,58,92,60.0,2.86,3.7,2.9,4.6
Anivia,60,22,354,384,298,36.67,1.7,5.9,6.4,4.97
Akshan,32,14,198,162,226,43.75,2.62,6.19,5.06,7.06
Tristana,26,18,212,116,160,69.23,3.21,8.15,4.46,6.15
Fizz,38,26,146,188,132,68.42,1.48,3.84,4.95,3.47
Smolder,40,16,298,156,176,40.0,3.04,7.45,3.9,4.4
Pantheon,16,12,116,80,174,75.0,3.62,7.25,5.0,10.88
Ornn,4,0,4,24,16,0.0,0.83,1.0,6.0,4.0
Zac,6,2,22,40,30,33.33,1.3,3.67,6.67,5.0
Graves,4,0,12,32,8,0.0,0.62,3.0,8.0,2.0
Xin Zhao,2,0,12,10,8,0.0,2.0,6.0,5.0,4.0
Naafiri,8,4,34,42,62,50.0,2.29,4.25,5.25,7.75
Lux,84,32,362,436,454,38.1,1.87,4.31,5.19,5.4
Swain,14,6,86,88,58,42.86,1.64,6.14,6.29,4.14
Yasuo,92,46,482,378,484,50.0,2.56,5.24,4.11,5.26
Varus,10,8,20,44,32,80.0,1.18,2.0,4.4,3.2
Garen,6,0,6,42,18,0.0,0.57,1.0,7.0,3.0
Neeko,12,6,64,50,76,50.0,2.8,5.33,4.17,6.33
Ivern,4,2,30,18,14,50.0,2.44,7.5,4.5,3.5
Cassiopeia,6,2,48,34,56,33.33,3.06,8.0,5.67,9.33
Jayce,32,4,68,138,88,12.5,1.13,2.12,4.31,2.75
Twitch,4,0,20,20,12,0.0,1.6,5.0,5.0,3.0
Sion,10,0,64,66,78,0.0,2.15,6.4,6.6,7.8
Master Yi,4,4,24,16,36,100.0,3.75,6.0,4.0,9.0
Kled,2,0,6,18,4,0.0,0.56,3.0,9.0,2.0
