opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Riven,4,0,18,34,4,0.0,0.65,4.5,8.5,1.0
Vladimir,14,14,98,36,88,100.0,5.17,7.0,2.57,6.29
Galio,4,4,48,16,20,100.0,4.25,12.0,4.0,5.0
Nocturne,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0
Poppy,6,0,18,42,18,0.0,0.86,3.0,7.0,3.0
Gnar,4,0,12,24,16,0.0,1.17,3.0,6.0,4.0
Akali,4,4,28,16,24,100.0,3.25,7.0,4.0,6.0
Azir,16,4,24,78,34,25.0,0.74,1.5,4.88,2.12
Kennen,8,4,44,36,16,50.0,1.67,5.5,4.5,2.0
Dr. Mundo,2,2,10,12,6,100.0,1.33,5.0,6.0,3.0
Singed,20,10,72,88,160,50.0,2.64,3.6,4.4,8.0
Heimerdinger,6,2,30,22,44,33.33,3.36,5.0,3.67,7.33
Warwick,4,0,24,28,20,0.0,1.57,6.0,7.0,5.0
Nasus,4,4,36,8,16,100.0,6.5,9.0,2.0,4.0
Jax,12,0,16,66,12,0.0,0.42,1.33,5.5,1.0
Kayle,10,10,90,10,10,100.0,10.0,9.0,1.0,1.0
Ambessa,8,0,0,56,16,0.0,0.29,0.0,7.0,2.0
Yorick,4,0,12,28,12,0.0,0.86,3.0,7.0,3.0
Quinn,2,2,0,0,0,100.0,0.0,0.0,0.0,0.0
Renekton,14,14,126,56,126,100.0,4.5,9.0,4.0,9.0
Chogath,14,0,28,70,70,0.0,1.4,2.0,5.0,5.0
Ornn,10,10,70,10,60,100.0,13.0,7.0,1.0,6.0
Zilean,8,8,24,48,104,100.0,2.67,3.0,6.0,13.0
