opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Lucian,72,28,294,304,454,38.89,2.46,4.08,4.22,6.31
Hwei,6,6,52,44,48,100.0,2.27,8.67,7.33,8.0
Zeri,34,20,188,176,266,58.82,2.58,5.53,5.18,7.82
Ezreal,50,22,236,292,366,44.0,2.06,4.72,5.84,7.32
Kaisa,50,28,320,244,424,56.0,3.05,6.4,4.88,8.48
Lux,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Caitlyn,12,2,66,74,58,16.67,1.68,5.5,6.17,4.83
Draven,4,0,8,16,18,0.0,1.62,2.0,4.0,4.5
Jinx,14,14,76,68,150,100.0,3.32,5.43,4.86,10.71
Tristana,14,4,96,68,90,28.57,2.74,6.86,4.86,6.43
Vayne,14,10,38,38,74,71.43,2.95,2.71,2.71,5.29
Aphelios,48,34,308,314,418,70.83,2.31,6.42,6.54,8.71
Corki,26,14,132,162,200,53.85,2.05,5.08,6.23,7.69
Varus,22,14,140,98,118,63.64,2.63,6.36,4.45,5.36
Yunara,6,6,66,24,30,100.0,4.0,11.0,4.0,5.0
Ivern,4,4,16,8,76,100.0,11.5,4.0,2.0,19.0
Zyra,4,4,28,20,28,100.0,2.8,7.0,5.0,7.0
Sivir,22,18,214,56,220,81.82,7.75,9.73,2.55,10.0
Syndra,10,4,50,58,82,40.0,2.28,5.0,5.8,8.2
Senna,32,24,220,154,296,75.0,3.35,6.88,4.81,9.25
Twitch,16,2,116,88,122,12.5,2.7,7.25,5.5,7.62
Smolder,24,14,180,110,166,58.33,3.15,7.5,4.58,6.92
Swain,2,0,6,14,20,0.0,1.86,3.0,7.0,10.0
Ashe,10,0,16,22,20,0.0,1.64,1.6,2.2,2.0
Miss Fortune,14,6,84,64,122,42.86,3.22,6.0,4.57,8.71
Jhin,44,32,236,174,314,72.73,3.16,5.36,3.95,7.14
Yasuo,6,0,30,28,26,0.0,2.0,5.0,4.67,4.33
Zilean,4,4,24,20,26,100.0,2.5,6.0,5.0,6.5
Karthus,12,4,110,70,102,33.33,3.03,9.17,5.83,8.5
KogMaw,4,0,24,16,24,0.0,3.0,6.0,4.0,6.0
Mel,18,12,86,76,100,66.67,2.45,4.78,4.22,5.56
Chogath,2,0,2,12,4,0.0,0.5,1.0,6.0,2.0
Brand,4,0,44,20,32,0.0,3.8,11.0,5.0,8.0
Rengar,16,0,96,144,320,0.0,2.89,6.0,9.0,20.0
Samira,2,0,18,20,24,0.0,2.1,9.0,10.0,12.0
Veigar,2,0,2,16,6,0.0,0.5,1.0,8.0,3.0
Taliyah,2,2,14,12,30,100.0,3.67,7.0,6.0,15.0
Nilah,2,2,18,10,40,100.0,5.8,9.0,5.0,20.0
