opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Trundle,12,12,72,120,108,100.0,1.5,6.0,10.0,9.0
Rakan,96,40,288,696,874,41.67,1.67,3.0,7.25,9.1
Blitzcrank,104,38,520,784,996,36.54,1.93,5.0,7.54,9.58
Janna,56,20,202,366,500,35.71,1.92,3.61,6.54,8.93
Poppy,26,0,160,168,314,0.0,2.82,6.15,6.46,12.08
Alistar,66,22,326,442,692,33.33,2.3,4.94,6.7,10.48
Yuumi,36,26,224,184,448,72.22,3.65,6.22,5.11,12.44
Neeko,52,26,112,280,466,50.0,2.06,2.15,5.38,8.96
Nautilus,138,56,528,1006,1434,40.58,1.95,3.83,7.29,10.39
Pantheon,24,18,110,188,262,75.0,1.98,4.58,7.83,10.92
Lulu,94,56,474,550,910,59.57,2.52,5.04,5.85,9.68
Karma,88,64,382,452,838,72.73,2.7,4.34,5.14,9.52
Pyke,40,18,200,312,494,45.0,2.22,5.0,7.8,12.35
Nami,206,90,780,1586,2064,43.69,1.79,3.79,7.7,10.02
Soraka,60,40,220,290,452,66.67,2.32,3.67,4.83,7.53
Renata,10,2,58,60,138,20.0,3.27,5.8,6.0,13.8
Sona,28,12,114,154,276,42.86,2.53,4.07,5.5,9.86
Senna,52,36,268,274,636,69.23,3.3,5.15,5.27,12.23
Bard,64,30,282,484,648,46.88,1.92,4.41,7.56,10.12
Shaco,14,6,50,98,110,42.86,1.63,3.57,7.0,7.86
Lux,44,26,200,298,436,59.09,2.13,4.55,6.77,9.91
Sylas,6,2,14,42,28,33.33,1.0,2.33,7.0,4.67
Seraphine,16,14,32,86,194,87.5,2.63,2.0,5.38,12.12
Thresh,78,38,370,590,954,48.72,2.24,4.74,7.56,12.23
Leona,56,32,304,436,740,57.14,2.39,5.43,7.79,13.21
Milio,50,44,258,246,512,88.0,3.13,5.16,4.92,10.24
Rell,52,28,182,428,640,53.85,1.92,3.5,8.23,12.31
LeBlanc,16,2,74,126,110,12.5,1.46,4.62,7.88,6.88
Braum,30,8,74,182,200,26.67,1.51,2.47,6.07,6.67
Elise,8,6,12,56,100,75.0,2.0,1.5,7.0,12.5
Morgana,22,10,86,144,216,45.45,2.1,3.91,6.55,9.82
Ahri,2,2,4,4,34,100.0,9.5,2.0,2.0,17.0
Camille,2,2,2,14,36,100.0,2.71,1.0,7.0,18.0
Ezreal,6,0,18,54,36,0.0,1.0,3.0,9.0,6.0
Taric,10,8,62,42,154,80.0,5.14,6.2,4.2,15.4
Zyra,18,8,78,106,192,44.44,2.55,4.33,5.89,10.67
Zilean,38,12,196,364,364,31.58,1.54,5.16,9.58,9.58
Zoe,4,0,20,40,40,0.0,1.5,5.0,10.0,10.0
Zac,4,0,4,24,12,0.0,0.67,1.0,6.0,3.0
Brand,6,6,66,48,84,100.0,3.12,11.0,8.0,14.0
Swain,12,0,60,144,168,0.0,1.58,5.0,12.0,14.0
Sett,2,0,0,8,2,0.0,0.25,0.0,4.0,1.0
Fiddlesticks,8,8,32,48,160,100.0,4.0,4.0,6.0,20.0
Lissandra,2,0,10,16,48,0.0,3.62,5.0,8.0,24.0
Rumble,18,18,72,0,126,100.0,198.0,4.0,0.0,7.0
Twitch,20,20,160,80,100,100.0,3.25,8.0,4.0,5.0
Galio,16,16,48,32,80,100.0,4.0,3.0,2.0,5.0
Maokai,4,0,8,28,32,0.0,1.43,2.0,7.0,8.0
Hwei,4,0,36,48,24,0.0,1.25,9.0,12.0,6.0
Ashe,12,8,46,76,154,66.67,2.63,3.83,6.33,12.83
Jarvan Iv,2,0,6,18,2,0.0,0.44,3.0,9.0,1.0
Mel,14,8,32,64,92,57.14,1.94,2.29,4.57,6.57
Xerath,8,0,56,88,38,0.0,1.07,7.0,11.0,4.75
Tahm Kench,4,4,24,20,60,100.0,4.2,6.0,5.0,15.0
Annie,8,8,24,8,80,100.0,13.0,3.0,1.0,10.0
Jhin,2,2,12,4,28,100.0,10.0,6.0,2.0,14.0
Kayle,4,4,12,4,12,100.0,6.0,3.0,1.0,3.0
