opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Kassadin,48,24,246,234,446,50.0,2.96,5.12,4.88,9.29
Akshan,36,20,276,170,306,55.56,3.42,7.67,4.72,8.5
Heimerdinger,6,6,80,42,58,100.0,3.29,13.33,7.0,9.67
Sylas,152,82,766,758,1002,53.95,2.33,5.04,4.99,6.59
Akali,148,64,904,806,1040,43.24,2.41,6.11,5.45,7.03
Cassiopeia,30,30,204,42,390,100.0,14.14,6.8,1.4,13.0
Riven,14,8,182,76,140,57.14,4.24,13.0,5.43,10.0
Gragas,32,20,224,252,146,62.5,1.47,7.0,7.88,4.56
Ryze,66,18,472,394,552,27.27,2.6,7.15,5.97,8.36
Tristana,26,22,174,92,112,84.62,3.11,6.69,3.54,4.31
Lissandra,46,26,270,282,382,56.52,2.31,5.87,6.13,8.3
Azir,120,88,968,604,1128,73.33,3.47,8.07,5.03,9.4
Talon,32,24,244,130,186,75.0,3.31,7.62,4.06,5.81
Nunu & Willump,8,0,0,32,48,0.0,1.5,0.0,4.0,6.0
Yone,78,48,386,394,354,61.54,1.88,4.95,5.05,4.54
Ahri,68,26,366,340,330,38.24,2.05,5.38,5.0,4.85
Fizz,36,26,284,190,218,72.22,2.64,7.89,5.28,6.06
Qiyana,86,42,736,578,738,48.84,2.55,8.56,6.72,8.58
Kayle,38,14,210,186,274,36.84,2.6,5.53,4.89,7.21
Aurora,82,58,608,450,612,70.73,2.71,7.41,5.49,7.46
Orianna,98,68,576,486,730,69.39,2.69,5.88,4.96,7.45
Viktor,62,44,410,200,312,70.97,3.61,6.61,3.23,5.03
Naafiri,46,22,318,274,270,47.83,2.15,6.91,5.96,5.87
Syndra,58,40,400,410,502,68.97,2.2,6.9,7.07,8.66
Miss Fortune,4,0,8,44,0,0.0,0.18,2.0,11.0,0.0
Lucian,8,0,0,24,24,0.0,1.0,0.0,3.0,3.0
Zoe,66,24,432,422,584,36.36,2.41,6.55,6.39,8.85
Veigar,10,6,62,52,76,60.0,2.65,6.2,5.2,7.6
Zilean,2,2,26,16,30,100.0,3.5,13.0,8.0,15.0
Yasuo,146,98,1002,776,1324,67.12,3.0,6.86,5.32,9.07
Vladimir,10,6,80,56,58,60.0,2.46,8.0,5.6,5.8
Twisted Fate,30,16,224,146,232,53.33,3.12,7.47,4.87,7.73
Zed,70,44,440,414,382,62.86,1.99,6.29,5.91,5.46
Tryndamere,14,8,98,92,134,57.14,2.52,7.0,6.57,9.57
Hwei,76,50,454,468,594,65.79,2.24,5.97,6.16,7.82
LeBlanc,92,64,742,506,692,69.57,2.83,8.07,5.5,7.52
Caitlyn,4,0,8,40,4,0.0,0.3,2.0,10.0,1.0
Zac,12,4,76,48,40,33.33,2.42,6.33,4.0,3.33
Diana,18,2,92,108,96,11.11,1.74,5.11,6.0,5.33
Aurelion Sol,14,0,72,92,54,0.0,1.37,5.14,6.57,3.86
Malzahar,30,6,70,78,90,20.0,2.05,2.33,2.6,3.0
Corki,22,12,176,134,208,54.55,2.87,8.0,6.09,9.45
Katarina,116,54,578,712,778,46.55,1.9,4.98,6.14,6.71
Mel,48,24,206,312,310,50.0,1.65,4.29,6.5,6.46
Swain,14,0,96,84,86,0.0,2.17,6.86,6.0,6.14
Xerath,22,16,168,102,166,72.73,3.27,7.64,4.64,7.55
Ekko,58,24,264,252,262,41.38,2.09,4.55,4.34,4.52
Irelia,34,24,274,184,276,70.59,2.99,8.06,5.41,8.12
Galio,46,12,220,200,174,26.09,1.97,4.78,4.35,3.78
Smolder,8,0,52,68,72,0.0,1.82,6.5,8.5,9.0
Jayce,6,4,46,40,36,66.67,2.05,7.67,6.67,6.0
Sett,2,2,8,4,12,100.0,5.0,4.0,2.0,6.0
Taliyah,38,28,324,190,382,73.68,3.72,8.53,5.0,10.05
Ambessa,14,0,56,86,88,0.0,1.67,4.0,6.14,6.29
Annie,36,20,244,202,216,55.56,2.28,6.78,5.61,6.0
Anivia,14,12,82,40,154,85.71,5.9,5.86,2.86,11.0
Briar,4,4,30,26,38,100.0,2.62,7.5,6.5,9.5
Karma,10,0,108,104,124,0.0,2.23,10.8,10.4,12.4
Lux,38,18,210,226,216,47.37,1.88,5.53,5.95,5.68
Quinn,4,2,54,40,58,50.0,2.8,13.5,10.0,14.5
Singed,2,2,12,6,26,100.0,6.33,6.0,3.0,13.0
Sejuani,6,0,60,48,54,0.0,2.38,10.0,8.0,9.0
Nasus,4,2,36,22,20,50.0,2.55,9.0,5.5,5.0
Kaisa,2,0,12,18,20,0.0,1.78,6.0,9.0,10.0
Neeko,16,0,92,112,144,0.0,2.11,5.75,7.0,9.0
Twitch,4,0,0,36,8,0.0,0.22,0.0,9.0,2.0
Chogath,6,6,48,36,72,100.0,3.33,8.0,6.0,12.0
Morgana,6,6,64,58,88,100.0,2.62,10.67,9.67,14.67
Ezreal,14,14,154,42,196,100.0,8.33,11.0,3.0,14.0
Ziggs,8,8,88,72,48,100.0,1.89,11.0,9.0,6.0
Viego,2,0,2,4,4,0.0,1.5,1.0,2.0,2.0
Dr. Mundo,2,2,18,28,16,100.0,1.21,9.0,14.0,8.0
VelKoz,2,0,14,18,10,0.0,1.33,7.0,9.0,5.0
Mordekaiser,2,2,20,8,14,100.0,4.25,10.0,4.0,7.0
Ornn,2,2,22,2,10,100.0,16.0,11.0,1.0,5.0
