opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ambessa,18,8,116,72,76,44.44,2.67,6.44,4.0,4.22
Rengar,4,0,32,36,8,0.0,1.11,8.0,9.0,2.0
Yone,2,2,16,12,24,100.0,3.33,8.0,6.0,12.0
Teemo,14,12,68,42,76,85.71,3.43,4.86,3.0,5.43
Jax,6,2,18,40,30,33.33,1.2,3.0,6.67,5.0
Yasuo,10,4,42,54,102,40.0,2.67,4.2,5.4,10.2
Nidalee,2,2,6,6,14,100.0,3.33,3.0,3.0,7.0
Jayce,2,0,8,20,4,0.0,0.6,4.0,10.0,2.0
KSante,4,0,56,24,68,0.0,5.17,14.0,6.0,17.0
Darius,2,0,20,14,28,0.0,3.43,10.0,7.0,14.0
Corki,2,2,18,4,14,100.0,8.0,9.0,2.0,7.0
Dr. Mundo,2,0,6,12,6,0.0,1.0,3.0,6.0,3.0
Riven,18,12,44,120,186,66.67,1.92,2.44,6.67,10.33
Seraphine,6,0,48,36,30,0.0,2.17,8.0,6.0,5.0
Akali,4,4,16,4,16,100.0,8.0,4.0,1.0,4.0
Olaf,14,0,14,70,28,0.0,0.6,1.0,5.0,2.0
Quinn,4,0,12,32,8,0.0,0.62,3.0,8.0,2.0
Gwen,2,2,8,24,16,100.0,1.0,4.0,12.0,8.0
Renekton,6,0,12,36,18,0.0,0.83,2.0,6.0,3.0
Aurora,4,0,24,20,24,0.0,2.4,6.0,5.0,6.0
