opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Jax,378,158,1770,1624,1570,41.8,2.06,4.68,4.3,4.15
Nidalee,58,44,252,246,330,75.86,2.37,4.34,4.24,5.69
Jayce,268,136,1482,1168,1256,50.75,2.34,5.53,4.36,4.69
Ornn,186,70,668,700,550,37.63,1.74,3.59,3.76,2.96
Shen,208,116,954,876,800,55.77,2.0,4.59,4.21,3.85
Soraka,6,6,24,12,36,100.0,5.0,4.0,2.0,6.0
Urgot,100,54,456,498,592,54.0,2.1,4.56,4.98,5.92
Kennen,134,42,558,666,470,31.34,1.54,4.16,4.97,3.51
Yorick,152,52,496,672,604,34.21,1.64,3.26,4.42,3.97
Renekton,122,58,548,480,500,47.54,2.18,4.49,3.93,4.1
Chogath,168,98,708,770,736,58.33,1.88,4.21,4.58,4.38
Irelia,154,90,768,798,624,58.44,1.74,4.99,5.18,4.05
Gwen,272,108,1100,1172,1178,39.71,1.94,4.04,4.31,4.33
KSante,190,134,884,722,1028,70.53,2.65,4.65,3.8,5.41
Sett,86,40,546,436,426,46.51,2.23,6.35,5.07,4.95
Aatrox,322,158,1278,1536,1450,49.07,1.78,3.97,4.77,4.5
Poppy,30,16,162,100,176,53.33,3.38,5.4,3.33,5.87
Riven,180,72,740,970,850,40.0,1.64,4.11,5.39,4.72
Yone,78,52,410,254,352,66.67,3.0,5.26,3.26,4.51
Ryze,212,116,1136,1066,1086,54.72,2.08,5.36,5.03,5.12
Swain,24,18,192,208,252,75.0,2.13,8.0,8.67,10.5
Heimerdinger,56,26,352,250,164,46.43,2.06,6.29,4.46,2.93
Ambessa,328,132,1574,1804,1860,40.24,1.9,4.8,5.5,5.67
Gragas,178,90,584,720,670,50.56,1.74,3.28,4.04,3.76
Gangplank,110,68,622,484,608,61.82,2.54,5.65,4.4,5.53
Nasus,104,60,452,368,450,57.69,2.45,4.35,3.54,4.33
Ivern,24,4,84,94,38,16.67,1.3,3.5,3.92,1.58
Teemo,100,24,468,522,308,24.0,1.49,4.68,5.22,3.08
Yasuo,110,56,712,528,500,50.91,2.3,6.47,4.8,4.55
Sion,230,120,982,1122,1142,52.17,1.89,4.27,4.88,4.97
Illaoi,14,4,38,92,66,28.57,1.13,2.71,6.57,4.71
Yunara,20,10,70,96,84,50.0,1.6,3.5,4.8,4.2
Orianna,12,8,68,54,76,66.67,2.67,5.67,4.5,6.33
Rengar,18,14,128,74,140,77.78,3.62,7.11,4.11,7.78
Camille,94,42,332,472,408,44.68,1.57,3.53,5.02,4.34
Malzahar,16,14,126,74,156,87.5,3.81,7.88,4.62,9.75
Rammus,8,4,56,20,64,50.0,6.0,7.0,2.5,8.0
Gnar,138,74,684,584,638,53.62,2.26,4.96,4.23,4.62
Quinn,62,24,374,284,226,38.71,2.11,6.03,4.58,3.65
Dr. Mundo,126,50,644,564,556,39.68,2.13,5.11,4.48,4.41
Rumble,98,62,412,386,380,63.27,2.05,4.2,3.94,3.88
Akali,54,38,232,246,278,70.37,2.07,4.3,4.56,5.15
Veigar,14,0,36,90,50,0.0,0.96,2.57,6.43,3.57
Karma,32,0,108,136,134,0.0,1.78,3.38,4.25,4.19
Aurora,104,54,416,452,562,51.92,2.16,4.0,4.35,5.4
Kassadin,20,10,84,68,72,50.0,2.29,4.2,3.4,3.6
