opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Qiyana,16,0,80,96,16,0.0,1.0,5.0,6.0,1.0
Sylas,22,8,106,98,62,36.36,1.71,4.82,4.45,2.82
Chogath,2,0,0,2,0,0.0,0.0,0.0,1.0,0.0
Viktor,4,4,26,16,20,100.0,2.88,6.5,4.0,5.0
Vladimir,14,6,54,52,96,42.86,2.88,3.86,3.71,6.86
Ambessa,6,0,8,32,32,0.0,1.25,1.33,5.33,5.33
Syndra,4,0,4,4,8,0.0,3.0,1.0,1.0,2.0
Lee Sin,4,4,24,16,60,100.0,5.25,6.0,4.0,15.0
Jax,6,6,18,30,30,100.0,1.6,3.0,5.0,5.0
Irelia,2,2,12,2,12,100.0,12.0,6.0,1.0,6.0
Twisted Fate,2,2,22,6,22,100.0,7.33,11.0,3.0,11.0
Tryndamere,4,0,0,20,4,0.0,0.2,0.0,5.0,1.0
Akali,2,0,4,20,16,0.0,1.0,2.0,10.0,8.0
LeBlanc,4,4,0,12,4,100.0,0.33,0.0,3.0,1.0
Galio,2,0,4,18,10,0.0,0.78,2.0,9.0,5.0
Vayne,4,4,28,4,28,100.0,14.0,7.0,1.0,7.0
Yunara,14,0,84,56,70,0.0,2.75,6.0,4.0,5.0
Zoe,6,6,24,6,30,100.0,9.0,4.0,1.0,5.0
Taliyah,4,0,24,44,12,0.0,0.82,6.0,11.0,3.0
Diana,6,0,28,30,14,0.0,1.4,4.67,5.0,2.33
Fizz,2,2,16,6,24,100.0,6.67,8.0,3.0,12.0
Darius,2,2,18,14,26,100.0,3.14,9.0,7.0,13.0
