opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Jax,206,66,520,1102,616,32.04,1.03,2.52,5.35,2.99
Riven,232,124,896,1232,1358,53.45,1.83,3.86,5.31,5.85
Azir,12,6,66,78,78,50.0,1.85,5.5,6.5,6.5
Ambessa,308,114,1348,1958,1478,37.01,1.44,4.38,6.36,4.8
Yasuo,70,20,380,422,348,28.57,1.73,5.43,6.03,4.97
Aatrox,214,116,688,1110,958,54.21,1.48,3.21,5.19,4.48
Gwen,122,36,468,658,522,29.51,1.5,3.84,5.39,4.28
Chogath,26,10,98,138,114,38.46,1.54,3.77,5.31,4.38
Gragas,80,14,152,382,236,17.5,1.02,1.9,4.78,2.95
Yone,60,28,272,350,328,46.67,1.71,4.53,5.83,5.47
Ornn,78,50,346,372,360,64.1,1.9,4.44,4.77,4.62
Akali,54,36,272,256,248,66.67,2.03,5.04,4.74,4.59
Nasus,38,18,188,190,174,47.37,1.91,4.95,5.0,4.58
Aurora,32,4,188,252,196,12.5,1.52,5.88,7.88,6.12
Jayce,90,40,440,462,448,44.44,1.92,4.89,5.13,4.98
Sion,64,26,286,376,242,40.62,1.4,4.47,5.88,3.78
Fiora,70,34,252,388,358,48.57,1.57,3.6,5.54,5.11
Gnar,126,68,550,734,716,53.97,1.72,4.37,5.83,5.68
Warwick,28,6,108,218,146,21.43,1.17,3.86,7.79,5.21
Irelia,78,50,468,452,468,64.1,2.07,6.0,5.79,6.0
Urgot,56,18,130,370,276,32.14,1.1,2.32,6.61,4.93
Poppy,28,12,98,158,192,42.86,1.84,3.5,5.64,6.86
Pantheon,78,44,436,376,438,56.41,2.32,5.59,4.82,5.62
Dr. Mundo,92,42,324,590,418,45.65,1.26,3.52,6.41,4.54
Renekton,102,28,332,556,378,27.45,1.28,3.25,5.45,3.71
KSante,120,44,380,666,280,36.67,0.99,3.17,5.55,2.33
Yorick,60,32,252,364,194,53.33,1.23,4.2,6.07,3.23
Heimerdinger,16,6,68,124,46,37.5,0.92,4.25,7.75,2.88
Galio,8,8,32,24,32,100.0,2.67,4.0,3.0,4.0
Rumble,28,12,90,188,118,42.86,1.11,3.21,6.71,4.21
Vladimir,58,40,364,306,308,68.97,2.2,6.28,5.28,5.31
Kayle,26,8,84,148,92,30.77,1.19,3.23,5.69,3.54
Darius,62,48,412,402,310,77.42,1.8,6.65,6.48,5.0
Rengar,6,0,4,20,0,0.0,0.2,0.67,3.33,0.0
Kennen,54,16,198,352,228,29.63,1.21,3.67,6.52,4.22
Rammus,6,6,12,0,24,100.0,36.0,2.0,0.0,4.0
Corki,8,8,16,40,88,100.0,2.6,2.0,5.0,11.0
Teemo,38,18,126,234,210,47.37,1.44,3.32,6.16,5.53
Anivia,4,0,8,24,0,0.0,0.33,2.0,6.0,0.0
Camille,58,36,304,308,376,62.07,2.21,5.24,5.31,6.48
Mordekaiser,64,16,260,380,186,25.0,1.17,4.06,5.94,2.91
Ryze,46,30,190,260,256,65.22,1.72,4.13,5.65,5.57
Olaf,20,14,108,124,78,70.0,1.5,5.4,6.2,3.9
Kled,60,44,282,252,296,73.33,2.29,4.7,4.2,4.93
Singed,42,16,178,192,128,38.1,1.59,4.24,4.57,3.05
Briar,6,6,54,18,46,100.0,5.56,9.0,3.0,7.67
Garen,102,62,596,592,650,60.78,2.1,5.84,5.8,6.37
Sett,100,38,480,702,546,38.0,1.46,4.8,7.02,5.46
Wukong,8,2,42,44,28,25.0,1.59,5.25,5.5,3.5
Udyr,66,42,142,464,334,63.64,1.03,2.15,7.03,5.06
Zac,14,8,60,60,38,57.14,1.63,4.29,4.29,2.71
Vayne,14,2,38,112,52,14.29,0.8,2.71,8.0,3.71
Quinn,22,2,76,112,120,9.09,1.75,3.45,5.09,5.45
Nocturne,4,2,38,30,16,50.0,1.8,9.5,7.5,4.0
Ekko,8,8,34,60,52,100.0,1.43,4.25,7.5,6.5
Brand,8,0,32,64,48,0.0,1.25,4.0,8.0,6.0
Shen,46,14,194,298,168,30.43,1.21,4.22,6.48,3.65
Malphite,8,4,28,42,56,50.0,2.0,3.5,5.25,7.0
Lulu,6,2,52,34,26,33.33,2.29,8.67,5.67,4.33
Neeko,2,0,6,4,2,0.0,2.0,3.0,2.0,1.0
Qiyana,4,0,6,28,12,0.0,0.64,1.5,7.0,3.0
Caitlyn,2,0,8,20,10,0.0,0.9,4.0,10.0,5.0
Varus,26,22,162,162,110,84.62,1.68,6.23,6.23,4.23
Jarvan Iv,2,0,4,12,2,0.0,0.5,2.0,6.0,1.0
Tahm Kench,22,14,34,90,110,63.64,1.6,1.55,4.09,5.0
Reksai,2,0,0,12,6,0.0,0.5,0.0,6.0,3.0
Zed,10,4,34,32,38,40.0,2.25,3.4,3.2,3.8
Gangplank,76,36,260,392,390,47.37,1.66,3.42,5.16,5.13
Annie,14,14,14,84,98,100.0,1.33,1.0,6.0,7.0
Nidalee,12,10,86,62,60,83.33,2.35,7.17,5.17,5.0
Tryndamere,64,24,206,318,302,37.5,1.6,3.22,4.97,4.72
Ahri,4,0,12,36,4,0.0,0.44,3.0,9.0,1.0
Vi,8,0,10,74,36,0.0,0.62,1.25,9.25,4.5
Naafiri,12,0,36,48,0,0.0,0.75,3.0,4.0,0.0
Akshan,4,0,12,28,36,0.0,1.71,3.0,7.0,9.0
Viktor,2,0,20,14,10,0.0,2.14,10.0,7.0,5.0
Karma,4,0,6,18,4,0.0,0.56,1.5,4.5,1.0
Kindred,2,2,12,30,30,100.0,1.4,6.0,15.0,15.0
Trundle,20,4,68,98,56,20.0,1.27,3.4,4.9,2.8
Maokai,4,4,24,28,48,100.0,2.57,6.0,7.0,12.0
Sylas,10,4,44,54,54,40.0,1.81,4.4,5.4,5.4
Illaoi,22,20,148,150,166,90.91,2.09,6.73,6.82,7.55
Zilean,2,2,16,10,10,100.0,2.6,8.0,5.0,5.0
Graves,2,2,12,2,12,100.0,12.0,6.0,1.0,6.0
Smolder,2,2,12,12,20,100.0,2.67,6.0,6.0,10.0
Twisted Fate,4,0,16,20,40,0.0,2.8,4.0,5.0,10.0
Katarina,10,10,50,70,120,100.0,2.43,5.0,7.0,12.0
Malzahar,8,8,48,32,48,100.0,3.0,6.0,4.0,6.0
Elise,4,0,8,28,20,0.0,1.0,2.0,7.0,5.0
Fiddlesticks,2,0,2,10,14,0.0,1.6,1.0,5.0,7.0
