opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Leona,4,0,12,44,44,0.0,1.27,3.0,11.0,11.0
Zilean,6,0,12,54,24,0.0,0.67,2.0,9.0,4.0
Rakan,4,2,22,32,56,50.0,2.44,5.5,8.0,14.0
Karma,2,2,2,12,12,100.0,1.17,1.0,6.0,6.0
Bard,2,0,8,16,10,0.0,1.12,4.0,8.0,5.0
Pyke,4,2,28,26,34,50.0,2.38,7.0,6.5,8.5
Soraka,4,2,22,24,30,50.0,2.17,5.5,6.0,7.5
Nautilus,2,0,2,16,6,0.0,0.5,1.0,8.0,3.0
Warwick,2,2,16,6,18,100.0,5.67,8.0,3.0,9.0
Braum,2,2,28,20,34,100.0,3.1,14.0,10.0,17.0
