opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Zyra,58,8,222,262,254,13.79,1.82,3.83,4.52,4.38
Ezreal,454,222,2526,2320,2738,48.9,2.27,5.56,5.11,6.03
Corki,432,188,2486,2420,2756,43.52,2.17,5.75,5.6,6.38
Varus,284,160,1666,1506,1942,56.34,2.4,5.87,5.3,6.84
Tristana,468,200,2400,2530,2606,42.74,1.98,5.13,5.41,5.57
Twitch,158,80,1156,1036,1072,50.63,2.15,7.32,6.56,6.78
Kaisa,1424,784,9246,7258,9406,55.06,2.57,6.49,5.1,6.61
Kalista,104,46,646,666,824,44.23,2.21,6.21,6.4,7.92
Smolder,238,134,1522,1056,1726,56.3,3.08,6.39,4.44,7.25
Lucian,706,362,4352,3700,4626,51.27,2.43,6.16,5.24,6.55
Sivir,352,148,1730,1684,2008,42.05,2.22,4.91,4.78,5.7
Zeri,332,180,2058,1714,2068,54.22,2.41,6.2,5.16,6.23
Nilah,102,56,674,500,698,54.9,2.74,6.61,4.9,6.84
Caitlyn,240,98,1394,1270,1482,40.83,2.26,5.81,5.29,6.17
Jhin,454,176,2790,2600,2772,38.77,2.14,6.15,5.73,6.11
Yunara,312,186,1904,1432,2024,59.62,2.74,6.1,4.59,6.49
Ziggs,92,46,536,402,568,50.0,2.75,5.83,4.37,6.17
Neeko,10,0,132,60,104,0.0,3.93,13.2,6.0,10.4
Yasuo,108,52,464,616,984,48.15,2.35,4.3,5.7,9.11
Aphelios,232,116,1824,1204,1726,50.0,2.95,7.86,5.19,7.44
Senna,290,128,1538,1474,1884,44.14,2.32,5.3,5.08,6.5
Lux,24,14,92,106,132,58.33,2.11,3.83,4.42,5.5
Akshan,10,6,70,48,40,60.0,2.29,7.0,4.8,4.0
Vayne,172,74,1264,884,1228,43.02,2.82,7.35,5.14,7.14
Miss Fortune,192,96,1008,1018,1124,50.0,2.09,5.25,5.3,5.85
KogMaw,60,12,386,402,312,20.0,1.74,6.43,6.7,5.2
Mel,114,54,832,630,574,47.37,2.23,7.3,5.53,5.04
Azir,4,0,12,28,12,0.0,0.86,3.0,7.0,3.0
Jinx,288,138,1650,1594,1646,47.92,2.07,5.73,5.53,5.72
Annie,8,8,20,32,68,100.0,2.75,2.5,4.0,8.5
Draven,66,36,410,378,560,54.55,2.57,6.21,5.73,8.48
Hwei,70,52,496,306,440,74.29,3.06,7.09,4.37,6.29
Urgot,8,6,42,54,66,75.0,2.0,5.25,6.75,8.25
Samira,134,80,906,646,920,59.7,2.83,6.76,4.82,6.87
Swain,46,22,256,330,330,47.83,1.78,5.57,7.17,7.17
Karthus,70,30,554,498,490,42.86,2.1,7.91,7.11,7.0
Sona,4,0,44,20,20,0.0,3.2,11.0,5.0,5.0
Viktor,16,0,164,104,92,0.0,2.46,10.25,6.5,5.75
Orianna,2,0,8,10,6,0.0,1.4,4.0,5.0,3.0
Syndra,26,12,134,102,120,46.15,2.49,5.15,3.92,4.62
Seraphine,20,14,108,84,148,70.0,3.05,5.4,4.2,7.4
Ashe,148,82,812,594,730,55.41,2.6,5.49,4.01,4.93
Ornn,2,2,16,10,24,100.0,4.0,8.0,5.0,12.0
Irelia,2,0,28,12,14,0.0,3.5,14.0,6.0,7.0
Brand,6,0,54,48,58,0.0,2.33,9.0,8.0,9.67
Anivia,10,10,110,50,30,100.0,2.8,11.0,5.0,3.0
Aurelion Sol,22,12,112,114,150,54.55,2.3,5.09,5.18,6.82
Veigar,22,0,28,110,38,0.0,0.6,1.27,5.0,1.73
Fiddlesticks,2,0,12,12,18,0.0,2.5,6.0,6.0,9.0
Chogath,10,10,60,10,70,100.0,13.0,6.0,1.0,7.0
Taliyah,2,0,4,8,6,0.0,1.25,2.0,4.0,3.0
Yorick,2,2,6,8,16,100.0,2.75,3.0,4.0,8.0
Morgana,2,0,16,14,10,0.0,1.86,8.0,7.0,5.0
Singed,4,0,0,12,0,0.0,0.0,0.0,3.0,0.0
Zilean,10,0,110,40,80,0.0,4.75,11.0,4.0,8.0
Kayle,18,18,234,108,108,100.0,3.17,13.0,6.0,6.0
Vladimir,16,14,158,52,90,87.5,4.77,9.88,3.25,5.62
Fiora,4,2,30,18,24,50.0,3.0,7.5,4.5,6.0
Malzahar,2,0,4,4,4,0.0,2.0,2.0,2.0,2.0
Rengar,2,2,10,6,8,100.0,3.0,5.0,3.0,4.0
Katarina,2,2,12,8,6,100.0,2.25,6.0,4.0,3.0
