opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Ziggs,24,14,192,116,352,58.33,4.69,8.0,4.83,14.67
Vayne,12,10,86,36,114,83.33,5.56,7.17,3.0,9.5
Draven,14,6,116,72,168,42.86,3.94,8.29,5.14,12.0
Aphelios,20,10,88,80,180,50.0,3.35,4.4,4.0,9.0
Jhin,22,14,138,76,174,63.64,4.11,6.27,3.45,7.91
Syndra,2,0,2,10,8,0.0,1.0,1.0,5.0,4.0
Hwei,4,4,22,14,24,100.0,3.29,5.5,3.5,6.0
Twitch,6,0,72,42,66,0.0,3.29,12.0,7.0,11.0
Lux,6,4,32,54,68,66.67,1.85,5.33,9.0,11.33
Mel,8,0,16,48,24,0.0,0.83,2.0,6.0,3.0
Caitlyn,10,0,50,24,38,0.0,3.67,5.0,2.4,3.8
Zyra,6,2,40,20,24,33.33,3.2,6.67,3.33,4.0
Sivir,10,4,58,40,66,40.0,3.1,5.8,4.0,6.6
Yunara,10,4,30,30,62,40.0,3.07,3.0,3.0,6.2
Corki,6,0,40,40,78,0.0,2.95,6.67,6.67,13.0
Varus,6,0,30,28,40,0.0,2.5,5.0,4.67,6.67
Jinx,8,6,34,18,44,75.0,4.33,4.25,2.25,5.5
Ezreal,30,26,188,54,264,86.67,8.37,6.27,1.8,8.8
Karthus,6,2,38,26,58,33.33,3.69,6.33,4.33,9.67
Viktor,2,2,18,10,24,100.0,4.2,9.0,5.0,12.0
Smolder,4,2,34,0,16,50.0,50.0,8.5,0.0,4.0
Samira,6,4,24,50,70,66.67,1.88,4.0,8.33,11.67
Kaisa,20,10,72,100,304,50.0,3.76,3.6,5.0,15.2
Miss Fortune,16,16,112,48,208,100.0,6.67,7.0,3.0,13.0
Tristana,20,16,130,56,234,80.0,6.5,6.5,2.8,11.7
Ashe,4,4,12,4,30,100.0,10.5,3.0,1.0,7.5
Yasuo,10,10,26,24,92,100.0,4.92,2.6,2.4,9.2
Nilah,2,2,8,2,26,100.0,17.0,4.0,1.0,13.0
Senna,12,2,60,56,90,16.67,2.68,5.0,4.67,7.5
Zeri,2,2,14,4,6,100.0,5.0,7.0,2.0,3.0
