opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Zoe,12,0,38,74,70,0.0,1.46,3.17,6.17,5.83
Xin Zhao,2,2,16,14,18,100.0,2.43,8.0,7.0,9.0
Quinn,4,0,20,24,4,0.0,1.0,5.0,6.0,1.0
Syndra,10,4,40,54,22,40.0,1.15,4.0,5.4,2.2
Twisted Fate,26,10,140,110,106,38.46,2.24,5.38,4.23,4.08
Zeri,2,0,0,10,4,0.0,0.4,0.0,5.0,2.0
Kayle,10,4,32,52,32,40.0,1.23,3.2,5.2,3.2
Jayce,16,12,24,26,30,75.0,2.08,1.5,1.62,1.88
Lux,14,4,16,32,42,28.57,1.81,1.14,2.29,3.0
Yone,8,0,50,42,56,0.0,2.52,6.25,5.25,7.0
Kalista,4,0,0,8,8,0.0,1.0,0.0,2.0,2.0
Yasuo,6,6,36,24,96,100.0,5.5,6.0,4.0,16.0
Rumble,4,0,16,32,16,0.0,1.0,4.0,8.0,4.0
Ryze,18,0,10,92,38,0.0,0.52,0.56,5.11,2.11
Katarina,18,0,38,134,18,0.0,0.42,2.11,7.44,1.0
Galio,20,20,170,54,116,100.0,5.3,8.5,2.7,5.8
Sylas,26,8,120,172,132,30.77,1.47,4.62,6.62,5.08
Yunara,4,4,32,44,52,100.0,1.91,8.0,11.0,13.0
Aurora,16,6,72,112,116,37.5,1.68,4.5,7.0,7.25
Zed,8,8,32,46,84,100.0,2.52,4.0,5.75,10.5
Mel,10,0,38,42,28,0.0,1.57,3.8,4.2,2.8
Ahri,10,6,54,66,44,60.0,1.48,5.4,6.6,4.4
Kassadin,10,0,10,60,30,0.0,0.67,1.0,6.0,3.0
Jax,6,0,54,30,54,0.0,3.6,9.0,5.0,9.0
Anivia,8,6,32,22,30,75.0,2.82,4.0,2.75,3.75
Lissandra,4,4,24,4,20,100.0,11.0,6.0,1.0,5.0
Taliyah,14,8,26,44,36,57.14,1.41,1.86,3.14,2.57
Smolder,6,4,8,38,22,66.67,0.79,1.33,6.33,3.67
Heimerdinger,4,4,20,8,16,100.0,4.5,5.0,2.0,4.0
Sivir,4,4,36,16,28,100.0,4.0,9.0,4.0,7.0
Seraphine,2,2,8,10,8,100.0,1.6,4.0,5.0,4.0
Irelia,4,0,16,32,36,0.0,1.62,4.0,8.0,9.0
Fizz,4,0,24,20,12,0.0,1.8,6.0,5.0,3.0
Twitch,8,8,80,64,64,100.0,2.25,10.0,8.0,8.0
Ambessa,14,0,94,100,40,0.0,1.34,6.71,7.14,2.86
Diana,2,0,14,16,2,0.0,1.0,7.0,8.0,1.0
Vayne,2,2,4,6,8,100.0,2.0,2.0,3.0,4.0
Azir,2,2,22,6,6,100.0,4.67,11.0,3.0,3.0
Darius,8,8,40,32,32,100.0,2.25,5.0,4.0,4.0
Dr. Mundo,2,2,24,10,20,100.0,4.4,12.0,5.0,10.0
