opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Orianna,74,26,316,482,482,35.14,1.66,4.27,6.51,6.51
Syndra,56,20,120,290,378,35.71,1.72,2.14,5.18,6.75
LeBlanc,24,2,58,152,102,8.33,1.05,2.42,6.33,4.25
Sylas,74,44,306,408,654,59.46,2.35,4.14,5.51,8.84
Diana,8,4,16,60,68,50.0,1.4,2.0,7.5,8.5
Tristana,16,16,84,34,148,100.0,6.82,5.25,2.12,9.25
Smolder,34,14,112,192,298,41.18,2.14,3.29,5.65,8.76
Zed,56,32,330,232,408,57.14,3.18,5.89,4.14,7.29
Seraphine,12,12,48,50,192,100.0,4.8,4.0,4.17,16.0
Yone,92,34,500,398,810,36.96,3.29,5.43,4.33,8.8
Neeko,12,8,44,36,80,66.67,3.44,3.67,3.0,6.67
Ahri,52,22,186,260,352,42.31,2.07,3.58,5.0,6.77
Akali,48,28,274,196,358,58.33,3.22,5.71,4.08,7.46
Azir,66,30,232,314,564,45.45,2.54,3.52,4.76,8.55
Kayle,6,6,22,26,78,100.0,3.85,3.67,4.33,13.0
Kassadin,22,22,138,62,308,100.0,7.19,6.27,2.82,14.0
Cassiopeia,8,0,36,66,94,0.0,1.97,4.5,8.25,11.75
Akshan,28,10,200,120,216,35.71,3.47,7.14,4.29,7.71
Twisted Fate,46,40,168,114,376,86.96,4.77,3.65,2.48,8.17
Ekko,68,26,282,382,622,38.24,2.37,4.15,5.62,9.15
Taliyah,84,34,492,528,642,40.48,2.15,5.86,6.29,7.64
Galio,44,18,216,202,264,40.91,2.38,4.91,4.59,6.0
Shen,4,4,8,8,48,100.0,7.0,2.0,2.0,12.0
Corki,24,20,112,94,296,83.33,4.34,4.67,3.92,12.33
Anivia,38,20,194,74,314,52.63,6.86,5.11,1.95,8.26
Aurora,48,16,190,324,368,33.33,1.72,3.96,6.75,7.67
Hwei,18,4,66,92,126,22.22,2.09,3.67,5.11,7.0
Talon,18,6,90,118,150,33.33,2.03,5.0,6.56,8.33
Irelia,18,12,128,64,170,66.67,4.66,7.11,3.56,9.44
Ambessa,6,0,34,32,44,0.0,2.44,5.67,5.33,7.33
Vayne,2,0,2,10,2,0.0,0.4,1.0,5.0,1.0
Viktor,36,22,196,130,268,61.11,3.57,5.44,3.61,7.44
Vladimir,48,6,280,262,336,12.5,2.35,5.83,5.46,7.0
Chogath,12,10,32,98,160,83.33,1.96,2.67,8.17,13.33
Pantheon,12,10,82,70,144,83.33,3.23,6.83,5.83,12.0
Xerath,12,10,62,38,98,83.33,4.21,5.17,3.17,8.17
