opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Viktor,348,150,2412,1722,1682,43.1,2.38,6.93,4.95,4.83
Naafiri,84,50,586,344,338,59.52,2.69,6.98,4.1,4.02
Ryze,330,200,2680,1420,1636,60.61,3.04,8.12,4.3,4.96
Aurelion Sol,106,48,934,500,482,45.28,2.83,8.81,4.72,4.55
Katarina,350,148,2184,1992,1730,42.29,1.96,6.24,5.69,4.94
Sylas,662,346,4680,3642,3702,52.27,2.3,7.07,5.5,5.59
Galio,278,140,1786,1242,1326,50.36,2.51,6.42,4.47,4.77
Irelia,180,100,1314,840,1008,55.56,2.76,7.3,4.67,5.6
Jayce,122,80,904,622,720,65.57,2.61,7.41,5.1,5.9
Twisted Fate,330,192,2412,1526,1840,58.18,2.79,7.31,4.62,5.58
Zac,56,24,278,362,270,42.86,1.51,4.96,6.46,4.82
Yasuo,368,158,2396,1934,2030,42.93,2.29,6.51,5.26,5.52
LeBlanc,156,62,888,974,764,39.74,1.7,5.69,6.24,4.9
Sion,44,18,300,222,184,40.91,2.18,6.82,5.05,4.18
Aurora,268,126,1908,1428,1476,47.01,2.37,7.12,5.33,5.51
Cassiopeia,42,34,370,216,190,80.95,2.59,8.81,5.14,4.52
Annie,176,56,1332,982,876,31.82,2.25,7.57,5.58,4.98
Ekko,212,100,1488,1114,1254,47.17,2.46,7.02,5.25,5.92
Lissandra,234,82,1672,1492,1348,35.04,2.02,7.15,6.38,5.76
Lux,330,142,2584,2084,1828,43.03,2.12,7.83,6.32,5.54
Vladimir,256,116,1720,1252,1410,45.31,2.5,6.72,4.89,5.51
Taliyah,356,140,2670,1730,1548,39.33,2.44,7.5,4.86,4.35
Ahri,458,208,3324,2138,2240,45.41,2.6,7.26,4.67,4.89
Lee Sin,26,20,138,118,122,76.92,2.2,5.31,4.54,4.69
Akali,334,136,2232,1958,1496,40.72,1.9,6.68,5.86,4.48
Qiyana,212,78,1612,1440,1152,36.79,1.92,7.6,6.79,5.43
Nunu & Willump,38,30,308,180,262,78.95,3.17,8.11,4.74,6.89
Heimerdinger,38,20,328,168,296,52.63,3.71,8.63,4.42,7.79
Syndra,202,100,1478,1020,998,49.5,2.43,7.32,5.05,4.94
Corki,122,84,744,472,644,68.85,2.94,6.1,3.87,5.28
Orianna,212,98,1500,1186,1096,46.23,2.19,7.08,5.59,5.17
Tryndamere,38,20,294,136,126,52.63,3.09,7.74,3.58,3.32
Zoe,250,80,1356,1408,974,32.0,1.65,5.42,5.63,3.9
Gragas,98,92,818,546,708,93.88,2.79,8.35,5.57,7.22
Nidalee,46,14,400,356,194,30.43,1.67,8.7,7.74,4.22
Ziggs,24,22,228,80,124,91.67,4.4,9.5,3.33,5.17
Talon,90,36,804,504,562,40.0,2.71,8.93,5.6,6.24
Rumble,24,10,180,144,136,41.67,2.19,7.5,6.0,5.67
Veigar,88,46,834,366,390,52.27,3.34,9.48,4.16,4.43
Kindred,12,8,120,60,76,66.67,3.27,10.0,5.0,6.33
Yone,250,146,2116,1102,1250,58.4,3.05,8.46,4.41,5.0
