opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Heimerdinger,4,0,32,32,4,0.0,1.12,8.0,8.0,1.0
Urgot,32,16,210,238,112,50.0,1.35,6.56,7.44,3.5
Ornn,8,0,8,48,8,0.0,0.33,1.0,6.0,1.0
Riven,12,0,60,72,0,0.0,0.83,5.0,6.0,0.0
Gangplank,50,22,288,308,182,44.0,1.53,5.76,6.16,3.64
Darius,16,10,134,100,106,62.5,2.4,8.38,6.25,6.62
Yunara,2,2,12,8,16,100.0,3.5,6.0,4.0,8.0
Olaf,2,0,10,16,8,0.0,1.12,5.0,8.0,4.0
Gnar,4,0,8,20,8,0.0,0.8,2.0,5.0,2.0
Aatrox,20,8,162,156,92,40.0,1.63,8.1,7.8,4.6
Sett,2,0,16,18,6,0.0,1.22,8.0,9.0,3.0
Fiora,12,8,50,74,80,66.67,1.76,4.17,6.17,6.67
Rengar,8,8,48,48,104,100.0,3.17,6.0,6.0,13.0
Irelia,18,8,182,172,224,44.44,2.36,10.11,9.56,12.44
Kled,16,0,32,80,32,0.0,0.8,2.0,5.0,2.0
Camille,4,2,36,24,16,50.0,2.17,9.0,6.0,4.0
Gwen,14,0,120,108,42,0.0,1.5,8.57,7.71,3.0
Dr. Mundo,24,22,168,66,108,91.67,4.18,7.0,2.75,4.5
Ambessa,36,10,284,290,96,27.78,1.31,7.89,8.06,2.67
Shen,8,8,80,50,16,100.0,1.92,10.0,6.25,2.0
Gragas,12,8,48,36,0,66.67,1.33,4.0,3.0,0.0
Jayce,18,16,138,142,100,88.89,1.68,7.67,7.89,5.56
Yasuo,8,0,24,72,16,0.0,0.56,3.0,9.0,2.0
Ekko,8,0,8,72,32,0.0,0.56,1.0,9.0,4.0
Varus,4,0,24,40,12,0.0,0.9,6.0,10.0,3.0
Illaoi,2,2,18,10,18,100.0,3.6,9.0,5.0,9.0
Pantheon,2,0,8,20,10,0.0,0.9,4.0,10.0,5.0
Kayle,2,0,36,14,12,0.0,3.43,18.0,7.0,6.0
Teemo,4,2,20,40,18,50.0,0.95,5.0,10.0,4.5
Mordekaiser,2,2,24,4,12,100.0,9.0,12.0,2.0,6.0
Tryndamere,2,2,8,12,4,100.0,1.0,4.0,6.0,2.0
Warwick,2,2,10,14,6,100.0,1.14,5.0,7.0,3.0
