opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Corki,24,20,62,64,198,83.33,4.06,2.58,2.67,8.25
Orianna,108,46,580,646,728,42.59,2.02,5.37,5.98,6.74
Azir,198,64,838,1092,1110,32.32,1.78,4.23,5.52,5.61
Viktor,74,44,392,312,714,59.46,3.54,5.3,4.22,9.65
Akshan,72,30,272,248,346,41.67,2.49,3.78,3.44,4.81
Aurora,60,12,210,344,326,20.0,1.56,3.5,5.73,5.43
Naafiri,14,0,84,84,126,0.0,2.5,6.0,6.0,9.0
Taliyah,94,54,580,324,510,57.45,3.36,6.17,3.45,5.43
Twisted Fate,74,58,498,246,780,78.38,5.2,6.73,3.32,10.54
Syndra,102,50,660,542,846,49.02,2.78,6.47,5.31,8.29
Sylas,100,56,724,622,1024,56.0,2.81,7.24,6.22,10.24
Qiyana,38,0,90,208,176,0.0,1.28,2.37,5.47,4.63
Karma,16,0,16,80,18,0.0,0.42,1.0,5.0,1.12
Ambessa,20,18,180,56,216,90.0,7.07,9.0,2.8,10.8
Cassiopeia,10,0,30,60,60,0.0,1.5,3.0,6.0,6.0
Zed,24,2,92,170,92,8.33,1.08,3.83,7.08,3.83
Smolder,2,0,10,6,6,0.0,2.67,5.0,3.0,3.0
Veigar,18,8,34,58,84,44.44,2.03,1.89,3.22,4.67
Tristana,34,16,154,170,172,47.06,1.92,4.53,5.0,5.06
Annie,26,4,50,96,82,15.38,1.38,1.92,3.69,3.15
Ekko,10,2,54,44,72,20.0,2.86,5.4,4.4,7.2
Yone,70,20,314,374,558,28.57,2.33,4.49,5.34,7.97
Lux,54,20,208,202,276,37.04,2.4,3.85,3.74,5.11
Kassadin,18,4,96,70,90,22.22,2.66,5.33,3.89,5.0
Fiddlesticks,12,0,24,60,16,0.0,0.67,2.0,5.0,1.33
Katarina,8,2,20,44,18,25.0,0.86,2.5,5.5,2.25
Fizz,20,4,46,106,140,20.0,1.75,2.3,5.3,7.0
Tryndamere,10,6,50,22,74,60.0,5.64,5.0,2.2,7.4
Hwei,36,24,222,128,286,66.67,3.97,6.17,3.56,7.94
Irelia,24,4,88,118,138,16.67,1.92,3.67,4.92,5.75
Akali,28,14,108,134,224,50.0,2.48,3.86,4.79,8.0
VelKoz,8,8,24,8,16,100.0,5.0,3.0,1.0,2.0
Ahri,50,6,94,214,160,12.0,1.19,1.88,4.28,3.2
Malzahar,18,8,80,88,82,44.44,1.84,4.44,4.89,4.56
Sion,4,4,24,16,52,100.0,4.75,6.0,4.0,13.0
Kayle,4,0,20,14,28,0.0,3.43,5.0,3.5,7.0
Lissandra,24,10,140,134,156,41.67,2.21,5.83,5.58,6.5
Aurelion Sol,16,14,162,70,102,87.5,3.77,10.12,4.38,6.38
Ryze,56,10,112,238,188,17.86,1.26,2.0,4.25,3.36
Mel,16,8,70,100,112,50.0,1.82,4.38,6.25,7.0
Yasuo,26,24,52,22,96,92.31,6.73,2.0,0.85,3.69
Vladimir,38,14,120,198,262,36.84,1.93,3.16,5.21,6.89
Nidalee,8,2,70,62,78,25.0,2.39,8.75,7.75,9.75
Gragas,10,0,54,28,42,0.0,3.43,5.4,2.8,4.2
Karthus,6,6,48,42,30,100.0,1.86,8.0,7.0,5.0
Gangplank,4,4,40,24,44,100.0,3.5,10.0,6.0,11.0
LeBlanc,6,4,40,6,24,66.67,10.67,6.67,1.0,4.0
Poppy,2,2,12,2,16,100.0,14.0,6.0,1.0,8.0
Xerath,6,6,40,10,58,100.0,9.8,6.67,1.67,9.67
Galio,50,22,264,242,346,44.0,2.52,5.28,4.84,6.92
KogMaw,2,2,14,4,10,100.0,6.0,7.0,2.0,5.0
Neeko,4,4,12,12,36,100.0,4.0,3.0,3.0,9.0
Kennen,4,4,28,12,24,100.0,4.33,7.0,3.0,6.0
Talon,4,0,12,32,20,0.0,1.0,3.0,8.0,5.0
Swain,2,2,2,2,6,100.0,4.0,1.0,1.0,3.0
Anivia,4,0,8,24,8,0.0,0.67,2.0,6.0,2.0
Shaco,12,12,36,12,0,100.0,3.0,3.0,1.0,0.0
Zoe,10,6,66,56,104,60.0,3.04,6.6,5.6,10.4
Vex,8,0,48,56,72,0.0,2.14,6.0,7.0,9.0
Chogath,2,0,22,20,12,0.0,1.7,11.0,10.0,6.0
Malphite,2,0,12,22,2,0.0,0.64,6.0,11.0,1.0
Gwen,2,0,4,10,26,0.0,3.0,2.0,5.0,13.0
Yunara,2,0,6,14,4,0.0,0.71,3.0,7.0,2.0
Jayce,20,20,40,70,260,100.0,4.29,2.0,3.5,13.0
KSante,4,0,16,16,32,0.0,3.0,4.0,4.0,8.0
Zilean,4,0,0,20,12,0.0,0.6,0.0,5.0,3.0
Heimerdinger,2,2,24,6,22,100.0,7.67,12.0,3.0,11.0
