champion1,champion2,champion3,games,wins,win_rate
Vi,Pantheon,Syndra,5,0,0.0
Wukong,Milio,Annie,12,12,100.0
Viego,Neeko,Orianna,15,14,93.33
Jarvan IV,Thresh,Galio,19,6,31.58
Ambessa,Shen,Taliyah,9,0,0.0
Jax,Neeko,Azir,10,10,100.0
Gwen,Rell,Corki,13,12,92.31
Tryndamere,Poppy,Annie,10,0,0.0
Ambessa,Nautilus,Renekton,10,10,100.0
Skarner,Braum,Viktor,26,8,30.77
Pantheon,Bard,Lux,15,0,0.0
Trundle,Alistar,Ryze,32,10,31.25
Zyra,Nunu & Willump,Riven,1,1,100.0
Lee Sin,Nami,Taliyah,21,12,57.14
Gwen,Braum,Caitlyn,1,1,100.0
Lee Sin,Rakan,Viktor,23,16,69.57
Volibear,Nunu & Willump,Riven,3,0,0.0
Jarvan IV,Trundle,Twisted Fate,6,5,83.33
Poppy,Cassiopeia,Ambessa,2,0,0.0
Udyr,Seraphine,Riven,2,2,100.0
Pantheon,Zilean,Annie,5,0,0.0
Jarvan IV,Janna,Orianna,33,27,81.82
Zed,Leona,Aurora,19,18,94.74
Ekko,Alistar,Yone,35,15,42.86
Xin Zhao,Sona,Corki,17,8,47.06
Jax,Zyra,Ziggs,7,7,100.0
Lee Sin,Braum,Sylas,42,20,47.62
Jarvan IV,Alistar,Galio,47,29,61.7
Jarvan IV,Janna,Galio,12,11,91.67
Hecarim,Alistar,Corki,10,0,0.0
Reksai,Alistar,Sylas,14,14,100.0
Zed,Bard,Cassiopeia,8,0,0.0
Belveth,Rakan,Ryze,17,9,52.94
Ekko,Poppy,Riven,5,5,100.0
Master Yi,Camille,Morgana,5,0,0.0
Viego,Karma,Aurora,43,11,25.58
Wukong,Alistar,Aurora,31,22,70.97
Pantheon,Nami,Lux,29,8,27.59
Vi,Bard,Lux,15,14,93.33
Mordekaiser,Leona,Morgana,10,0,0.0
Mordekaiser,Rell,Yasuo,10,10,100.0
Ambessa,Braum,Lux,10,0,0.0
Pantheon,Thresh,Taliyah,72,52,72.22
Hecarim,Bard,Orianna,20,11,55.0
Xin Zhao,Bard,Azir,50,14,28.0
Jarvan IV,Rakan,Sylas,37,23,62.16
Vi,Rell,Yone,29,9,31.03
Ambessa,Braum,Azir,9,9,100.0
