champion1,champion2,games,wins,win_rate
Rumble,Vi,210,82,39.05
Ornn,Wukong,134,68,50.75
Riven,Viego,449,251,55.9
Aurora,Jarvan IV,228,101,44.3
Gwen,Ambessa,85,47,55.29
Kayle,Jax,20,17,85.0
Malphite,Gwen,41,32,78.05
Aatrox,Tryndamere,10,0,0.0
Rumble,Ambessa,37,23,62.16
Yasuo,Skarner,37,10,27.03
Ambessa,Pantheon,723,375,51.87
Tryndamere,Trundle,39,32,82.05
Fiora,Zyra,26,19,73.08
Chogath,Lee Sin,184,104,56.52
Riven,Gwen,110,66,60.0
Jayce,Lee Sin,490,283,57.76
Gangplank,Volibear,135,63,46.67
Pantheon,Jarvan IV,82,50,60.98
Gragas,Poppy,99,57,57.58
Jax,Udyr,209,123,58.85
Vayne,Pantheon,82,33,40.24
Ambessa,Jarvan IV,651,334,51.31
Rumble,Zed,193,94,48.7
Nidalee,Ekko,32,16,50.0
Rumble,Xin Zhao,169,61,36.09
Riven,Jax,56,43,76.79
Gwen,Lee Sin,513,223,43.47
Jayce,Jarvan IV,416,215,51.68
Riven,Hecarim,205,117,57.07
Ambessa,Reksai,67,22,32.84
Nidalee,Zed,37,19,51.35
Jayce,Belveth,106,55,51.89
Ambessa,Ekko,420,203,48.33
Gwen,Master Yi,168,91,54.17
Volibear,Wukong,63,34,53.97
Jax,Pantheon,558,302,54.12
Vayne,Vi,51,22,43.14
Camille,Mordekaiser,14,1,7.14
Riven,Mordekaiser,28,21,75.0
Sion,Ambessa,26,11,42.31
Nidalee,Pantheon,68,39,57.35
Neeko,Hecarim,20,7,35.0
Volibear,Xin Zhao,95,43,45.26
Riven,Jarvan IV,317,147,46.37
Riven,Ambessa,34,32,94.12
Nidalee,Talon,21,14,66.67
Renekton,Nocturne,179,67,37.43
Jax,Lee Sin,579,329,56.82
Riven,Pantheon,498,300,60.24
Jax,Viego,634,246,38.8
Aurora,Vi,174,119,68.39
Teemo,Shyvana,17,7,41.18
Gwen,Belveth,92,58,63.04
Akali,Pantheon,132,82,62.12
Riven,Belveth,118,71,60.17
Fiora,Viego,386,164,42.49
Rumble,Belveth,78,26,33.33
Riven,Nocturne,136,72,52.94
Kayle,Jarvan IV,147,77,52.38
Gwen,Viego,680,307,45.15
Kayle,Kindred,41,17,41.46
Nidalee,Trundle,12,10,83.33
Gragas,Shaco,86,34,39.53
Riven,Ekko,281,172,61.21
Riven,Diana,77,43,55.84
Neeko,Wukong,14,4,28.57
Sejuani,Elise,5,5,100.0
Kennen,Pantheon,154,84,54.55
Nidalee,Kindred,13,2,15.38
Gragas,Jarvan IV,330,183,55.45
Nidalee,Belveth,24,15,62.5
Renekton,Trundle,181,82,45.3
Sion,Viego,403,215,53.35
Riven,Sejuani,45,28,62.22
Sion,Shaco,77,22,28.57
Gnar,Pantheon,198,101,51.01
Viktor,Viego,19,11,57.89
Poppy,Pantheon,52,14,26.92
Yorick,Xin Zhao,191,77,40.31
Yorick,Ivern,59,22,37.29
Riven,Xin Zhao,231,121,52.38
Riven,Talon,139,64,46.04
Ambessa,Graves,132,67,50.76
Ambessa,Wukong,317,161,50.79
Vayne,Lee Sin,110,46,41.82
Rumble,Pantheon,276,126,45.65
Chogath,Viego,200,98,49.0
Nidalee,Jarvan IV,56,15,26.79
Ambessa,Vi,585,285,48.72
Illaoi,Qiyana,18,9,50.0
Vayne,Wukong,32,10,31.25
Malphite,Pantheon,109,61,55.96
Gwen,Vi,303,191,63.04
Riven,Zed,201,91,45.27
Riven,Elise,101,45,44.55
Swain,Viego,41,29,70.73
Nidalee,Zyra,14,10,71.43
Irelia,Ekko,158,77,48.73
Renekton,Lee Sin,437,212,48.51
Draven,Lee Sin,7,4,57.14
Vayne,Udyr,17,14,82.35
Riven,Volibear,151,77,50.99
Jayce,Kayn,163,70,42.94
Riven,Ivern,94,52,55.32
Wukong,Dr. Mundo,16,3,18.75
Shen,Viego,392,195,49.74
Kayle,Hecarim,69,37,53.62
Renekton,Ivern,125,56,44.8
Kled,Fiddlesticks,35,10,28.57
Yasuo,Taliyah,19,3,15.79
Quinn,Jarvan IV,72,48,66.67
Jayce,Udyr,213,97,45.54
Lucian,Shaco,3,0,0.0
Quinn,Yuumi,2,0,0.0
Vayne,Gwen,18,8,44.44
Sett,Ekko,143,78,54.55
Gangplank,Rammus,30,14,46.67
Jax,Nunu & Willump,119,63,52.94
Vladimir,Graves,60,23,38.33
Riven,Nunu & Willump,96,56,58.33
Jax,Volibear,200,99,49.5
Ambessa,Nunu & Willump,196,81,41.33
Vayne,Hecarim,51,20,39.22
Tryndamere,Jarvan IV,98,56,57.14
Rumble,Karthus,16,7,43.75
Riven,Gragas,31,22,70.97
Jayce,Talon,198,102,51.52
Corki,Viego,11,3,27.27
Gnar,Nidalee,62,25,40.32
Aatrox,Lee Sin,457,231,50.55
Vayne,Nidalee,17,13,76.47
Wukong,Karthus,7,2,28.57
Camille,Nidalee,106,48,45.28
Vayne,Ambessa,7,7,100.0
Nidalee,Ambessa,11,4,36.36
Jax,Qiyana,120,77,64.17
Vayne,Jarvan IV,64,40,62.5
Jax,Nidalee,234,135,57.69
Quinn,Jax,5,1,20.0
Riven,Vayne,8,8,100.0
Camille,Lee Sin,230,118,51.3
Kayle,Lee Sin,136,74,54.41
Vladimir,Poppy,49,26,53.06
Fiora,Talon,171,92,53.8
Jayce,Zac,131,76,58.02
Ambessa,Volibear,278,130,46.76
Ambessa,Nidalee,280,160,57.14
Jayce,Gwen,110,48,43.64
Vladimir,Elise,48,41,85.42
