opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Riven,10,70.0,6.6,5.1,6.8,2.63,2025-04-15 22:28:33
Ambessa,26,50.0,3.16,4.03,3.65,1.69,2025-04-15 22:28:33
Gwen,20,55.0,4.1,5.15,5.65,1.89,2025-04-15 22:28:33
Ksante,29,65.52,3.72,3.83,4.42,2.13,2025-04-15 22:28:33
Fiora,12,25.0,4.58,5.25,5.83,1.98,2025-04-15 22:28:33
Aatrox,11,27.27,4.45,5.09,5.09,1.87,2025-04-15 22:28:33
Jayce,13,30.77,4.15,4.15,3.69,1.89,2025-04-15 22:28:33
Gragas,10,40.0,3.4,5.4,4.7,1.5,2025-04-15 22:28:33
Renekton,10,70.0,4.0,3.3,5.7,2.94,2025-04-15 22:28:33
Garen,13,69.23,4.54,3.15,5.92,3.32,2025-04-15 22:28:33
