opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Jarvan IV,34,61.76,7.29,4.91,8.21,3.15,2025-04-15 22:28:33
Talon,10,80.0,7.5,3.5,9.3,4.8,2025-04-15 22:28:33
Pantheon,11,36.36,5.64,4.73,6.91,2.65,2025-04-15 22:28:33
Vi,32,40.62,6.47,4.82,7.72,2.94,2025-04-15 22:28:33
Zac,11,54.55,7.91,4.82,6.82,3.06,2025-04-15 22:28:33
Lee Sin,25,56.0,6.76,3.76,9.48,4.32,2025-04-15 22:28:33
Naafiri,33,51.52,7.54,4.79,9.12,3.48,2025-04-15 22:28:33
Viego,57,63.16,6.93,4.39,8.68,3.56,2025-04-15 22:28:33
Lillia,10,60.0,5.7,5.1,7.5,2.59,2025-04-15 22:28:33
Kayn,23,43.48,6.61,5.05,6.91,2.68,2025-04-15 22:28:33
Zed,13,69.23,6.46,4.15,6.62,3.15,2025-04-15 22:28:33
Volibear,12,75.0,6.67,4.17,8.67,3.68,2025-04-15 22:28:33
