opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Rell,27,59.26,1.85,3.78,14.7,4.38,2025-04-15 22:28:33
Alistar,24,62.5,1.62,3.08,14.41,5.2,2025-04-15 22:28:33
Karma,86,46.51,1.52,4.34,13.51,3.47,2025-04-15 22:28:33
Nami,107,58.88,1.18,3.62,14.78,4.41,2025-04-15 22:28:33
Nautilus,47,59.57,1.51,3.87,15.3,4.34,2025-04-15 22:28:33
Bard,35,51.43,1.29,4.06,12.34,3.36,2025-04-15 22:28:33
Rakan,41,51.22,1.59,4.58,14.15,3.43,2025-04-15 22:28:33
Blitzcrank,21,66.67,1.05,4.76,17.1,3.81,2025-04-15 22:28:33
Senna,28,60.71,1.47,3.57,15.18,4.66,2025-04-15 22:28:33
Thresh,49,59.18,1.2,3.88,15.06,4.19,2025-04-15 22:28:33
Lulu,61,57.38,1.49,3.36,14.11,4.64,2025-04-15 22:28:33
Velkoz,10,50.0,2.4,4.7,15.2,3.74,2025-04-15 22:28:33
Yuumi,23,56.52,1.48,3.61,14.05,4.3,2025-04-15 22:28:33
Milio,30,60.0,1.37,3.3,12.57,4.22,2025-04-15 22:28:33
Braum,16,75.0,1.56,4.88,17.12,3.83,2025-04-15 22:28:33
Seraphine,10,50.0,1.5,3.5,14.4,4.54,2025-04-15 22:28:33
