opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Aurora,35,51.43,5.23,4.8,5.65,2.27,2025-04-15 22:28:33
Gwen,107,45.79,4.71,5.36,4.91,1.79,2025-04-15 22:28:33
Garen,15,40.0,5.8,4.8,4.6,2.17,2025-04-15 22:28:33
Rumble,161,53.42,4.82,4.89,5.11,2.03,2025-04-15 22:28:33
Aatrox,66,53.03,4.64,5.09,5.3,1.95,2025-04-15 22:28:33
Sion,111,42.34,4.92,4.99,5.71,2.13,2025-04-15 22:28:33
Irelia,116,54.31,5.95,5.57,5.79,2.11,2025-04-15 22:28:33
Camille,40,52.5,5.4,5.2,6.5,2.29,2025-04-15 22:28:33
Pantheon,12,50.0,6.5,7.08,7.92,2.04,2025-04-15 22:28:33
Ambessa,277,51.62,4.89,4.81,5.35,2.13,2025-04-15 22:28:33
Ksante,70,50.0,3.74,4.11,5.0,2.13,2025-04-15 22:28:33
Jax,25,48.0,5.32,5.16,5.72,2.14,2025-04-15 22:28:33
Malphite,31,54.84,5.42,4.16,5.81,2.7,2025-04-15 22:28:33
Gragas,38,47.37,5.0,5.34,4.61,1.8,2025-04-15 22:28:33
Vladimir,47,53.19,4.17,4.85,4.19,1.72,2025-04-15 22:28:33
Shen,22,63.64,6.14,4.27,5.95,2.83,2025-04-15 22:28:33
Gnar,17,70.59,5.53,4.47,5.88,2.55,2025-04-15 22:28:33
Chogath,14,71.43,7.79,3.43,4.0,3.44,2025-04-15 22:28:33
Quinn,14,71.43,6.21,5.36,7.36,2.53,2025-04-15 22:28:33
Riven,17,70.59,6.76,4.35,6.53,3.06,2025-04-15 22:28:33
Gangplank,44,56.82,5.48,4.25,5.93,2.68,2025-04-15 22:28:33
Urgot,18,38.89,4.72,5.89,4.44,1.56,2025-04-15 22:28:33
Drmundo,14,50.0,6.07,4.86,4.0,2.07,2025-04-15 22:28:33
Monkeyking,14,50.0,5.07,5.36,6.93,2.24,2025-04-15 22:28:33
Yone,10,60.0,6.4,5.3,7.7,2.66,2025-04-15 22:28:33
Renekton,13,30.77,3.54,6.62,6.46,1.51,2025-04-15 22:28:33
Nidalee,16,56.25,4.5,5.88,5.94,1.78,2025-04-15 22:28:33
Fiora,64,53.12,5.06,5.5,5.92,2.0,2025-04-15 22:28:33
Yasuo,10,80.0,7.8,4.5,7.1,3.31,2025-04-15 22:28:33
