opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Miss Fortune,132,48.48,7.02,4.18,7.23,3.41,2025-04-15 22:28:33
Jinx,103,52.43,6.72,4.06,7.3,3.46,2025-04-15 22:28:33
Kaisa,186,39.25,6.46,5.07,7.67,2.79,2025-04-15 22:28:33
Caitlyn,100,49.0,6.6,3.93,6.57,3.35,2025-04-15 22:28:33
Ashe,145,48.97,7.12,4.49,8.46,3.47,2025-04-15 22:28:33
Varus,239,52.72,6.73,4.12,7.55,3.46,2025-04-15 22:28:33
Ezreal,280,57.86,6.84,4.26,7.19,3.3,2025-04-15 22:28:33
Corki,89,41.57,7.38,5.22,8.02,2.95,2025-04-15 22:28:33
Draven,22,36.36,5.5,4.77,8.23,2.88,2025-04-15 22:28:33
Tristana,130,53.85,6.47,4.45,7.62,3.17,2025-04-15 22:28:33
Kalista,23,69.57,8.87,3.91,8.91,4.54,2025-04-15 22:28:33
Lucian,36,52.78,6.28,4.39,7.0,3.03,2025-04-15 22:28:33
Twitch,25,64.0,7.92,4.2,7.28,3.62,2025-04-15 22:28:33
Samira,13,53.85,4.77,3.62,6.62,3.15,2025-04-15 22:28:33
