opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Kaisa,10,60.0,12.5,9.1,7.8,2.23,2025-04-15 22:28:33
Ezreal,28,53.57,9.0,8.5,9.96,2.23,2025-04-15 22:28:33
Kindred,11,27.27,10.27,6.18,6.73,2.75,2025-04-15 22:28:33
Leesin,13,30.77,7.0,6.23,8.23,2.44,2025-04-15 22:28:33
Vi,12,66.67,8.42,4.67,9.33,3.8,2025-04-15 22:28:33
Lillia,27,66.67,7.85,4.93,8.26,3.27,2025-04-15 22:28:33
Zyra,15,66.67,6.27,3.47,6.93,3.8,2025-04-15 22:28:33
Viego,18,66.67,7.39,4.11,7.67,3.66,2025-04-15 22:28:33
Naafiri,13,61.54,7.08,6.77,10.15,2.55,2025-04-15 22:28:33
Missfortune,10,70.0,9.1,5.0,10.8,3.98,2025-04-15 22:28:33
Jhin,17,70.59,8.59,4.76,9.29,3.76,2025-04-15 22:28:33
