opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Darius,26,53.85,6.5,5.65,4.31,1.91,2025-04-15 22:28:33
Garen,26,50.0,5.77,4.35,5.23,2.53,2025-04-15 22:28:33
Malphite,14,42.86,6.36,6.0,4.57,1.82,2025-04-15 22:28:33
Ksante,13,38.46,6.08,6.31,4.92,1.74,2025-04-15 22:28:33
Aatrox,23,47.83,6.35,4.7,3.74,2.15,2025-04-15 22:28:33
Ambessa,44,52.27,7.43,6.07,4.59,1.98,2025-04-15 22:28:33
Mordekaiser,10,50.0,8.3,5.3,3.7,2.26,2025-04-15 22:28:33
Renekton,26,61.54,6.65,6.31,3.65,1.63,2025-04-15 22:28:33
Chogath,11,63.64,6.27,5.55,5.27,2.08,2025-04-15 22:28:33
Pantheon,14,64.29,8.29,5.86,4.14,2.12,2025-04-15 22:28:33
Yone,17,64.71,10.06,4.47,4.41,3.24,2025-04-15 22:28:33
Gragas,19,63.16,7.21,4.53,4.16,2.51,2025-04-15 22:28:33
Camille,11,72.73,8.91,6.0,5.82,2.46,2025-04-15 22:28:33
Gnar,11,27.27,6.18,6.82,3.45,1.41,2025-04-15 22:28:33
