opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Lulu,53,54.72,1.92,5.3,15.23,3.24,2025-04-15 22:28:33
Nautilus,13,61.54,2.0,6.31,13.46,2.45,2025-04-15 22:28:33
Blitzcrank,11,72.73,1.82,5.36,14.55,3.05,2025-04-15 22:28:33
Nami,40,70.0,2.25,5.6,16.75,3.39,2025-04-15 22:28:33
Rell,10,90.0,2.3,4.1,15.3,4.29,2025-04-15 22:28:33
Braum,39,43.59,1.41,5.49,13.74,2.76,2025-04-15 22:28:33
Pyke,10,50.0,1.4,6.4,15.9,2.7,2025-04-15 22:28:33
Janna,12,50.0,1.58,4.0,10.92,3.12,2025-04-15 22:28:33
Karma,33,51.52,1.49,5.67,16.24,3.13,2025-04-15 22:28:33
Milio,11,72.73,1.55,4.64,14.36,3.43,2025-04-15 22:28:33
