opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Naafiri,105,49.52,7.64,4.39,6.17,3.15,2025-04-15 22:28:33
Gwen,87,52.87,8.33,4.44,6.45,3.33,2025-04-15 22:28:33
Darius,32,59.38,8.91,4.09,5.72,3.57,2025-04-15 22:28:33
Hecarim,77,58.44,8.75,4.78,6.36,3.16,2025-04-15 22:28:33
Lee Sin,207,57.49,7.32,4.48,6.29,3.04,2025-04-15 22:28:33
Talon,74,59.46,9.58,4.39,6.46,3.65,2025-04-15 22:28:33
Vi,201,55.72,7.95,4.23,6.35,3.38,2025-04-15 22:28:33
Kayn,43,62.79,8.93,4.21,6.09,3.57,2025-04-15 22:28:33
Nidalee,50,48.0,7.96,4.56,7.08,3.3,2025-04-15 22:28:33
Karthus,12,41.67,8.67,3.75,5.83,3.87,2025-04-15 22:28:33
Zyra,48,45.83,7.75,4.92,5.69,2.73,2025-04-15 22:28:33
Monkeyking,41,53.66,8.05,3.8,5.52,3.57,2025-04-15 22:28:33
Lillia,51,56.86,7.94,4.16,6.17,3.39,2025-04-15 22:28:33
Belveth,14,50.0,6.14,3.86,6.86,3.37,2025-04-15 22:28:33
Reksai,12,50.0,6.5,4.58,5.75,2.67,2025-04-15 22:28:33
Zac,22,54.55,6.68,2.77,5.09,4.25,2025-04-15 22:28:33
Nocturne,25,40.0,9.04,5.0,7.08,3.23,2025-04-15 22:28:33
Graves,54,57.41,8.89,3.65,5.7,4.0,2025-04-15 22:28:33
Zed,29,58.62,7.86,4.51,7.28,3.35,2025-04-15 22:28:33
Ivern,10,60.0,7.8,4.2,7.4,3.62,2025-04-15 22:28:33
Kindred,30,60.0,8.73,4.77,6.93,3.29,2025-04-15 22:28:33
Ekko,55,52.73,9.0,4.53,5.89,3.29,2025-04-15 22:28:33
Xin Zhao,68,58.82,7.62,3.94,6.41,3.56,2025-04-15 22:28:33
Pantheon,61,63.93,8.49,4.3,6.77,3.55,2025-04-15 22:28:33
Drmundo,21,23.81,6.52,3.86,4.71,2.91,2025-04-15 22:28:33
KhaZix,21,52.38,7.62,4.76,5.47,2.75,2025-04-15 22:28:33
Jarvan IV,59,47.46,8.37,4.47,6.96,3.43,2025-04-15 22:28:33
Diana,40,55.0,10.25,4.38,6.58,3.85,2025-04-15 22:28:33
Nunu,16,68.75,10.19,3.75,7.75,4.78,2025-04-15 22:28:33
Jax,10,70.0,7.2,4.6,7.8,3.26,2025-04-15 22:28:33
Taliyah,24,54.17,9.04,4.37,5.62,3.35,2025-04-15 22:28:33
Elise,15,80.0,9.8,3.47,7.33,4.94,2025-04-15 22:28:33
Qiyana,13,38.46,10.23,5.46,6.31,3.03,2025-04-15 22:28:33
Volibear,14,50.0,6.64,3.21,5.43,3.76,2025-04-15 22:28:33
Rengar,12,50.0,9.08,4.83,8.67,3.67,2025-04-15 22:28:33
