opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Vi,75,54.67,5.36,4.2,7.86,3.15,2025-04-15 22:28:33
Lee Sin,48,56.25,6.17,4.9,9.14,3.13,2025-04-15 22:28:33
Viego,85,52.94,5.41,4.45,8.63,3.16,2025-04-15 22:28:33
Hecarim,20,65.0,7.7,5.4,11.35,3.53,2025-04-15 22:28:33
KhaZix,10,70.0,7.7,3.4,9.2,4.97,2025-04-15 22:28:33
Kindred,12,75.0,6.25,3.17,8.75,4.73,2025-04-15 22:28:33
Pantheon,23,65.22,7.35,4.34,9.0,3.76,2025-04-15 22:28:33
Naafiri,43,37.21,6.04,5.58,8.61,2.62,2025-04-15 22:28:33
Gwen,10,30.0,5.4,4.4,6.7,2.75,2025-04-15 22:28:33
Jarvan IV,19,47.37,5.47,4.47,7.95,3.0,2025-04-15 22:28:33
Drmundo,10,50.0,6.9,4.2,9.5,3.9,2025-04-15 22:28:33
Talon,12,50.0,6.25,4.83,7.17,2.78,2025-04-15 22:28:33
