opponent,games,win_rate,avg_kills,avg_deaths,avg_assists,kda,last_updated
Vi,23,30.43,4.83,4.61,9.13,3.03,2025-04-15 22:28:33
Karthus,28,39.29,5.89,4.68,8.61,3.1,2025-04-15 22:28:33
Jarvaniv,13,38.46,6.31,5.31,8.92,2.87,2025-04-15 22:28:33
Darius,15,46.67,5.2,4.4,12.87,4.11,2025-04-15 22:28:33
Viego,49,51.02,5.19,4.59,10.04,3.32,2025-04-15 22:28:33
Xinzhao,12,50.0,6.25,3.17,10.25,5.21,2025-04-15 22:28:33
Nidalee,24,66.67,5.37,4.04,10.75,3.99,2025-04-15 22:28:33
Drmundo,15,66.67,6.87,5.2,11.73,3.58,2025-04-15 22:28:33
Lillia,10,80.0,5.4,4.0,10.2,3.9,2025-04-15 22:28:33
Nami,17,52.94,3.35,6.35,12.24,2.46,2025-04-15 22:28:33
Lulu,14,64.29,1.93,4.43,8.79,2.42,2025-04-15 22:28:33
Karma,11,72.73,2.64,4.0,9.18,2.95,2025-04-15 22:28:33
