champion,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Riven,39,27,354,159,267,69.23,3.91,9.08,4.08,6.85
Chogath,3,3,9,6,21,100.0,5.0,3.0,2.0,7.0
Taliyah,27,18,105,126,231,66.67,2.67,3.89,4.67,8.56
Varus,3,0,15,33,0,0.0,0.45,5.0,11.0,0.0
Caitlyn,12,9,81,51,72,75.0,3.0,6.75,4.25,6.0
Viktor,24,3,123,123,93,12.5,1.76,5.12,5.12,3.88
Pantheon,6,0,27,78,45,0.0,0.92,4.5,13.0,7.5
Twisted Fate,27,15,123,105,228,55.56,3.34,4.56,3.89,8.44
Gragas,6,6,48,39,75,100.0,3.15,8.0,6.5,12.5
Ambessa,9,6,18,12,30,66.67,4.0,2.0,1.33,3.33
Cassiopeia,3,0,3,9,3,0.0,0.67,1.0,3.0,1.0
Vayne,3,0,18,21,6,0.0,1.14,6.0,7.0,2.0
Annie,18,15,63,51,78,83.33,2.76,3.5,2.83,4.33
Orianna,36,18,162,165,279,50.0,2.67,4.5,4.58,7.75
Smolder,3,0,12,15,0,0.0,0.8,4.0,5.0,0.0
Rumble,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Zed,3,3,18,9,3,100.0,2.33,6.0,3.0,1.0
Aurora,33,21,243,132,249,63.64,3.73,7.36,4.0,7.55
Yunara,3,3,24,18,33,100.0,3.17,8.0,6.0,11.0
Nidalee,9,3,45,54,102,33.33,2.72,5.0,6.0,11.33
Ekko,3,0,12,21,15,0.0,1.29,4.0,7.0,5.0
Yone,18,3,51,96,138,16.67,1.97,2.83,5.33,7.67
Corki,15,3,54,96,78,20.0,1.38,3.6,6.4,5.2
Ziggs,6,6,15,9,39,100.0,6.0,2.5,1.5,6.5
Sylas,33,15,183,195,189,45.45,1.91,5.55,5.91,5.73
Galio,9,9,42,21,141,100.0,8.71,4.67,2.33,15.67
Mel,6,3,27,21,51,50.0,3.71,4.5,3.5,8.5
Ryze,21,9,102,99,81,42.86,1.85,4.86,4.71,3.86
Morgana,6,0,6,18,30,0.0,2.0,1.0,3.0,5.0
Lux,9,3,21,27,60,33.33,3.0,2.33,3.0,6.67
Yasuo,3,3,6,9,12,100.0,2.0,2.0,3.0,4.0
Sion,6,0,27,24,36,0.0,2.62,4.5,4.0,6.0
Neeko,6,6,30,39,42,100.0,1.85,5.0,6.5,7.0
Azir,27,18,156,171,249,66.67,2.37,5.78,6.33,9.22
Akali,9,3,57,54,33,33.33,1.67,6.33,6.0,3.67
Renekton,3,3,12,30,18,100.0,1.0,4.0,10.0,6.0
Karthus,3,0,3,6,9,0.0,2.0,1.0,2.0,3.0
Kayle,12,3,54,42,54,25.0,2.57,4.5,3.5,4.5
Diana,6,3,18,24,36,50.0,2.25,3.0,4.0,6.0
Zoe,24,6,99,105,195,25.0,2.8,4.12,4.38,8.12
Kassadin,6,6,39,21,39,100.0,3.71,6.5,3.5,6.5
Kennen,3,0,18,24,21,0.0,1.62,6.0,8.0,7.0
Naafiri,12,3,108,54,111,25.0,4.06,9.0,4.5,9.25
Fizz,3,0,21,30,18,0.0,1.3,7.0,10.0,6.0
Vladimir,9,3,27,24,24,33.33,2.12,3.0,2.67,2.67
Xerath,6,3,33,9,24,50.0,6.33,5.5,1.5,4.0
Syndra,12,0,78,69,72,0.0,2.17,6.5,5.75,6.0
Lissandra,12,9,48,51,126,75.0,3.41,4.0,4.25,10.5
Zac,9,3,27,63,66,33.33,1.48,3.0,7.0,7.33
Ahri,12,6,33,69,87,50.0,1.74,2.75,5.75,7.25
LeBlanc,3,3,21,6,27,100.0,8.0,7.0,2.0,9.0
Hwei,12,12,42,48,192,100.0,4.88,3.5,4.0,16.0
Katarina,3,3,9,33,36,100.0,1.36,3.0,11.0,12.0
VelKoz,3,3,21,21,33,100.0,2.57,7.0,7.0,11.0
