opponent,games,wins,kills,deaths,assists,win_rate,kda,avg_kills,avg_deaths,avg_assists
Smolder,2,2,22,6,10,100.0,5.33,11.0,3.0,5.0
Draven,2,0,4,14,14,0.0,1.29,2.0,7.0,7.0
Riven,4,4,26,18,44,100.0,3.89,6.5,4.5,11.0
Vayne,2,0,6,8,4,0.0,1.25,3.0,4.0,2.0
Kaisa,4,4,42,14,32,100.0,5.29,10.5,3.5,8.0
Lucian,2,2,8,16,20,100.0,1.75,4.0,8.0,10.0
Twitch,6,2,38,40,28,33.33,1.65,6.33,6.67,4.67
Sivir,2,2,4,0,4,100.0,8.0,2.0,0.0,2.0
Ziggs,2,2,12,4,18,100.0,7.5,6.0,2.0,9.0
Tristana,2,0,0,8,2,0.0,0.25,0.0,4.0,1.0
